gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
M00345	0.0492263582648096	0.256857029270922	4.90411111400499	1.01526862527514e-05	0.00156730053666505	3.22319435796784	2.80484771769834	up
M00840	0.0450880007378583	0.212023653728387	4.45448545921262	4.67483666933122e-05	0.00260037789731549	1.76789648813209	2.58496353403185	up
M00801	0.106001509652232	0.042446756035923	4.37911820435421	6.00891789887354e-05	0.00297107607222081	1.52947484277313	2.52708622826272	up
ko00550	0.0396041280269792	0.281048190394802	4.15356010405209	0.000126146978394027	0.00400967181323873	0.826862066362041	2.39689117240033	up
M00660	0.101825251071391	-0.0106829084457602	3.94368526079186	0.000247937048663246	0.00612955481417469	0.189234511680286	2.21257106687936	up
M00134	0.101459672160734	0.157150063002888	3.80609839624201	0.000382956596321238	0.00876410647052362	-0.219478726533177	2.05729235506386	up
M00580	0.0703980651789291	0.210249489588718	3.71379890369124	0.000510634878377645	0.0108205962322882	-0.489237512960368	1.96574880824437	up
M00046	0.0657948343127278	0.131169884728747	3.65472832110056	0.000612824383581055	0.0123957659406168	-0.659930911152806	1.90672663279241	up
ko00552	0.0543861286248618	0.196456988524442	3.56905023192587	0.000796478566305193	0.0149261714909292	-0.9047100643507	1.82605157295706	up
M00888	0.0483662730463766	0.33494270786682	3.56554810918739	0.000805007001757977	0.0149261714909292	-0.914643424667129	1.82605157295706	up
M00525	0.0274107054569865	0.400986369117662	3.33649430861949	0.00159739608933185	0.0273400484520259	-1.55146315751439	1.56320072011096	up
ko00121	0.0576133457695944	0.0152008319533926	3.26684500787234	0.00195843739081145	0.0299659610582971	-1.73986507392032	1.52337178919653	up
ko00542	0.0480176547484008	-0.0512065561426659	3.24858992284796	0.00206511498509576	0.0299659610582971	-1.78882374760293	1.52337178919653	up
M00814	0.0611279253153977	-0.25549019157719	3.24486994334895	0.00208751638833081	0.0299659610582971	-1.79877870518305	1.52337178919653	up
ko00511	0.030569488680522	0.246652294775014	3.16857280644705	0.00260080589135268	0.0361674569266233	-2.00131233119613	1.44168202708473	up
