Lab_vs_Wild_down	Lab_vs_Human_down
M00912	M00024
M00642	M00124
M00118	M00307
M00338	M00143
M00011	ko03050
M00082	M00982
M00028	M00921
M00155	ko00590
ko00591	M00568
M00804	M00150
M00833	M00149
M00176	ko00982
M00364	ko00980
M00886	M00746
M00834	M00609
M00639	ko00791
M00009	M00176
M00151	M00842
M00852	M00843
M00569	M00155
M00171	M00171
M00010	M00009
M00992	M00156
ko02025	M00032
M00984	M00011
M00856	
M00038	
M00959	
M00039	
ko00980	
M00885	
M00526	
M00736	
M00853	
M00714	
M00153	
M00032	
M00022	
M00827	
M00832	
M00419	
M00904	
M00016	
M00137	
M00093	
M00769	
ko00908	
M00538	
ko04122	
M00008	
M00042	
M00622	
M00027	
M00150	
M00175	
M00529	
ko00625	
ko00960	
M00948	
M00672	
M00530	
M00851	
M00172	
M00878	
M00698	
M00696	
ko00363	
M00641	
M00170	
M00989	
M00555	
M00664	
ko02010	
ko00401	
M00017	
ko00791	
ko00984	
M00537	
M00991	
M00975	
M00846	
M00887	
M00552	
M00168	
M00040	
ko01053	
M00018	
ko00642	
M00674	
M00746	
M00697	
ko00930	
M00985	
ko00982	
ko00902	
ko00643	
M00745	
M00973	
ko02026	
M00531	
M00982	
M00744	
M00616	
M00416	
M00117	
M00540	
M00568	
M00595	
M00417	
M00546	
M00990	
M00939	
M00087	
M00957	
M00615	
M00012	
M00136	
M00533	
M00879	
M00956	
M00638	
M00875	
M00545	
M00534	
M00960	
M00918	
M00649	
ko00364	
ko00907	
M00548	
M00915	
M00044	
M00551	
M00637	
