Lab_vs_Wild_up	Lab_vs_Human_up
M00535	M00134
M00432	M00345
M00019	ko00550
M00570	M00046
M00651	M00888
M00705	M00564
M00119	M00006
M00968	M00840
M00860	ko00909
M00620	M00021
M00854	M00801
M00356	M00015
M00636	M00660
M00730	M00580
M00972	ko00552
M00903	M00525
M00814	M00632
M00563	ko02010
M00140	M00939
M00072	ko00542
ko00514	M00542
M00090	M00896
M00652	M00554
M00091	ko00960
M00801	M00978
M00617	M00736
M00966	M00702
M00357	M00725
ko03010	M00004
M00115	M00700
M00840	
M00567	
ko00511	
M00092	
M00802	
ko03050	
M00145	
M00800	
ko00121	
M00077	
ko00970	
M00073	
M00048	
M00934	
M00596	
M00609	
M00358	
M00803	
M00797	
M00078	
M00065	
M00847	
ko03020	
M00096	
M00914	
M00836	
M00147	
M00055	
M00935	
M00608	
M00159	
M00796	
M00841	
M00051	
M00627	
M00079	
M00014	
M00163	
ko03015	
M00967	
M00970	
M00001	
M00876	
M00162	
ko03018	
M00899	
M00076	
M00930	
M00422	
M00660	
ko03410	
M00798	
M00541	
M00309	
M00922	
M00345	
M00143	
M00377	
M00931	
ko03022	
M00094	
M00375	
M00621	
ko03420	
M00597	
M00126	
M00549	
M00866	
ko01051	
M00618	
M00949	
M00049	
M00378	
M00081	
ko01052	
M00580	
M00898	
M00725	
M00842	
M00843	
M00146	
ko03450	
