gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
M00134	0.134011901901488	0.157150063002888	6.49766669246152	3.66206760948296e-08	1.62962008621992e-05	8.59676177573168	4.78791363098831	up
M00345	0.0540361928866744	0.256857029270922	5.4006536850933	1.83710116184894e-06	0.000204377504255694	4.80454471872781	3.68956690851421	up
ko00550	0.0450608509312003	0.281048190394802	4.82036172925901	1.37737340968938e-05	0.000875615953302533	2.86405927830081	3.05768633439494	up
M00046	0.0773709212718613	0.131169884728747	4.4288130271453	5.16104748105611e-05	0.00197178469465597	1.59856375156143	2.70514050878008	up
M00888	0.0568936312784201	0.33494270786682	4.31414357222326	7.54316177822591e-05	0.00238300578646375	1.23633658309878	2.62287490308945	up
M00564	0.117838590265941	-0.244372146895077	4.27539440766226	8.56811069290338e-05	0.00238300578646375	1.11488509485465	2.62287490308945	up
M00006	0.0598787934305449	0.29806105980537	4.12194861571695	0.00014128418171821	0.00349032939071429	0.638936733884631	2.45713358570005	up
M00840	0.0425087924866065	0.212023653728387	4.10545016051838	0.000149025299828251	0.00349032939071429	0.588255767597062	2.45713358570005	up
ko00909	0.0946259924663994	-0.186455092629144	4.02421557976739	0.000193540291289665	0.00430627148119504	0.340171733055376	2.36589859432944	up
M00021	0.102148917561708	0.195664786060162	3.98070660051462	0.000222422797120963	0.00444622762757903	0.208319017586366	2.35200830707317	up
M00801	0.0980544474285837	0.042446756035923	3.97046423947923	0.000229805023447905	0.00444622762757903	0.177385675821591	2.35200830707317	up
M00015	0.0228593264201715	0.440116834100108	3.89239819903054	0.000294390729698414	0.00537471379603267	-0.0570302458437864	2.26964465701479	up
M00660	0.103913241558542	-0.0106829084457602	3.88436862318895	0.000301950213260262	0.00537471379603267	-0.0810034361086363	2.26964465701479	up
M00580	0.0750143278891438	0.210249489588718	3.8522453130175	0.000334108326471728	0.00571839251076611	-0.176648868065742	2.24272603795856	up
ko00552	0.0581222274249167	0.196456988524442	3.71612270668601	0.000510873784649131	0.00757796113896212	-0.577158384992992	2.12044762618924	up
M00525	0.0305399316397835	0.400986369117662	3.68862048605181	0.000556168905204121	0.00773422383799481	-0.657107640703241	2.11158326306212	up
M00632	0.0290857487379736	0.463667199671977	3.45479602840739	0.00113128079621988	0.0143834272662242	-1.32286286164501	1.84213761844111	up
ko02010	0.0287817370789284	0.121924306564853	3.38203010184667	0.0014044442014106	0.0168912883683166	-1.52469149848093	1.77233722373206	up
M00939	0.0595510487061981	0.0252588703610349	3.33625714369148	0.00160722236887361	0.0188214198460199	-1.65028335285387	1.7253476174639	up
ko00542	0.0506028105208407	-0.0512065561426659	3.3210065974813	0.00168073962658655	0.0191776700982312	-1.6918890255442	1.71720415654726	up
M00542	0.0786694002567593	-0.0988201068727686	3.28783917732988	0.00185177327908451	0.0200985148583563	-1.7819572462214	1.69683603276111	up
M00896	0.0388266925862474	0.240882610775061	3.14485122783153	0.00279574582550247	0.0296215926749666	-2.16353874864785	1.52839159431738	up
M00554	0.0348671629503184	0.433668758099272	3.11693442593212	0.00302646683454373	0.0313204125900456	-2.23673322294544	1.50417252552853	up
ko00960	0.039436591948397	0.0420299982444119	3.10500540450402	0.00313041199139222	0.0316598485493076	-2.26787663060578	1.499491166996	up
M00978	0.0214086193610275	0.392267171228592	3.05851838605717	0.00356831933254011	0.0345196109343554	-2.38847323010173	1.46193410780082	up
M00736	0.0451234641410159	-0.242172807331791	3.01751704389811	0.00400156290547524	0.03709782276951	-2.49381158533936	1.43065157790339	up
