gene	Metagenome_fam01	Metagenome_fam02	Metagenome_fam03	Metagenome_fam04	Metagenome_fam05	Metagenome_fam06	Metagenome_fam07	Metagenome_fam08	Metagenome_fam09	Metagenome_fam10	Metagenome_hos01	Metagenome_hos02	Metagenome_hos03	Metagenome_hos04	Metagenome_hos05	Metagenome_hos06	Metagenome_hos07	Metagenome_hos08	Metagenome_hos09	Metagenome_hos10	Metagenome_lab01	Metagenome_lab02	Metagenome_lab03	Metagenome_lab04	Metagenome_lab05	Metagenome_lab06	Metagenome_lab07	Metagenome_lab08	Metagenome_lab09	Metagenome_lab10	Metagenome_res01	Metagenome_res02	Metagenome_res03	Metagenome_res04	Metagenome_res05	Metagenome_res06	Metagenome_res07	Metagenome_res08	Metagenome_res09	Metagenome_res10	Metagenome_wild01	Metagenome_wild02	Metagenome_wild03	Metagenome_wild04	Metagenome_wild05	Metagenome_wild06	Metagenome_wild07	Metagenome_wild08	Metagenome_wild09	Metagenome_wild10
K00001	37.649321125	28.98853955	12.308021858	23.615026306	22.44066306	10.29095833	12.25476543	15.80605632	9.23258492	8.50589019	4.0672373	1.34415308	1.14310819	2.152992607	2.175527621	0.52934454	2.50480433	3.21608537	0.24044095	0.33162472	16.53243971	66.12303528	92.863596095	24.41425	60.02256592	30.69808247	32.495930724	3.222236584	40.13550057	30.43834191	4.62052346	4.81700016	4.18447673	2.34532388	5.21298878	7.82694219	4.66890044	10.46773862	11.417101126	3.689464205	106.481880356	90.946240295	232.589775806	139.00179916	46.066213318	158.880974765	141.76837793	294.51588238	100.87973634	79.421935579
K00002	11.55554258	7.57481642	7.037948556	31.33608471	3.77310633	3.68641326	10.96149243	3.775871596	3.170237275	6.80983618	7.67297994	7.013466184	1.82488411	8.4013898	2.59925291	7.13785335	9.74046096	7.29162996	0.67868232	7.98518146	22.85977676	26.238262515	21.55366437	14.482943944	27.19528898	19.4160171	15.31612939	4.19400095	8.54738704	20.31141127	7.48548866	10.45953983	7.78264878	7.33838358	0.82798573	10.60029776	6.98804197	10.25728495	13.756600442	0.54952018	52.50025696	12.926885595	0.34566397	5.4321747	9.561097145	1.60337027	10.49306037	8.93162175	49.33373999	19.11540073
K00003	55.666423159	61.64352523	17.28795805	55.015012475	76.09718535	27.32068618	20.993297919	26.119133482	12.252484835	15.684468884	5.29499885	1.77215212	5.30488195	4.21308142	4.17391427	1.14316133	5.96375003	2.36842007	0.37040686	0.3768629	56.593840664	88.548681667	141.91601282	92.20818337	133.497474375	133.30075888	109.896280335	14.739277936	155.32251115	118.629542272	8.20035784	10.313856855	10.624032764	8.39248245	30.72441919	11.14716557	14.010812746	12.046514557	18.66311751	7.7166991	142.670058566	194.620701773	221.6915428	231.855729534	99.960700909	115.21008273	171.89104364	135.09506061	135.9870687	152.781264324
K00004	2.11823803	9.218788104	5.11053489	5.55658	60.51166554	3.54729426	2.54812075	6.46294478	7.69538342	4.1870741	1.9354663	0	4.3383052	2.052218546	1.27004459	1.11434247	1.10538185	0.09835733	0.473486706	0.20675382	23.33537753	19.44205675	23.53864084	5.02619557	15.372006234	17.32846062	6.722553433	21.7595305	2.00149204	10.8910498	4.29041953	0.898485	5.963020184	2.520420142	4.54978765	2.63054062	6.30363639	3.139140294	2.83907032	2.24972817	16.063352756	20.209961035	72.042908336	58.712846132	12.523042418	37.31927761	50.38799103	86.121947724	18.63477691	32.14387527
K00005	9.71371481	87.16809567	6.3011518	22.10900519	27.82260234	7.468079388	11.262704245	11.1193206	69.77187998	4.95624323	3.39264205	1.56300551	4.194868054	1.09437112	1.16472126	0.24352403	4.49450941	3.01100871	0.15890965	0.23645312	36.55376673	50.516330185	59.818338975	95.72720388	47.51173383	37.713257204	52.941082735	36.05717557	96.12751273	46.967305691	3.69922493	4.085927941	5.57158206	3.6802775	62.08773194	3.64630832	8.44544543	5.41755089	5.0198305	35.74270969	117.650839844	167.166730868	96.56120669	146.207376956	54.761735228	193.635124023	218.20100315	76.10177251	131.49135853	124.27093354
K00007	0.59022106	0.4747442	0.87115584	0	3.91113267	0.25665665	0.21885787	0.12969802	3.38484928	0	0	0	0.42310369	0	0	0	0	0	0	0	1.47340167	13.44091781	5.21027955	0	4.64778038	5.25878526	3.48771686	0	0	4.16404147	0	0.51158686	0	0	0	0	0	0	0	0.42549193	14.06450059	7.30498946	2.05621517	1.70744892	6.82672063	28.11970753	15.12507065	0.39362106	13.99109301	5.02233763
K00008	36.827439246	141.074331393	26.068329441	58.91299812	289.996731685	14.71229478	14.364613422	21.026891345	159.37174103	14.23898105	7.26027295	0	1.615662269	5.19640095	3.00179258	4.29411282	2.82372876	2.301371375	0.13763452	0.0881888	70.301002885	246.418618834	175.152913007	99.05685277	138.883997453	122.068262336	99.179735879	199.332492672	78.783167216	101.577396386	4.58165149	4.417917224	10.380770445	13.43579952	142.80742295	5.39062041	7.136502884	7.625442505	17.207545386	363.70868462	292.208283795	64.865351921	35.751109726	155.728078442	180.353858288	68.687980155	97.336800038	265.390806676	227.845795455	179.079108609
K00009	12.503576445	31.729964735	6.96161019	6.38692686	10.75362825	4.11257554	2.332789262	5.12025156	28.73206453	4.23961891	0.24043018	0.28305826	0.915326806	1.352761972	0.34376692	0.90480609	0.53028661	0.49893746	0.49139386	0	5.304793934	23.377141714	23.41267176	31.71941273	13.628017645	28.39798408	24.827504396	61.68160767	35.72329264	26.38538514	0.72875926	1.821044156	2.19962906	2.95672187	30.15568666	2.5013228	2.6193719	3.8219866	3.54994321	12.27375733	54.121819715	40.972750166	33.53442299	33.7139068	15.450273985	151.18266254	70.94156767	29.251119724	50.00511753	26.543731716
K00010	123.836890092	280.075818276	64.515402115	75.95799862	97.21705661	104.753840356	61.573689475	201.80235386	58.188171184	47.089530936	30.165529495	2.50779625	5.377011494	8.478369426	7.074794658	0.50388321	5.932863541	16.135005116	0.212225006	0.3801243	108.186550495	788.869497144	359.851347485	209.29409307	395.680046453	343.231597673	225.848755268	67.04029218	176.634977814	288.141568616	10.892668234	12.383321704	20.897833208	34.355782111	17.85810507	21.58739597	33.9592334	41.712295596	126.490302619	54.13429611	167.248054055	463.725306074	28.71684979	89.898777434	478.397382691	279.090247218	170.265120097	364.052982942	193.587832037	341.525139424
K00012	107.906709642	163.562932119	47.278845745	87.35187192	79.670572848	49.237812344	44.42089646	108.555199445	16.20331624	43.324722045	12.652624184	6.07822012	7.857260604	11.07591541	6.250245208	2.01497445	14.46197848	11.48724157	1.66759524	1.15116957	119.480871145	219.634039704	247.219167544	126.956315085	276.387653629	191.451034153	183.2983249	39.43434371	105.210697647	186.434090959	13.40568983	18.18743559	19.953850062	12.533727789	10.89812182	25.82612653	29.563969408	31.59354317	50.846227232	14.587159006	153.999988276	203.626947386	169.524405764	259.426136558	136.966514946	229.315081047	184.19153891	239.669062646	160.445838249	189.619855201
