gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
M00044	0.368118252299456	-0.156123575955614	18.8345354211928	1.23541847279234e-24	5.4976122039259e-22	45.8974282641305	21.2598258981111	up
M00551	0.415754762488085	-0.0803398936595332	18.3165365942205	4.28506315934716e-24	9.53426552954742e-22	44.6528585233176	21.0207127571277	up
M00637	0.219868632028737	-0.244057163633278	18.0724345081912	7.77033699111418e-24	1.15259998701527e-21	44.0570120649458	20.9383213896472	up
ko00907	0.241276513946681	-0.0367490457912889	17.6507969188556	2.20301348171197e-23	2.45085249840456e-21	43.0133564958509	20.6106828254499	up
M00548	0.2645127078134	-0.244706545680004	17.5372719763939	2.92559392704508e-23	2.60377859507013e-21	42.7291791207378	20.5843959475337	up
M00915	0.246862700415441	-0.158217744623186	17.153631954629	7.70600721722316e-23	5.71528868610718e-21	41.7586976480561	20.2429618279779	up
M00918	0.406979467958353	-0.292883876739936	16.9087885169401	1.44139870419751e-22	9.1631774766842e-21	41.1310215400569	20.037953901736	up
M00649	0.469145399726679	-0.254543868714465	16.1318801656002	1.09735680264478e-21	5.4258197464103e-20	39.0953815132254	19.2655346382264	up
M00960	0.294400252929555	-0.112158101887964	15.7466725458993	3.07776719218094e-21	1.24509672774592e-19	38.0606356908181	18.9047969082514	up
M00875	0.253730458951826	-0.243545291087314	15.7014873382413	3.47738417243312e-21	1.28952996394395e-19	37.9381308899871	18.8895685619988	up
M00534	0.218761419064634	-0.190778624800357	15.6508122494384	3.98870330389777e-21	1.36536382325731e-19	37.8004580059728	18.8647516084185	up
M00545	0.301307268476774	0.0398370728170297	15.2221342626554	1.28820766653895e-20	4.09466008292737e-19	36.623715828106	18.3877821452433	up
M00638	0.306365194851823	-0.218936532162054	15.1753791072167	1.46582136464907e-20	4.34860338179225e-19	36.4940485151271	18.3616502007398	up
M00956	0.260102993736455	0.101427472520144	14.9865516062853	2.47609883628019e-20	6.88664988840429e-19	35.9676951340745	18.1619919956264	up
M00879	0.582674542320397	-0.24841487743845	14.6688500898599	6.03956096813044e-20	1.5809439004812e-18	35.0723583590741	17.8010835406584	up
ko00364	0.244314871742769	-0.0435098089568241	14.6085513788404	7.16300893652813e-20	1.77085498708612e-18	34.9010342757506	17.7518170011402	up
M00939	0.252993462846009	0.0252588703610349	13.3627698886785	2.68643765581088e-18	6.29191977282023e-17	31.2600084907395	16.2012168236272	up
M00087	0.179703738974392	0.040568942393766	13.1740512185001	4.73126612513937e-18	1.05270671284351e-16	30.69129389731	15.9776926076704	up
M00957	0.183844364952736	0.151239795236232	13.0607857284012	6.6595662222888e-18	1.4111937947231e-16	30.347765977938	15.8504133418802	up
M00615	0.298682345175329	-0.0770337836661711	12.5797909625502	2.89645065927807e-17	5.85872974263065e-16	28.8705064134679	15.2321965351024	up
M00546	0.207960564709506	0.00169333891946923	12.2002472447285	9.43502525576739e-17	1.8254722777463e-15	27.6837035472553	14.7386247580105	up
M00533	0.329864793487875	-0.0198413560292845	12.1368339856113	1.15138214381837e-16	2.13485439166322e-15	27.483596706013	14.6706317408046	up
M00990	0.243418328832109	0.0110087808736066	12.0262102293595	1.63160830704755e-16	2.90426278654465e-15	27.1332669048112	14.5369640899062	up
M00012	0.117599468433466	0.278710335042388	11.74014577546	4.04848334254828e-16	6.92913495166918e-15	26.220012185866	14.1593209802751	up
M00595	0.207808117526103	-0.189703993326067	11.3773804878178	1.3012641283566e-15	2.06808048970959e-14	25.0467615281543	13.6844325625044	up
M00540	0.226942779877041	-0.142316790490453	11.2841040140496	1.7616937356666e-15	2.70328866335048e-14	24.7423719665696	13.5681075768663	up
M00417	0.429767806091321	-0.0489546204210258	11.1995695870741	2.32049705444189e-15	3.44207063075547e-14	24.4655569297292	13.4631802222616	up
M00136	0.234754496302984	0.014802510826294	11.0712945516703	3.53098352732685e-15	5.06866990213047e-14	24.0437859667808	13.2951059913474	up
M00616	0.31028718584001	0.0943152912511719	10.9422320587946	5.39811480836571e-15	7.50675340538356e-14	23.617340793826	13.1245478503438	up
M00416	0.293489576467488	-0.354724061916682	10.8794989280949	6.64012212860867e-15	8.95410408251776e-14	23.4093086902634	13.0479778616836	up
M00117	0.199335277171108	0.143467717391935	10.5751793520348	1.82589753520671e-14	2.32149829476282e-13	22.3932466023163	12.6342316310051	up
ko02026	0.171724264523764	0.137514334092567	10.5199213119072	2.19673871968638e-14	2.71541313961233e-13	22.2075376398371	12.5661640848214	up
M00985	0.313643118487919	-0.157160859843204	9.3990177368414	1.01076281500259e-12	1.21564716939500e-11	18.3640762208674	10.915192456823	up
ko00930	0.1335921776293	0.0880326406651407	9.2055426436079	1.98542389195569e-12	2.32503587347443e-11	17.6869287082288	10.6335703419001	up
M00040	0.111596341959788	0.015824280182274	9.06064728329975	3.30013225632357e-12	3.76553552324099e-11	17.1774147739104	10.4241732510039	up
