Wild_vs_Lab_down	Wild_vs_Human_down
ko03450	M00779
M00146	M00081
M00842	M00740
M00843	M00083
M00725	M00029
M00898	M00053
M00580	ko01052
ko01052	ko00511
M00081	M00774
M00378	M00787
M00049	M00836
M00949	M00148
M00618	M00074
ko01051	M00094
M00866	M00932
M00549	M00307
M00126	ko03030
M00597	M00922
ko03420	M00165
M00621	M00011
M00375	ko01051
M00094	M00309
ko03022	M00898
M00931	M00612
M00377	M00169
M00143	M00075
M00345	M00035
M00309	M00802
M00922	M00803
M00541	M00850
M00798	M00914
ko03410	M00375
M00660	M00935
M00422	M00052
M00930	M00159
M00076	M00627
M00899	M00608
ko03018	M00156
M00162	M00825
M00876	M00798
M00001	M00133
M00967	M00063
M00970	M00001
ko03015	M00577
M00163	M00814
M00014	M00652
M00079	M00173
M00627	M00614
M00051	M00800
M00841	M00916
M00159	M00949
M00796	M00048
M00608	ko03022
M00935	M00866
M00055	M00130
M00147	ko00970
M00836	M00358
M00914	M00829
M00096	M00938
ko03020	M00079
M00847	ko03450
M00065	M00906
M00078	M00031
M00797	ko03420
M00803	M00763
M00358	M00116
M00609	M00374
M00596	M00966
M00934	M00924
M00048	M00025
M00073	M00115
ko00970	M00549
M00077	M00854
M00800	ko03060
ko00121	M00126
M00145	M00086
ko03050	M00903
M00802	M00049
M00092	M00597
ko00511	M00003
M00567	M00567
M00840	M00988
M00115	M00078
ko03010	M00847
M00966	M00145
M00357	M00618
M00617	M00096
M00801	M00970
M00091	M00797
M00652	M00860
M00090	M00076
ko00514	M00621
M00072	M00617
M00140	ko03018
M00563	M00146
M00814	M00357
M00903	M00024
M00972	M00055
M00730	ko03020
M00636	M00596
M00356	M00377
M00854	M00967
M00620	M00934
M00968	M00968
M00860	M00051
M00119	M00163
M00705	ko03410
M00651	M00930
M00570	M00073
M00019	M00931
M00432	M00422
M00535	M00014
	ko00590
	ko00514
	M00077
	M00730
	ko03015
	M00972
	M00841
	M00162
	M00563
	M00143
	M00090
	M00147
	M00065
	M00356
	M00140
	M00072
	M00842
	M00843
	M00091
	M00092
	ko03010
	M00119
	M00651
	M00620
	ko03050
	M00636
	M00705
	M00609
	M00570
	M00019
	M00432
	M00535
