Wild_vs_Lab_up	Wild_vs_Human_up
M00637	M00044
M00044	M00551
M00551	M00637
M00915	ko00907
M00548	M00918
ko00907	M00548
ko00364	M00915
M00649	M00875
M00918	M00649
M00534	M00960
M00960	M00939
M00545	M00534
M00875	M00638
M00638	M00956
M00956	M00545
M00879	M00879
M00533	ko00364
M00136	M00087
M00012	M00957
M00615	M00546
M00957	M00615
M00087	M00990
M00939	M00533
M00990	M00540
M00546	M00012
M00417	M00595
M00595	M00616
M00568	ko02026
M00540	M00416
M00117	M00417
M00416	M00136
M00616	M00117
M00744	ko02010
M00531	M00040
M00982	M00985
ko02026	ko00930
M00973	ko00984
M00745	ko00960
ko00643	M00537
ko00902	M00552
ko00982	ko00642
M00985	ko00401
ko00930	ko00643
M00697	M00973
M00746	M00989
M00674	M00697
ko00642	ko00902
M00018	M00975
ko01053	M00736
M00040	M00664
M00168	M00745
M00552	M00674
M00887	M00419
M00846	M00887
M00975	ko01053
M00991	M00531
M00537	M00017
ko00984	M00008
ko00791	M00744
M00017	M00568
ko00401	M00672
ko02010	M00622
M00664	M00022
M00555	M00991
M00989	M00134
M00170	M00698
M00641	M00846
ko00363	M00982
M00696	ko00625
M00698	M00027
M00878	M00555
M00172	M00175
M00851	M00696
M00530	M00564
M00672	M00641
M00948	M00538
ko00960	M00015
ko00625	M00851
M00529	ko00908
M00175	M00769
M00150	M00018
M00027	M00042
M00622	M00530
M00042	M00885
M00008	ko02060
ko04122	M00170
M00538	M00172
ko00908	M00168
M00769	M00878
M00093	M00984
M00137	ko04122
M00016	M00006
M00904	M00529
M00419	ko00982
M00827	M00904
M00832	ko03070
M00022	M00714
M00032	M00137
M00153	ko02025
M00714	M00569
M00853	M00827
M00736	M00832
M00526	M00061
M00885	ko00591
ko00980	M00153
M00039	ko00363
M00959	M00010
M00038	M00700
M00856	M00948
M00984	ko00571
ko02025	M00746
M00992	M00959
M00010	M00958
M00171	M00886
M00569	M00852
M00852	ko00903
M00151	M00853
M00009	M00038
M00639	ko00909
M00834	M00919
M00886	M00004
M00364	M00344
M00176	M00526
M00833	M00021
M00804	M00097
ko00591	M00554
M00155	M00632
M00028	M00895
M00082	M00835
M00011	ko02030
M00338	M00016
M00642	M00673
M00118	M00039
M00912	M00780
	M00639
	M00034
	M00883
	M00704
	M00793
	M00088
	M00046
	M00093
	M00912
	ko00791
	M00888
	M00992
	M00815
	M00856
	ko03440
	M00550
	M00702
	ko01055
	M00082
	M00020
	M00834
	ko00550
	M00833
	M00364
