gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
M00637	0.233688580250749	-0.244057163633278	15.3965557019255	1.29585068500214e-20	5.76653554825954e-18	36.7128968155005	17.2390850263853	up
M00044	0.375474618417134	-0.156123575955614	15.0810805275076	3.04828934011945e-20	6.50649034992402e-18	35.8586353464585	17.1866532099995	up
M00551	0.430376137610686	-0.0803398936595332	14.9481492935807	4.38639798871282e-20	6.50649034992402e-18	35.4950941186598	17.1866532099995	up
M00915	0.264392973486465	-0.158217744623186	14.763911944003	7.28887565479668e-20	8.10887416596131e-18	34.9876942574199	17.0910394389394	up
M00548	0.275078042335582	-0.244706545680004	14.4095390996622	1.95809370587065e-19	1.74270339822488e-17	34.0000336193005	16.7587765219407	up
ko00907	0.241791905555403	-0.0367490457912889	13.8680514503692	9.12857690568471e-19	6.77036120504949e-17	32.4606990907662	16.1693881606834	up
ko00364	0.271528753096675	-0.0435098089568241	13.3102752334474	4.62986690087345e-18	2.94327252984098e-16	30.8362504620018	15.5311695229067	up
M00649	0.473324838581597	-0.254543868714465	12.7446938443995	2.50040335320648e-17	1.3908493652211e-15	29.1482074716935	14.8567199033622	up
M00918	0.382092984873502	-0.292883876739936	12.6521857900607	3.30747645196248e-17	1.63536335680367e-15	28.8681572656103	14.7863857376077	up
M00534	0.222410965627095	-0.190778624800357	12.4877670707633	5.45252211377348e-17	2.26317328825616e-15	28.3676604418691	14.6452821914045	up
M00960	0.29771654682567	-0.112158101887964	12.4793511728817	5.59436093726241e-17	2.26317328825616e-15	28.3419473262723	14.6452821914045	up
M00545	0.306940429396055	0.0398370728170297	12.1607774510324	1.48884067914866e-16	5.09641617093194e-15	27.3618125592145	14.2927351149428	up
M00875	0.232282732097077	-0.243545291087314	11.6025331697015	8.54016340029111e-16	2.53358180875303e-14	25.6123872695379	13.5962650678815	up
M00638	0.290925829192995	-0.218936532162054	11.39529335964	1.65017908798476e-15	4.5895605884576e-14	24.9526380574851	13.3382288924896	up
M00956	0.249158220917586	0.101427472520144	11.3204652405879	2.09608673193247e-15	5.48681526888205e-14	24.7130600531904	13.2606796614652	up
M00879	0.570867821460227	-0.24841487743845	11.2639644932605	2.5121837079669e-15	6.2106763891404e-14	24.5316837790919	13.2068610993283	up
M00533	0.357863466213138	-0.0198413560292845	10.4911710105549	3.11416389735642e-14	7.29369965433477e-13	22.0102346967455	12.1370521243717	up
M00136	0.26902935308014	0.014802510826294	10.3893735112605	4.36289600734498e-14	9.70744361634257e-13	21.6725477537495	12.0128951232833	up
M00012	0.129008752010081	0.278710335042388	10.3373966801126	5.18507921719519e-14	1.09874297697708e-12	21.4996418260073	11.9591038878634	up
M00615	0.310483555430189	-0.0770337836661711	10.280252101088	6.27127888814196e-14	1.26850868419235e-12	21.3091680778206	11.8967065552582	up
M00957	0.18076713716376	0.151239795236232	10.0749790680285	1.24591211083617e-13	2.41056908400911e-12	20.6217339748915	11.6178804176454	up
M00087	0.172935711520161	0.040568942393766	9.9798473276398	1.71552111307206e-13	3.18086206382112e-12	20.3014639971919	11.4974551634045	up
M00939	0.20833017631636	0.0252588703610349	9.52964351184167	7.90635880007197e-13	1.40733186641281e-11	18.7718066419148	10.851603478431	up
M00990	0.238672934514164	0.0110087808736066	9.24308360687614	2.11586875538015e-12	3.62139075440064e-11	17.7866602709534	10.4411246115199	up
M00546	0.195599459514983	0.00169333891946923	9.06844645884684	3.87155745036681e-12	6.38090024227122e-11	17.1821630804874	10.1951180449983	up
