sample	group
Metagenome_fam01	Fam
Metagenome_fam02	Fam
Metagenome_fam03	Fam
Metagenome_fam04	Fam
Metagenome_fam05	Fam
Metagenome_fam06	Fam
Metagenome_fam07	Fam
Metagenome_fam08	Fam
Metagenome_fam09	Fam
Metagenome_fam10	Fam
Metagenome_hos01	Hos
Metagenome_hos02	Hos
Metagenome_hos03	Hos
Metagenome_hos04	Hos
Metagenome_hos05	Hos
Metagenome_hos06	Hos
Metagenome_hos07	Hos
Metagenome_hos08	Hos
Metagenome_hos09	Hos
Metagenome_hos10	Hos
Metagenome_lab01	Lab
Metagenome_lab02	Lab
Metagenome_lab03	Lab
Metagenome_lab04	Lab
Metagenome_lab05	Lab
Metagenome_lab06	Lab
Metagenome_lab07	Lab
Metagenome_lab08	Lab
Metagenome_lab09	Lab
Metagenome_lab10	Lab
Metagenome_res01	Res
Metagenome_res02	Res
Metagenome_res03	Res
Metagenome_res04	Res
Metagenome_res05	Res
Metagenome_res06	Res
Metagenome_res07	Res
Metagenome_res08	Res
Metagenome_res09	Res
Metagenome_res10	Res
Metagenome_wild01	Wild
Metagenome_wild02	Wild
Metagenome_wild03	Wild
Metagenome_wild04	Wild
Metagenome_wild05	Wild
Metagenome_wild06	Wild
Metagenome_wild07	Wild
Metagenome_wild08	Wild
Metagenome_wild09	Wild
Metagenome_wild10	Wild
