sample	group
Metagenome_fam01	Human
Metagenome_fam02	Human
Metagenome_fam03	Human
Metagenome_fam04	Human
Metagenome_fam05	Human
Metagenome_fam06	Human
Metagenome_fam07	Human
Metagenome_fam08	Human
Metagenome_fam09	Human
Metagenome_fam10	Human
Metagenome_hos01	Human
Metagenome_hos02	Human
Metagenome_hos03	Human
Metagenome_hos04	Human
Metagenome_hos05	Human
Metagenome_hos06	Human
Metagenome_hos07	Human
Metagenome_hos08	Human
Metagenome_hos09	Human
Metagenome_hos10	Human
Metagenome_lab01	Other
Metagenome_lab02	Other
Metagenome_lab03	Other
Metagenome_lab04	Other
Metagenome_lab05	Other
Metagenome_lab06	Other
Metagenome_lab07	Other
Metagenome_lab08	Other
Metagenome_lab09	Other
Metagenome_lab10	Other
Metagenome_res01	Human
Metagenome_res02	Human
Metagenome_res03	Human
Metagenome_res04	Human
Metagenome_res05	Human
Metagenome_res06	Human
Metagenome_res07	Human
Metagenome_res08	Human
Metagenome_res09	Human
Metagenome_res10	Human
Metagenome_wild01	Other
Metagenome_wild02	Other
Metagenome_wild03	Other
Metagenome_wild04	Other
Metagenome_wild05	Other
Metagenome_wild06	Other
Metagenome_wild07	Other
Metagenome_wild08	Other
Metagenome_wild09	Other
Metagenome_wild10	Other
