sample	group
Metagenome_fam01	Other
Metagenome_fam02	Other
Metagenome_fam03	Other
Metagenome_fam04	Other
Metagenome_fam05	Other
Metagenome_fam06	Other
Metagenome_fam07	Other
Metagenome_fam08	Other
Metagenome_fam09	Other
Metagenome_fam10	Other
Metagenome_hos01	Other
Metagenome_hos02	Other
Metagenome_hos03	Other
Metagenome_hos04	Other
Metagenome_hos05	Other
Metagenome_hos06	Other
Metagenome_hos07	Other
Metagenome_hos08	Other
Metagenome_hos09	Other
Metagenome_hos10	Other
Metagenome_lab01	Lab
Metagenome_lab02	Lab
Metagenome_lab03	Lab
Metagenome_lab04	Lab
Metagenome_lab05	Lab
Metagenome_lab06	Lab
Metagenome_lab07	Lab
Metagenome_lab08	Lab
Metagenome_lab09	Lab
Metagenome_lab10	Lab
Metagenome_res01	Other
Metagenome_res02	Other
Metagenome_res03	Other
Metagenome_res04	Other
Metagenome_res05	Other
Metagenome_res06	Other
Metagenome_res07	Other
Metagenome_res08	Other
Metagenome_res09	Other
Metagenome_res10	Other
Metagenome_wild01	Other
Metagenome_wild02	Other
Metagenome_wild03	Other
Metagenome_wild04	Other
Metagenome_wild05	Other
Metagenome_wild06	Other
Metagenome_wild07	Other
Metagenome_wild08	Other
Metagenome_wild09	Other
Metagenome_wild10	Other
