sample	group
Metagenome_fam01	Other
Metagenome_fam02	Other
Metagenome_fam03	Other
Metagenome_fam04	Other
Metagenome_fam05	Other
Metagenome_fam06	Other
Metagenome_fam07	Other
Metagenome_fam08	Other
Metagenome_fam09	Other
Metagenome_fam10	Other
Metagenome_hos01	Other
Metagenome_hos02	Other
Metagenome_hos03	Other
Metagenome_hos04	Other
Metagenome_hos05	Other
Metagenome_hos06	Other
Metagenome_hos07	Other
Metagenome_hos08	Other
Metagenome_hos09	Other
Metagenome_hos10	Other
Metagenome_lab01	Other
Metagenome_lab02	Other
Metagenome_lab03	Other
Metagenome_lab04	Other
Metagenome_lab05	Other
Metagenome_lab06	Other
Metagenome_lab07	Other
Metagenome_lab08	Other
Metagenome_lab09	Other
Metagenome_lab10	Other
Metagenome_res01	Other
Metagenome_res02	Other
Metagenome_res03	Other
Metagenome_res04	Other
Metagenome_res05	Other
Metagenome_res06	Other
Metagenome_res07	Other
Metagenome_res08	Other
Metagenome_res09	Other
Metagenome_res10	Other
Metagenome_wild01	Wild
Metagenome_wild02	Wild
Metagenome_wild03	Wild
Metagenome_wild04	Wild
Metagenome_wild05	Wild
Metagenome_wild06	Wild
Metagenome_wild07	Wild
Metagenome_wild08	Wild
Metagenome_wild09	Wild
Metagenome_wild10	Wild
