sample	group
Metagenome_fam01	Human
Metagenome_fam02	Human
Metagenome_fam03	Human
Metagenome_fam04	Human
Metagenome_fam05	Human
Metagenome_fam06	Human
Metagenome_fam07	Human
Metagenome_fam08	Human
Metagenome_fam09	Human
Metagenome_fam10	Human
Metagenome_hos01	Human
Metagenome_hos02	Human
Metagenome_hos03	Human
Metagenome_hos04	Human
Metagenome_hos05	Human
Metagenome_hos06	Human
Metagenome_hos07	Human
Metagenome_hos08	Human
Metagenome_hos09	Human
Metagenome_hos10	Human
Metagenome_lab01	Lab
Metagenome_lab02	Lab
Metagenome_lab03	Lab
Metagenome_lab04	Lab
Metagenome_lab05	Lab
Metagenome_lab06	Lab
Metagenome_lab07	Lab
Metagenome_lab08	Lab
Metagenome_lab09	Lab
Metagenome_lab10	Lab
Metagenome_res01	Human
Metagenome_res02	Human
Metagenome_res03	Human
Metagenome_res04	Human
Metagenome_res05	Human
Metagenome_res06	Human
Metagenome_res07	Human
Metagenome_res08	Human
Metagenome_res09	Human
Metagenome_res10	Human
Metagenome_wild01	Wild
Metagenome_wild02	Wild
Metagenome_wild03	Wild
Metagenome_wild04	Wild
Metagenome_wild05	Wild
Metagenome_wild06	Wild
Metagenome_wild07	Wild
Metagenome_wild08	Wild
Metagenome_wild09	Wild
Metagenome_wild10	Wild
