contract	X	number	group
Wild_vs_Lab_up	Wild_vs_Lab	135	Wild
Wild_vs_Human_up	Wild_vs_Human	158	Wild
Wild_intersection_up	Wild_intersection	120	Wild
Wild_vs_Lab_down	Wild_vs_Lab	-113	Wild
Wild_vs_Human_down	Wild_vs_Human	-144	Wild
Wild_intersection_down	Wild_intersection	-100	Wild
Lab_vs_Wild_up	Lab_vs_Wild	112	Lab
Lab_vs_Human_up	Lab_vs_Human	131	Lab
Lab_intersection_up	Lab_intersection	6	Lab
Lab_vs_Wild_down	Lab_vs_Wild	-134	Lab
Lab_vs_Human_down	Lab_vs_Human	-26	Lab
Lab_intersection_down	Lab_intersection	-13	Lab
Human_vs_Lab_up	Human_vs_Lab	144	Human
Human_vs_Wild_up	Human_vs_Wild	26	Human
Human_intersection_up	Human_intersection	10	Human
Human_vs_Lab_down	Human_vs_Lab	-158	Human
Human_vs_Wild_down	Human_vs_Wild	-31	Human
Human_intersection_down	Human_intersection	-18	Human
