ID	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
neg_2208	297805.0142816	148345.580097931	302142.732447059	198790.441257746	258634.997983562	222685.887691852	237758.171312381	273703.504109278	167223.492886111	285747.908807353	853951.6000625	720601.490529412	1800944.53984848	66065.3720740741	178835.153773684	1664004.20876923	2102082.16681818	1591689.35071186	57444.7570709859	210413.480983333	126181.617	194028.69494717	1138307.36182162	335676.932	685419.041261905	600372.62985098	1142058.49474419	79701.2723135714	1665064.59170732	566005.099730612	917027.833957895	384592.51639375	257895.39889697	601257.735716667	136193.094444444	347065.885369697	132673.638221875	8377957.93632258	669685.247329032	231033.931432432	776581.502538461	1028602.4128	132066.277617931	1674669.11633	328412.60654	154417.649626667	31995922.2485714	980718.514391667	127816.947486364	2187985.032
neg_22468	2367686.021776	4437313.14827586	2626982.80185294	3376040.33183099	2626170.5789726	3577688.06074074	3560693.04672381	2442365.952	3751527.95875	2553516.24886765	1177759.07279167	463043.419732353	1610367.40966667	848527.917975309	1394175.65294737	8257567.80984615	828443.151454545	3571803.73291525	995149.255380282	2484854.04494444	3446355.523	4306191.422	3729099.54962162	1395925.626	328478.08022381	3278238.69054902	6987137.87595349	1185766.49992857	3469605.08556098	2196233.44595918	8040333.376	2610143.3806875	982732.568860606	573300.397175	1924890.47715556	8483724.7149697	17030513.7025	6708530.53929032	4513588.79077419	34809738.4637838	8127262.14315384	1595160.5764	1298110.61266897	36080769.139	12958826.0531	61224783.76	1417477.88245	4835147.79866667	1517393.83479091	11100756.699375
neg_23480	364288.9235776	405060.592537931	605859.781544118	431147.988521127	458704.117931507	392112.950237037	522231.036914286	449822.72947835	403749.948736111	445025.592941176	876709.033916667	1150548.54188235	1342485.413	633574.963209877	912912.476157895	1747145.07319231	781071.390333333	1085389.13755932	723232.279521127	1134799.08597222	2693227.566	1563948.64577358	1176417.74815676	974287.6409	1092655.83890952	1673661.28509804	1768794.86804651	886590.202464286	1058246.14431707	2360366.30036735	6623128.53242105	3203198.600625	1931428.63121212	2246545.39908333	1186847.564	2667479.27860606	1940350.4820625	2534027.1976129	2376229.6463871	3445412.39513513	5134968.73707692	3792671.7	3860289.60351724	2083211.83296	7762511.9853	4783955.93455555	2291406.25371429	3303820.96425	3763286.28690909	1879236.6775
neg_4949	230221.9533856	434336.202496552	250613.989064706	334274.559661972	258397.132991781	353268.258074074	348053.619182857	236026.329113402	366667.103041667	243926.403602941	114747.78300625	47159.3249711765	160912.207884848	79751.4815259259	135544.825355263	827702.161588461	85546.3721515152	348256.103216949	96685.3263070423	244506.142613889	334001.9756	421413.184332075	362276.705113513	135937.625	36144.0426504762	320015.853047059	685206.901948837	113493.093310714	327442.790795122	213021.512559184	781100.343984211	247676.94166875	95042.4853309091	61129.2555408333	183380.576164444	823828.468672727	1675156.5979375	650795.289903226	433616.481870968	3423026.55481081	773264.813369231	155985.77502	129596.257652414	3528472.4925	1237916.63382	6075846.20566667	143877.394946429	452624.307291667	147125.702744545	1085882.5719625
neg_17905	2963032.241296	2754284.37564138	6415444.81441176	2570135.74539437	2172435.8470274	2819014.58918518	3524469.94849524	4246377.77138144	2593248.91708333	2435510.61867647	3941.5805740625	18686.79896	16684.3036324242	6714.32055703704	9077.06276052632	12931.3028357692	35227.5129651515	23261.0055125424	4296.66341802817	40209.795195	29627.75263	21880.3009984906	12156.9322908108	13065.36882	8699.97836261905	42262.0859909804	16964.6883697674	8064.07031242857	16683.6626414634	32776.2384044898	65764.61898	47865.750526875	24771.8927624242	23131.3232725	40693.8629546667	116549.784773333	120490.283036875	115364.218250968	56672.4694670968	42692.6505254054	149456.954031538	77846.92136	84804.3265931034	42849.680961	188890.71839	398456.073811111	47176.7112635714	5595.36120966667	137830.713999091	88559.90998125
neg_20252	51049.7378416	50214.2334358621	92163.6123264706	42281.6722816901	44156.1091246575	51443.856642963	57804.4000933333	64369.5259958763	44550.9644458333	47516.5790397059	192023.687472917	686950.481411765	293138.571690909	102142.76102716	112795.522571053	322095.662484615	122358.890424242	183195.556677966	34247.0330811268	227133.123791667	621166.1893	38054.2317211321	202718.929935135	99986.51932	57700.4829938095	561039.561019608	662474.148255814	90220.3570928571	261171.020726829	313248.829322449	172417.749942105	149440.95454375	290315.086812121	184742.181614167	1276164.2736	421449.118727273	971765.8852375	766140.552993548	266033.283277419	691057.460059459	425494.446561538	113352.43548	60995.5120510345	1347313.40372	2029188.55482	592143.293033333	2245110.94028571	195264.6962	703193.564227273	454371.11613125
neg_23059	28093892.05296	27630383.2252414	37434710.9358824	20160445.3809859	21585597.0253425	27132544.0405926	27084974.5984762	33417299.2946392	24858779.7236111	23927023.05	123156.586264583	353139.546847059	388918.538681818	27669.9759553086	200232.923052632	146847.786492308	82844.5224939394	103792.229735593	669786.966366197	397787.332136111	610892.5064	447970.877535849	130582.944459459	199790.406	66642.7375023809	534114.122337255	260124.397734884	236107.391742857	30501.83364	1359664.20922449	1423989.69226316	1303167.73769375	178673.446587879	407215.872658333	419736.099515555	1101079.24923636	499912.85234375	727519.596103226	622784.641670968	181696.39272973	1559706.25986154	899271.8654	1318440.28570345	2838945.6278	938001.52385	923909.754155555	74953.8141878571	80342.6265058333	600326.912090909	1227764.156325
neg_2465	341050.1922256	331160.298193103	433010.414317647	354916.307464789	389387.023232877	343254.136785185	419374.796750476	380376.672078351	330778.663	393194.837573529	270075.8092125	574176.036770588	652104.966584848	274210.282883951	219271.339742105	654712.550503846	608536.081709091	534387.928386441	229897.102988732	497721.502666667	824570.6422	387822.639656604	551347.825427027	323029.0763	611129.513528571	1975593.66694118	826998.4696	304319.881928571	684503.156848781	694688.926261224	1146089.81321579	759533.23674375	403011.12049697	1761624.51785833	726229.225253333	2063190.712	1115463.98315	1768948.54096774	662798.283432258	1345132.57189189	1411704.69694615	544390.1396	547237.177448276	2498461.4409	2571559.8247	2599185.97544444	898285.895664286	1430201.07496667	976569.380690909	715318.20751875
neg_11502	760627.2684	151831.91625931	382739.975297059	257703.573114084	1150350.71061644	389359.848533333	323073.553300952	788465.247835052	214038.5827625	1085862.09683824	27205.5077758333	109907.487605882	22029.6307248485	66118.2356148148	9366.15699947368	8472.63712896154	20309.5945569697	4859.99482081356	4264.3931131831	17380.94613	23440.8982	68228.9108701887	23869.8432410811	42057.88825	94049.539747619	87666.8656898039	14244.2176567442	5394.49616203571	124898.487673171	48760.0262763265	75166.58704	272831.9061125	86248.8909539394	57939.8043516667	37088.5213328889	35883.407289697	64796.081231875	61692.7231670968	56030.0930296774	87133.0686637838	546703.654123077	56528.5186	91886.6625510345	978910.12402	202332.810215	171239.261823333	218041.296871429	74926.8967375	30097.4626736364	431392.70191875
neg_15318	13052.38368256	7020.19103655172	10378.2653291176	15095.2379250704	17938.3899086301	9277.93951733333	10038.1367790476	12732.3838659794	10475.2786297222	18881.0098438235	944.570293375	7182.38582823529	1259.10584854545	694.199280938271	442.143401631579	31.8891972846154	69.7788195181818	0	2478.69739276056	549.809667769444	111.2123861	1232.60393932075	0	1765.078809	0	1750005.04258824	0	1422.34562446429	0	60.1760458318367	12075.8280823158	662.91262730625	2188.23712733333	275.8617378	0	326.700234139394	2.372335825125	716.386002722581	4139.0366323871	0	0	299.386455	384.161772606897	13045.2696556	3777.6347424	524.938484944444	1227.15606597857	1879.659746975	0	567.6196803625
