ID	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10	QC01	QC02	QC03	QC04	QC05	QC06
neg_2208	809252.7562	467611.0677	446645.7784	613657.4491	820884.9936	653534.6704	542708.8693	577157.3891	523482.2386	844819.9043	1782159.861	1065236.986	2583963.905	116332.503	295466.7758	1881048.236	3016030.935	2041514.602	88664.73374	329342.8398	126181.617	223554.8007	915595.0519	335676.932	625817.3855	665630.5244	1067576.419	97027.63586	1484079.31	602918.4758	757544.7324	267542.6201	185011.9166	313699.6882	133232.375	248982.0482	92294.70485	5646015.131	451309.6232	185831.6405	438937.371	514301.2064	83259.17502	728117.0071	142788.0898	60424.29768	19475778.76	511679.2249	61129.84445	1522076.544	645438.4092	656405.8783	648117.2549	642994.8088	650253.1439	657353.3566
neg_22468	6433929.407	13987182.75	3883365.881	10421689.72	8335237.055	10499736.7	8127668.911	5150206.464	11743913.61	7549526.301	2457931.978	684498.9683	2310527.153	1494146.986	2303420.644	9334641.872	1188635.826	4581226.527	1535991.242	3889336.766	3446355.523	4961481.421	2999493.116	1395925.626	299914.7689	3634568.983	6531454.971	1443541.826	3092474.098	2339466.062	6642014.528	1815751.917	705003.7994	299113.2507	1883045.032	6086150.339	11847313.88	4520966.233	3041766.359	27999137.46	4593669.907	797580.2882	818374.0819	15687290.93	5634272.197	23957524.08	862812.6241	2522685.808	725710.0949	7722265.53	3665772.349	3709478.12	3630668.874	3695530.297	3625466.892	3647170.386
neg_23480	989915.5532	1276821.433	895618.8075	1330935.095	1455886.983	1150766.267	1192049.106	948539.2339	1263912.883	1315727.84	1829653.636	1700810.888	1926174.723	1115642.87	1508290.178	1975033.561	1120667.647	1392129.546	1116293.301	1776207.265	2693227.566	1801940.831	946249.0583	974287.6409	997642.2877	1855580.99	1653438.681	1079327.203	943219.3895	2514303.233	5471280.092	2228312.07	1385590.105	1172110.643	1161046.53	1913626.439	1349809.031	1707713.981	1601372.153	2771309.97	2902373.634	1896335.85	2433660.837	905744.2752	3375005.211	1871982.757	1394769.024	1723732.677	1799832.572	1307295.08	1519792.572	1507155.653	1488732.068	1505800.712	1498546.328	1503631.086
neg_4949	625603.1342	1369103.247	370472.8534	1031891.032	820130.0308	1036765.54	794470.2177	497707.694	1147827.453	721173.715	239473.6341	69713.78474	230874.0374	140431.9566	223943.6245	935663.3131	122740.447	446676.3063	149231.6993	382705.2667	334001.9756	485541.2776	291396.4802	135937.625	33001.08242	354800.1849	640519.4953	138165.5049	291851.1831	226914.2199	645256.8059	172297.0029	68182.65252	31893.52463	179394.0419	591007.3797	1165326.329	438579.4345	292219.803	2753303.968	437062.7206	77992.88751	81701.98852	1534118.475	538224.6234	2377505.037	87577.54475	236151.8125	70364.46653	755396.5718	361041.6771	363342.0536	361492.8939	363930.8499	352536.0272	357147.3157
neg_17905	8051718.047	8681983.358	9483701.03	7933897.301	6895122.471	8273194.99	8044985.752	8954318.344	8117996.61	7200640.09	8225.907285	27623.96368	23938.34869	11823.04272	14996.8863	14617.99451	50543.82295	29834.76794	6631.80658	62937.07074	29627.75263	25209.91202	9778.40206	13065.36882	7943.458505	46855.79099	15858.29565	9817.129076	14870.22105	34913.81917	54327.29394	33297.91341	17771.14046	12068.51649	39809.21376	83611.80212	83819.32733	77745.45143	38192.31638	34339.74064	84475.66967	38923.46068	53463.5972	18630.29607	82126.3993	155917.5941	28716.25903	2919.318892	65919.03713	61606.8939	647626.8547	630814.6195	673165.676	633431.9779	634784.5834	637440.5526
neg_20252	138722.1137	158283.9967	136241.8617	130521.684	140147.6507	150976.5358	131944.8263	135735.7396	139463.8887	140483.7989	400745.0869	1015492.016	420590.1246	179860.0792	186357.8199	364108.1402	175558.408	234968.214	52859.55106	355512.7155	621166.1893	43845.09307	163056.5306	99986.51932	52683.04969	622022.122	619269.3125	109833.4782	232782.8663	333678.1008	142432.0543	103958.9249	208269.5188	96387.22519	1248421.572	302343.933	676011.0506	516312.1118	179283.2996	555850.5657	240496.8611	56676.21774	38453.69238	585788.4364	882255.8934	231708.2451	1366589.268	101877.2328	336309.9655	316084.2547	262991.3282	264919.3798	261117.7596	258658.6659	272129.9911	265800.5689
neg_23059	76342097.97	87095773.21	55338268.34	62234418.35	68510807.95	79628118.38	61824398.54	70466913.73	77818788.7	70740763.8	257022.4409	522032.3736	558013.5555	48723.21853	330819.612	166001.8456	118863.8801	133124.8164	1033801.622	622623.6503	610892.5064	516140.3589	105034.1075	199790.406	60847.71685	592170.0052	243159.7631	287435.0856	27186.41694	1448337.962	1176339.311	906551.4697	128178.7769	212460.4553	410611.4017	789904.6788	347765.4625	490284.9452	419702.6933	146147.0985	881573.1034	449635.9327	831190.6149	1234324.186	407826.7495	361529.9038	45624.06081	41917.89209	287112.871	854096.8044	5357396.173	5331226.552	5383776.893	5305115.557	5340044.317	5312735.868
neg_2465	926766.8267	1043874.853	640102.3516	1095611.21	1235880.552	1007376.271	957268.5578	802098.6346	1035481.032	1162489.085	563636.4714	848781.9674	935628.8651	482848.5416	362274.3874	740109.8397	873116.9868	685410.6038	354841.1807	779042.352	824570.6422	446839.1283	443475.4248	323029.0763	557987.8167	2190332.109	773063.7868	370476.378	610100.6398	739994.7258	946769.8457	528370.9473	289116.6734	919108.4441	710441.6334	1480115.076	775974.9448	1192117.495	446668.4084	1081954.46	797920.0461	272195.0698	344997.351	1086287.583	1118069.489	1017072.773	546782.7191	746191.8652	467054.9212	497612.6661	630399.6827	633795.6168	607889.8039	618726.9683	623789.3443	625407.8789
neg_11502	2066921.925	478600.6056	565789.5287	795519.7257	3651113.125	1142686.512	737450.5021	1662633.24	670033.8243	3210374.895	56776.71188	162471.9382	31607.73104	116425.5888	15474.52026	9577.763711	29139.85306	6233.471618	6581.998066	27204.95916	23440.8982	78611.57122	19199.65652	42057.88825	85871.3189	97195.87283	13315.24694	6567.212719	111322.5651	51940.02799	62094.13712	189796.1086	61874.20438	30229.46314	36282.24913	25742.44436	45075.53477	41575.53083	37759.41052	70085.29436	309006.4132	28264.2593	57928.54813	425613.0974	87970.78705	67006.66767	132720.7894	39092.29395	14394.43867	300099.2709	188997.7245	201762.4867	213522.9755	199470.0505	208029.5556	202422.3692
neg_15318	35468.43392	22128.86305	15341.78353	46598.34316	56934.88971	27228.73554	22913.1383	26848.7225	32792.17658	55822.11606	1971.277134	10617.43992	1806.543174	1222.394386	730.497794	36.0486578	100.1174367	0	3825.815541	860.5716539	111.2123861	1420.174104	0	1765.078809	0	1940222.982	0	1731.551195	0	64.10057056	9975.684068	461.1566103	1569.822287	143.9278632	0	234.3719071	1.650320574	482.7818714	2789.350774	0	0	149.6932275	242.1889436	5671.856372	1642.449888	205.4107115	746.9645619	980.6920419	0	394.8658646	28529.25888	26076.90733	27746.88616	29129.66341	25501.49834	27484.57227
neg_15664	1749313.856	404268.5111	343342.5221	937355.802	4283290.234	928615.0401	748049.1444	1332707.254	651073.6875	3905311.64	79353.02128	307622.5406	32304.47922	103990.5649	13018.40439	12194.43579	21873.07782	13460.19801	15314.73581	42999.26666	22532.45891	91499.31378	32545.12271	23614.4071	109493.2954	295430.0261	7821.700404	11651.06296	132642.0599	60257.36376	95057.43286	179994.7185	120804.058	33618.59775	30266.29058	89716.90433	26828.27929	109604.3781	99113.10676	35258.70013	364170.9937	43424.66874	101939.3852	401842.9111	109552.1204	38471.89167	70985.7141	62732.21208	45541.92047	275150.0158	338600.7995	333301.7231	340859.9229	344616.6348	360008.266	360164.4577
neg_17583	13027282.83	17795473.66	13882504.89	12127240.15	12982370.78	15152986.86	12735638.81	13030793.74	14362554.47	12679396.84	23404637.42	32897819.16	41980765.9	51180188.35	31527280.19	39725222.81	56893342.94	40740696.69	25994974.6	37742509.53	29543833.99	30210748.74	27734360.82	27664644.69	22583714.43	15357813.39	36819299.77	29754785.64	44666719.42	25395368.12	38248719.03	43012070.85	27160108.89	23625742.9	33352664.03	34366557.05	38938291.96	32209134.66	35593058.52	46145211.12	39513072.76	31358677.21	47502738.59	55833792.23	42712644.23	59152236.31	26834231.39	23973051.48	21983122.35	40221485.25	26819845.65	27689632.09	27469604.49	28212406.86	27905897.38	27378298.63
neg_22513	70381.94047	62161.62771	74425.47586	67883.3208	65846.40089	59225.78501	69780.29292	69237.70668	60323.1344	69160.84439	72559.46906	135609.506	51621.82658	24417.03227	117673.3486	59983.88033	3389487.637	1534030.854	50100.96069	79015.2844	49831.87792	69653.5079	487968.4757	579665.4889	732229.2065	996822.2864	58637.12615	55769.42019	928174.6004	78841.07709	69321.8162	82358.92128	42203.82224	520665.5748	47434.15316	423644.7613	45474.57563	322351.876	64368.24963	43626.82667	51628.55974	67312.33111	52760.55186	55339.97195	70885.71159	48846.50234	53691.40449	28525.83283	51912.53143	69426.58211	230652.1722	235961.2099	228440.4931	232806.7915	231936.4609	231195.7445
neg_19570	13344765.14	9449745.608	13925671.63	11268093.75	9217699.478	10943161.6	12399245.43	13602411.81	9868109.728	10102860.82	625655.0063	1386460.972	2734468.149	705797.3728	601206.5711	527185.5333	38403976.72	16789102.67	5182099.735	231901.923	352484.1635	187123.1139	6897160.887	753371.7699	399166.456	1334694.766	1123472.21	360397.9224	11872041.54	669109.1305	687294.6425	482948.6672	321640.3932	3425131.887	2604600.749	350752.5776	1307329.747	575137.0087	432416.9264	219485.1568	696583.5794	534766.2925	348184.9398	8882630.644	894481.5876	289308.7373	1370170.315	329358.2273	218591.5649	250923.0291	3107298.737	3047226.787	3169591.012	3089000.173	3160140.916	3144388.554
