ID	weight_mg	volume_ul
fam01	4.6	150
fam02	5.3	150
fam03	3.7	150
fam04	4.6	150
fam05	4.2	150
fam06	5.1	150
fam07	4.3	150
fam08	5.6	150
fam09	4.1	150
fam10	4.9	150
hos01	2.6	150
hos02	2.3	150
hos03	2.9	150
hos04	2	150
hos05	2	150
hos06	1.8	150
hos07	2.8	150
hos08	2.4	150
hos09	2.2	150
hos10	3.2	150
lab01	9.6	150
lab02	6.8	150
lab03	6.6	150
lab04	8.1	150
lab05	7.6	150
lab06	5.2	150
lab07	6.6	150
lab08	5.9	150
lab09	7.1	150
lab10	7.2	150
res01	3.8	150
res02	3.2	150
res03	3.3	150
res04	2.4	150
res05	4.5	150
res06	3.3	150
res07	3.2	150
res08	3.1	150
res09	3.1	150
res10	3.7	150
wild01	12.5	150
wild02	14.5	150
wild03	6.8	150
wild04	14.2	150
wild05	14.6	150
wild06	13.5	150
wild07	10.5	150
wild08	9.7	150
wild09	14.4	150
wild10	13.6	150
