module	Module category
MetaB_M061	Miscellaneous
MetaB_M033	Organic acids and derivatives
MetaB_M021	Miscellaneous
MetaB_M087	Organic acids and derivatives
MetaB_M135	Phenylpropanoids and polyketides
MetaB_M010	Organoheterocyclic compounds
MetaB_M110	Benzenoids
MetaB_M076	Benzenoids
MetaB_M067	Miscellaneous
MetaB_M064	Organoheterocyclic compounds
MetaB_M085	Organic acids and derivatives
MetaB_M078	Organoheterocyclic compounds
MetaB_M079	Miscellaneous
MetaB_M054	Miscellaneous
MetaB_M096	Phenylpropanoids and polyketides
MetaB_M041	Organic oxygen compounds
MetaB_M012	Organic acids and derivatives
MetaB_M032	Lipids and lipid-like molecules
MetaB_M122	Organoheterocyclic compounds
MetaB_M031	Miscellaneous
MetaB_M075	Lipids and lipid-like molecules
MetaB_M129	Miscellaneous
MetaB_M026	Lipids and lipid-like molecules
MetaB_M090	Lipids and lipid-like molecules
MetaB_M055	Organoheterocyclic compounds
MetaB_M128	Lipids and lipid-like molecules
MetaB_M117	Lipids and lipid-like molecules
MetaB_M017	Lipids and lipid-like molecules
MetaB_M073	Lipids and lipid-like molecules
MetaB_M060	Lipids and lipid-like molecules
MetaB_M099	Lipids and lipid-like molecules
MetaB_M142	Organoheterocyclic compounds
MetaB_M088	Benzenoids
MetaB_M029	Lipids and lipid-like molecules
MetaB_M139	Miscellaneous
MetaB_M040	Miscellaneous
MetaB_M130	Miscellaneous
MetaB_M020	Miscellaneous
MetaB_M108	Organic acids and derivatives
MetaB_M103	Organic acids and derivatives
MetaB_M038	Organic oxygen compounds
MetaB_M022	Miscellaneous
MetaB_M013	Organoheterocyclic compounds
MetaB_M003	Lipids and lipid-like molecules
MetaB_M030	Miscellaneous
MetaB_M071	Lipids and lipid-like molecules
MetaB_M143	Organic oxygen compounds
MetaB_M059	Lipids and lipid-like molecules
MetaB_M045	Lipids and lipid-like molecules
MetaB_M052	Miscellaneous
MetaB_M024	Organic acids and derivatives
MetaB_M123	Organic acids and derivatives
MetaB_M091	Organoheterocyclic compounds
MetaB_M092	Organoheterocyclic compounds
MetaB_M089	Lipids and lipid-like molecules
MetaB_M131	Miscellaneous
MetaB_M140	Organic acids and derivatives
MetaB_M127	Lipids and lipid-like molecules
MetaB_M137	Organic acids and derivatives
MetaB_M069	Lipids and lipid-like molecules
MetaB_M028	Organic acids and derivatives
MetaB_M050	Organoheterocyclic compounds
MetaB_M066	Miscellaneous
MetaB_M118	Lipids and lipid-like molecules
MetaB_M016	Lipids and lipid-like molecules
MetaB_M042	Organic acids and derivatives
MetaB_M074	Lipids and lipid-like molecules
MetaB_M025	Organoheterocyclic compounds
MetaB_M144	Organic acids and derivatives
MetaB_M047	Miscellaneous
MetaB_M036	Lipids and lipid-like molecules
MetaB_M141	Organic acids and derivatives
MetaB_M094	Lipids and lipid-like molecules
MetaB_M019	Miscellaneous
MetaB_M114	Miscellaneous
MetaB_M027	Lipids and lipid-like molecules
MetaB_M080	Lipids and lipid-like molecules
MetaB_M037	Lipids and lipid-like molecules
MetaB_M065	Organic acids and derivatives
MetaB_M134	Organic acids and derivatives
MetaB_M062	Lipids and lipid-like molecules
MetaB_M120	Organic acids and derivatives
MetaB_M015	Lipids and lipid-like molecules
MetaB_M001	Phenylpropanoids and polyketides
MetaB_M058	Organic acids and derivatives
MetaB_M093	Organoheterocyclic compounds
MetaB_M082	Lipids and lipid-like molecules
MetaB_M077	Phenylpropanoids and polyketides
MetaB_M121	Lipids and lipid-like molecules
MetaB_M049	Phenylpropanoids and polyketides
MetaB_M056	Lipids and lipid-like molecules
MetaB_M084	Benzenoids
MetaB_M018	Lipids and lipid-like molecules
MetaB_M051	Lipids and lipid-like molecules
MetaB_M132	Organic acids and derivatives
MetaB_M068	Organic acids and derivatives
MetaB_M113	Lipids and lipid-like molecules
MetaB_M138	Organic acids and derivatives
MetaB_M009	Lipids and lipid-like molecules
MetaB_M133	Organoheterocyclic compounds
MetaB_M044	Phenylpropanoids and polyketides
MetaB_M008	Organic oxygen compounds
