module	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
MetaB_M055	-0.20154776951547	-4.87804241444678e-17	-4.13903713291293	3.52910259364837e-05	0.000508190773485365	1.97912003405448	-3.29397322409629	Lab_down	0.128581546779522	0.091761471588944	0.207073681382663	0.0860694603364537	0.11537844385776	0.117212249132311	0.140776895307782	0.160084468778263	0.090287953176553	0.124791814611339	-0.20015759902099	-0.106011034764223	-0.0714173129885328	-0.354187103464703	-0.175610135290513	-0.174385736742299	-0.145233850657052	-0.188918515605536	-0.218118312818943	0.0216574452290299	0.0723853016670873	-0.0215931756851027	-0.166886103969515	-0.177635698381328	-0.173389459225221	0.0970252296370882	-0.100641692268315	-0.111435134781089	-0.166761872255809	-0.0368676527806041	0.0551587647933879	-0.0574184315477542	-0.0900850471044152	-0.0488189881666451	-0.0916494781901043	0.233929974490838	0.11179428730121	0.181709822800161	-0.0302072638045591	0.0761312965958422	0.159906367252626	0.0517826796012264	-0.0671385092384685	0.113693775565214	0.166772818924883	0.25393065003838	-0.105451499183432	-0.059062607126988	0.140960011215184	0.140225804998391
MetaB_M128	-0.209902255888619	-8.02136135291676e-17	-4.31060702628367	1.65066485559674e-05	0.000264106376895478	2.68040692609246	-3.57822111254891	Lab_down	0.226159744308375	0.183495318875632	0.307389172485703	0.199390396601767	0.223625536632213	0.207363436287155	0.241937155321978	0.269701980034986	0.194160435032822	0.234043659670526	-0.211989501434532	-0.158300811961407	-0.150578003930297	-0.0972501319073837	-0.19618792735523	-0.180184358671829	-0.14888030677758	-0.205477976281008	-0.133576048520481	-0.196792980269209	-0.138157235262147	-0.108775743535198	-0.0900399985436399	-0.101152115160172	-0.0717778113293797	-0.0477850090620629	-0.116488695172008	-0.153969953725994	-0.0383245163773866	-0.130107670265999	-0.0341630662161159	-0.0284614416318513	-0.00288096000713196	0.0136905115458222	-0.0145227553928925	-0.0650494686543192	0.00692932533693224	-0.0412176083191466	0.00842975682995047	-0.0502101130004278	0.0261269987038416	0.0288352100513366	0.0393211180445843	0.109744053454428	0.0841433126332566	0.0867330145113762	0.0712075635476023	0.100783895385929	0.0429505057038461	0.00614010776476238
MetaB_M117	-0.219842437414982	4.54497550705923e-18	-4.51474116552232	6.44452062443948e-06	0.000116001371239911	3.55189954056036	-3.93553687699371	Lab_down	0.21128391764694	0.18058955926227	0.302170850948621	0.181762856445004	0.215278446125327	0.20372072508713	0.230297531315605	0.253713397750748	0.183973800519499	0.224432875627427	-0.229692148875628	-0.131500820611682	-0.190594139730324	-0.0657189777191734	-0.18256671825839	-0.201493077838057	-0.221113843252362	-0.251132860916131	-0.111630678051894	-0.173296234066213	0.033984349481832	-0.0923048471574391	-0.040013774241293	-0.0883297150716084	-0.00305576722766671	-0.169547154018763	-0.0986088895761484	-0.0277561832482606	-0.0904322345077596	-0.0576082410217079	0.0494245551490104	0.0763590005812984	0.0457945280707267	0.0301916702622844	0.0021965751309802	-0.0587131517680103	-0.000728857756456181	-0.099193216548528	-0.0337989826784534	-0.100187184558706	0.060899880481359	0.0369166950691588	0.150410941647998	0.120954899676485	0.0263164877498641	0.0456430727718722	-0.0922355967535025	0.0491826887576864	-0.0146202657246924	-0.0896257443802765
MetaB_M017	-0.224133423228663	-4.77048955893622e-18	-4.60286196022189	4.24168628188123e-06	8.72575463701282e-05	3.94056442969766	-4.05919700327787	Lab_down	0.105694128480994	0.081727203105822	0.267591580066632	0.048996765377601	0.07619699998925	0.0927363699231865	0.139428252645535	0.176539498925714	0.0612273310833833	0.0943233281673499	-0.234549211721704	-0.181978187902912	-0.246213762685673	0.0361276923641361	-0.203488304648364	-0.117726059580471	-0.246523086186016	-0.186371071395496	-0.141504172693343	-0.270841221379463	-0.0967613847246077	-0.166827373935762	0.0263845106075164	0.046216662450103	0.141861947778453	-0.274892049718843	0.0139028460383549	-0.135732893520326	-0.0331117156709716	-0.0681517038998937	0.074231547612489	0.128672778114238	0.142254755983142	0.0718954369562398	0.110898997694456	-0.153257704800268	0.081273495745551	-0.0773768299752769	0.0041801915665731	-0.100174364524373	0.0780402537166574	0.0873317025155305	0.181427568951068	0.262111553576506	0.0979857995737618	0.0682387162052243	0.0837129891439002	0.162141299477543	-0.0257477734517796	-0.0821233314213679
MetaB_M073	-0.229489756437129	4.861996222294e-17	-4.71286100461416	2.49043504043326e-06	5.97704409703984e-05	4.43626760098351	-4.22351354004545	Lab_down	0.00502873295871082	0.0344272399875335	0.198347189830065	-0.00559143497510378	0.0220039611172973	-0.00126994515167509	0.0677404539871337	0.109513365132931	0.0280208093138852	0.0314341718312191	-0.26789178360438	-0.0701637819106686	-0.192484345297972	-0.124984578218154	-0.227237085861868	-0.21920656231174	-0.122310941621617	-0.265745128379095	-0.163463478999333	-0.182430365292205	-0.132560071454333	-0.0837908322799939	-0.076552495893518	-0.0817233976637209	-0.163818854264558	0.102246348119261	-0.158529914727041	-0.183511955393309	0.132013705463322	-0.0781174393940527	-0.0046409439417485	0.0401190523829804	-0.0853065322602175	0.143424060757049	-0.0245809837833919	0.0168221245184916	0.0831562339873152	0.0695472493762362	0.126478720489491	0.0439370007000309	0.0704683843126179	0.0333930717407098	0.251408408268653	0.0529027405267696	0.237784929634896	0.217257562143	0.299427287350197	0.152416603638582	0.159884925005288	0.186708520106032
MetaB_M060	-0.241164395962883	3.84241249928863e-17	-4.95261442201311	7.49606034127761e-07	4.14251336623342e-05	5.55726407742585	-4.38273608161181	Lab_down	0.0659780161942733	0.0503986502047056	0.173307708582283	0.0756670807496708	0.0580982298402999	0.0682822950504586	0.130060900278476	0.118808267785134	0.0586953848551358	0.0562458382644925	-0.188504338031399	-0.162583911565028	-0.135513514800732	-0.315224122940823	-0.213409782669204	-0.281218805654729	-0.183010313081225	-0.358832198688948	-0.0522025650686879	-0.0388156152022917	0.0931466734159952	0.0420542391009933	-0.0919617941601701	-0.064447521717097	-0.111225721477772	-0.156702244377141	-0.113085955233138	-0.0766395117844754	-0.173774921670295	-0.0229375681693374	0.0880991098472194	0.0680152448195854	-0.00948710437844575	0.0635551193364579	0.0456948127745382	0.0729050342039036	0.122994515343898	0.0264415547979923	-0.0100045611496177	0.142818129271657	0.1141767751646	0.147597489465381	0.101070920621747	0.042563883140288	0.193950437503107	0.303353241273191	-0.093011293811661	0.0063556134330502	0.291782659572076	0.0304755407416099
MetaB_M099	-0.235169286525056	2.22087973011931e-17	-4.82949730373045	1.39823510441508e-06	4.14251336623342e-05	4.97466836956535	-4.38273608161181	Lab_down	0.0130577061772946	-0.0328064853618983	0.154388121058424	-0.0327865235175013	0.0112611713571949	-0.0135057514716009	0.0348947923303103	0.0754181959594614	-0.0249308734203867	0.0166559047598787	-0.227411322580511	-0.160305024284771	-0.155635740736079	-0.152866900419989	-0.177220498292586	-0.315377225052207	-0.129508021852185	-0.267823494409151	-0.107735508306726	-0.187470556266246	-0.0950774315038925	0.000153930799800948	-0.0989382718537817	-0.103492889903026	-0.108351898011414	0.0172355374659589	-0.201388142090198	-0.136717772540466	0.0105951907959001	-0.101217192321722	0.0749485363034172	0.044580629330284	0.0508162635375296	0.140301760219459	-0.00847641824237427	0.124754985561345	0.106070179434791	0.100643086166788	0.0904185083660948	0.14232943135186	0.153429506882996	0.165065579192837	0.199361325516272	-0.0421476738419124	0.266491766471915	0.283501591382493	0.0380983343378487	0.16620068430988	0.287196879672335	0.113322017538257
MetaB_M142	-0.234893776576913	3.77586959095233e-17	-4.82383936016404	1.43837269660883e-06	4.14251336623342e-05	4.94824718503379	-4.38273608161181	Lab_down	0.167998586751882	0.1474941322089	0.288410268533427	0.131769891853028	0.160250023867036	0.164088206918549	0.19683053898741	0.217297568842748	0.141345331548361	0.165916100931199	-0.267604509035433	-0.143600150838297	-0.136295026709255	-0.240554440916529	-0.209829374877393	-0.163955531311742	-0.171421757474584	-0.212344988207153	-0.23105758855899	-0.102486844685925	-0.0470939055645939	-0.0689273443583577	-0.13555886208775	-0.183342163262418	-0.131728191037648	-0.106384356356266	-0.0746663333638754	-0.129956912859226	-0.102024162390547	-0.0710185375299603	0.0688855621467214	-0.00346030102418365	-0.0799399026260657	0.0256123752094657	0.00870203886293517	0.076966116814128	0.0942141029250965	0.0585548904947596	-0.0127144970718043	0.0315176417816662	0.112907771458751	0.0852098749988967	0.0350675959390001	0.136348877464698	0.151515746675767	0.204691439553222	-0.0516361030028508	6.3355625518985e-05	0.109549587007002	0.0963941577506813
MetaB_M088	-0.237318327391185	1.79977560632594e-17	-4.87363056289	1.12008238320811e-06	4.14251336623342e-05	5.18182268036296	-4.38273608161181	Lab_down	0.0833021320328715	0.0826762000114716	0.237503126793454	0.062849854390714	0.0675022137250794	0.0893493142117692	0.140016452721877	0.150804126073719	0.072899338503449	0.0790593755381607	-0.240254518059873	-0.151349078489886	-0.119712276262815	-0.285758762136476	-0.184098365379425	-0.14975822387976	-0.274828361397721	-0.236578148256786	-0.156244726837345	-0.0999641584293968	-0.0929787454975597	-0.00347763566868456	-0.149261828579249	-0.151515319151376	-0.114939299745343	-0.0158432711764315	-0.107864828249731	-0.130230590171468	-0.161129563824001	-0.0453004611261814	0.0373077113435362	0.0488801555806286	-0.031902984762503	-0.00272856247940824	-0.126415610243477	0.0418223883964637	0.0376078156176269	0.0664424949089386	0.117567227992195	0.069036425620408	0.100056383996166	0.169693517135383	0.0462434728906075	0.0966449139168304	0.241315582879178	0.258198978278546	0.138994613415407	0.0848169988671118	0.246218838399483	0.165325666563823
MetaB_M029	-0.253884626618414	-1.64625257870199e-17	-5.21384036933582	1.90335843574828e-07	2.74083614747752e-05	6.84196509110974	-4.56211692665436	Lab_down	0.120690137821615	0.0656646241449058	0.235555722093108	0.0867549193861962	0.0675774120096079	0.0795771143686301	0.148058827034263	0.165562517027783	0.0875671929686772	0.0803812120606362	-0.284207925804904	-0.194682491137023	-0.188894879010363	-0.142758922054437	-0.310322589390292	-0.266369296546308	-0.00241349741487746	-0.167402960608237	-0.265357021462739	-0.208667429518131	-0.10674260152395	-0.0530854040573359	-0.10682332223676	-0.0636233299688281	-0.0376068442138043	-0.103326982276195	-0.140117165679926	-0.111727553000726	0.042587811016152	-0.134914991988121	0.0388003257238044	0.0424498076035724	-0.0747267572599497	0.0891000434229055	0.0345682284386639	0.0442641571462657	0.171023315362672	0.0822205659737588	0.0375481717098154	0.0348773867101217	0.114512900593472	0.0984903745711098	0.141426533464948	0.0480323825885173	0.183863006912266	0.266449866390721	0.170331033028194	-0.0267706939600106	0.156331880135417	0.0562751894051179
