module	Module category
MetaB_M055	Organoheterocyclic compounds
MetaB_M128	Lipids and lipid-like molecules
MetaB_M117	Lipids and lipid-like molecules
MetaB_M017	Lipids and lipid-like molecules
MetaB_M073	Lipids and lipid-like molecules
MetaB_M060	Lipids and lipid-like molecules
MetaB_M099	Lipids and lipid-like molecules
MetaB_M142	Organoheterocyclic compounds
MetaB_M088	Benzenoids
MetaB_M029	Lipids and lipid-like molecules
MetaB_M018	Lipids and lipid-like molecules
MetaB_M051	Lipids and lipid-like molecules
MetaB_M132	Organic acids and derivatives
MetaB_M068	Organic acids and derivatives
MetaB_M113	Lipids and lipid-like molecules
MetaB_M138	Organic acids and derivatives
MetaB_M009	Lipids and lipid-like molecules
MetaB_M133	Organoheterocyclic compounds
MetaB_M044	Phenylpropanoids and polyketides
MetaB_M008	Organic oxygen compounds
