gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
MetaB_M101	0.0160358720821605	-5.69856661858381e-17	0.336211369737797	0.738013597644839	0.748408155358146	-6.5000206440684	0.12586148866569	none
MetaB_M139	-0.00329204162157953	-4.47038239759223e-17	-0.0692046330744815	0.945082201039813	0.945082201039813	-6.55399568836353	-0.0245304159294411	none
MetaB_M024	-0.00943015041379234	-3.28643362523806e-17	-0.261171408061543	0.794953178918307	0.800512292057596	-6.52235922225025	-0.0966319949978997	none
MetaB_M080	-0.01107198299069	5.55111512312578e-19	-0.390355251744736	0.697808495397055	0.712655484660822	-6.48043261096749	-0.147120368142788	none
MetaB_M103	-0.0220532810482839	1.44675937896466e-17	-0.525697381396592	0.601249278665712	0.618427829484732	-6.41879406174114	-0.208710975235094	none
MetaB_M112	-0.0289122391221559	2.24820162486594e-17	-0.616376065617349	0.540234455699531	0.559667349789443	-6.36741688405082	-0.252070028487026	none
MetaB_M106	-0.0285232590923389	2.08210185204116e-17	-0.658700153854567	0.512885408865947	0.535184774468814	-6.34068353465808	-0.271496250356517	none
MetaB_M091	-0.0258925604771123	1.32446137390829e-17	-0.749224012718552	0.45697149445892	0.484941215902678	-6.27765536477996	-0.314310902957252	none
MetaB_M097	-0.03551018931751	1.421172207694e-17	-0.743625028910004	0.460324608878807	0.484941215902678	-6.28178425995538	-0.314310902957252	none
MetaB_M059	-0.0281937289567613	-5.40366362766775e-18	-0.741888105552674	0.461367684574076	0.484941215902678	-6.2830589666991	-0.314310902957252	none
MetaB_M125	-0.0306572726545896	3.88751530966402e-17	-0.761387921407775	0.449735601811534	0.483297960155679	-6.26858078815058	-0.315785037873746	none
MetaB_M095	-0.0272789236594872	5.92061122350884e-17	-0.784993111853362	0.435885833374955	0.471936541398448	-6.25056298606161	-0.326116394529682	none
MetaB_M111	-0.0402904941938784	-4.23966417528732e-17	-0.813817973018728	0.419321023045849	0.457441116050017	-6.22783256507348	-0.339664802407185	none
MetaB_M006	-0.0427249178449407	-3.80381490194814e-17	-0.861513040148564	0.392762506710908	0.431738938674586	-6.18846784742834	-0.36477878041743	none
MetaB_M141	-0.0259334355216179	1.10154940724527e-18	-0.900168072157993	0.372025127952438	0.413954032771422	-6.15496606878042	-0.383047882120851	none
MetaB_M102	-0.0433325143913522	2.57086019139763e-17	-0.896980164364864	0.373708501807534	0.413954032771422	-6.15778297348302	-0.383047882120851	none
MetaB_M072	-0.0431410792210749	-4.28476698566271e-17	-0.928152472859097	0.3574559898134	0.402137988540075	-6.1298228337075	-0.395624898709966	none
MetaB_M020	-0.0402970579486687	-8.6389229103645e-17	-0.945774522757582	0.348473730191128	0.395119820059232	-6.11360763928837	-0.403271184627689	none
MetaB_M107	-0.0495188050277017	-2.75560824158916e-17	-0.993911705475534	0.3246958695789	0.371080993804457	-6.06781288302647	-0.430531288974388	none
MetaB_M132	-0.0242138023838664	1.90819582357449e-19	-1.02599892702628	0.309463215881647	0.356501624695657	-6.03607113077987	-0.447938486584203	none
MetaB_M114	-0.0303515870971611	1.40230708989275e-17	-1.0622705588199	0.292837421922166	0.340069264167677	-5.99902395626498	-0.468432618304203	none
