gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
MetaB_M010	0.313015565235416	-5.05932101768636e-17	12.3428036483964	1.26650868223058e-17	1.1173895365123e-16	29.8057679842066	15.9517953997883	up
MetaB_M129	0.309767375049855	2.16840434497101e-17	11.8860109061659	5.9085133266527e-17	4.25412959518994e-16	28.2705257572308	15.3711892841515	up
MetaB_M014	0.300836119807235	1.20563281580388e-17	10.7964292703236	2.58863485559955e-15	1.2853911007115e-14	24.5012614154572	13.8909647112136	up
MetaB_M096	0.29543922802576	3.10168557504653e-17	10.2314770205936	1.94467692842053e-14	7.36930204454096e-14	22.4901761038126	13.1325736427459	up
MetaB_M085	0.294282543898142	4.17255206081046e-18	10.1179028314196	2.92973246038642e-14	1.02897920559913e-13	22.0814982708895	12.9875934017048	up
MetaB_M128	0.285908354406395	-8.02136135291676e-17	9.36235176440472	4.63514425585273e-13	1.36216484253631e-12	19.328428822768	11.8657703330459	up
MetaB_M031	0.281235213746168	-3.51888657101895e-17	8.98453269006764	1.88291086002118e-12	5.31645419300097e-12	17.9315394966795	11.2743779236872	up
MetaB_M100	0.280775270506388	-1.94289029309402e-18	8.94881946351426	2.15106620385768e-12	5.95679871837512e-12	17.7988866228959	11.2249870745656	up
MetaB_M117	0.273402995091071	4.54497550705923e-18	8.40834283317694	1.63293592946292e-11	4.19897810433322e-11	15.7802223212178	10.3768563899946	up
MetaB_M105	0.27264501830422	3.64812346997923e-17	8.35592406322496	1.98983271916808e-11	5.02694581684569e-11	15.58346227103	10.2986957958087	up
MetaB_M026	0.269723155782661	5.32863683733176e-17	8.15883087814352	4.19014582029226e-11	1.02267965783404e-10	14.8423929126707	9.99026038253613	up
MetaB_M032	0.267537408622074	9.79251402188908e-18	8.01629905877945	7.18899793319817e-11	1.72535950396756e-10	14.3053939741861	9.76312039953438	up
MetaB_M087	0.265414275962028	-1.31318567131444e-17	7.88163137772866	1.19823244938477e-10	2.78115414796729e-10	13.7973461213067	9.55577493930689	up
MetaB_M095	0.263949744944461	5.92061122350884e-17	7.79080769770925	1.69181511490215e-10	3.80658400852983e-10	13.4544027893819	9.41946458120277	up
MetaB_M078	0.255043994541119	2.56392129749372e-17	7.27146419623734	1.22109809517786e-09	2.60718371797008e-09	11.4911508180051	8.5838283647314	up
MetaB_M011	0.24875095871676	3.79730968891323e-17	6.93453585443485	4.40561716856071e-09	9.19433148221366e-09	10.2185498509574	8.03647984273264	up
MetaB_M064	0.248316621817139	-1.24726617922732e-17	6.9120976593467	4.79836238428323e-09	9.87091690481122e-09	10.1339183826206	8.00564250404721	up
MetaB_M122	0.248086947313455	-2.17837900495788e-17	6.90027299407802	5.01920598097526e-09	1.01797980459217e-08	10.0893266323242	7.99226083775681	up
MetaB_M075	0.24568573583071	1.86742982188903e-17	6.77829017426214	7.98236950105755e-09	1.57460439472916e-08	9.62968011562159	7.80282854077412	up
MetaB_M067	0.237642202311597	3.93868965220534e-17	6.38998810552054	3.48137110091149e-08	6.46839976946548e-08	8.17243954812958	7.18920314703594	up
