module	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
MetaB_M011	0.24875095871676	3.79730968891323e-17	6.93453585443485	4.40561716856071e-09	9.19433148221366e-09	10.2185498509574	8.03647984273264	up	0.201735469957207	0.15736498443905	0.231099987351333	0.184576357306141	0.201370278369515	0.198129737512091	0.217935852381733	0.2164389822334	0.164187590440222	0.217168429743386	-0.0970679586752474	-0.0123138374694522	0.0423972441726719	-0.315462333906877	-0.152589223200905	-0.138515803700394	-0.0438912378807805	-0.102993590252252	-0.10673570459327	-0.0394202664821786	-0.0609439788088356	-0.0854028981846122	-0.00595956868029025	-0.0806536395671848	-0.0770347352954298	0.33907551317254	-0.135877053853556	-0.176900272571376	-0.0356097960160256	-0.0941188599643878	-0.157050397585879	-0.072635097089726	-0.155717291394446	0.022115928805563	-0.202315262816275	0.0450566385906549	-0.189677570979203	0.00470628742385721	-0.0546232170990065	-0.0259430007350716	-0.0597945673736587	-0.0808620553961096	-0.118040504047113	0.181966694679394	0.00963178785542127	0.00647070103371624	-0.0369427647367593	0.095871778785992	0.0706025300646559	0.10718971403776
MetaB_M109	0.207490480665069	-4.60135402002848e-17	5.15139929958971	3.4623530238947e-06	5.6020093869757e-06	3.64636249782117	5.25165616778872	up	0.171606066056878	0.136669320423295	0.272256276726656	0.128951565579878	0.121017832824482	0.154281078609505	0.189793798760826	0.213968671032401	0.13035218512883	0.141027050177798	-0.216429874837668	-0.211613584294445	-0.107624665323412	-0.196914698340315	-0.122849688581934	0.215056135910412	-0.110310506507586	0.0740651085160721	-0.0760880070751753	-0.18370747156155	-0.161838586853375	-0.00731296499335748	-0.116739706000771	0.00821201745660157	-0.062933764785616	-0.259345899045689	0.172451677624698	-0.167763394068745	-0.0642467655277512	-0.101568937044088	-0.163054551106343	0.0421884252426497	0.000541754836018904	0.0363815638950819	-0.201797583195441	0.0646406633822374	-0.208291867237285	0.142898835042877	0.0705077509343334	0.0271218500978606	-0.018535506682306	-0.0941005799256247	-0.0669810228854549	0.032753494220316	0.0616170790163485	-0.121167443799292	0.262660315276395	0.102511828963679	0.054522740485137	0.0131619834519552
MetaB_M078	0.255043994541119	2.56392129749372e-17	7.27146419623734	1.22109809517786e-09	2.60718371797008e-09	11.4911508180051	8.5838283647314	up	0.203396670067494	0.176509294048352	0.314353278031014	0.169610163075251	0.160603418965361	0.191808534834976	0.225300900513247	0.252122789711037	0.168441085585346	0.178205821496876	-0.226004524417499	-0.193877559977708	-0.179902245737823	-0.15826853777595	-0.214604345452202	-0.0424163540098229	0.125600899692995	0.0593663107726845	-0.214268158308865	-0.268673856695263	-0.196224550378126	-0.141430443187849	0.0311967433554865	0.0442821864828152	0.0278036094052315	-0.135076504769238	-0.0283880443059027	-0.203654190035704	0.101050466021031	-0.159343668551163	-0.0499368697699369	-0.027993875529339	-0.0525550223902777	0.112641990131603	-0.0618932922530343	-0.0145466153980091	-0.0622280301963504	0.0363867345356943	-0.0442638412481121	-0.0765882815291579	-0.0064105600723752	-0.00568600491827687	-0.015761932565556	0.095833678897495	0.0353595845595342	-0.0150039502216185	0.143427251467195	0.0327962844774875	-0.0281313636879884	-0.0629650727450575
MetaB_M088	0.133245266750321	1.79977560632594e-17	2.92626849795825	0.00494543958824917	0.0063283108141199	-3.31937812666612	2.19871219867248	up	0.0833021320328715	0.0826762000114716	0.237503126793454	0.062849854390714	0.0675022137250794	0.0893493142117692	0.140016452721877	0.150804126073719	0.072899338503449	0.0790593755381607	-0.240254518059873	-0.151349078489886	-0.119712276262815	-0.285758762136476	-0.184098365379425	-0.14975822387976	-0.274828361397721	-0.236578148256786	-0.156244726837345	-0.0999641584293968	-0.0929787454975597	-0.00347763566868456	-0.149261828579249	-0.151515319151376	-0.114939299745343	-0.0158432711764315	-0.107864828249731	-0.130230590171468	-0.161129563824001	-0.0453004611261814	0.0373077113435362	0.0488801555806286	-0.031902984762503	-0.00272856247940824	-0.126415610243477	0.0418223883964637	0.0376078156176269	0.0664424949089386	0.117567227992195	0.069036425620408	0.100056383996166	0.169693517135383	0.0462434728906075	0.0966449139168304	0.241315582879178	0.258198978278546	0.138994613415407	0.0848169988671118	0.246218838399483	0.165325666563823
MetaB_M010	0.313015565235416	-5.05932101768636e-17	12.3428036483964	1.26650868223058e-17	1.1173895365123e-16	29.8057679842066	15.9517953997883	up	0.251304080061928	0.229519266540636	0.326379797579691	0.224969933551581	0.226242687173738	0.234507584961712	0.268869560923777	0.281569147521472	0.224958761108224	0.235803702460566	-0.230416284834221	-0.200106588691154	-0.0973965973775004	-0.0816351870159808	-0.210241929381188	-0.0849425995736078	-0.0204940302951884	-0.075130082361022	-0.0263858543910869	-0.134700640798958	0.0213616986645975	-0.0711645899700258	-0.0461753924734502	-0.0629358527279957	-0.115413626115736	-0.0805328416503951	-0.0602489926067596	-0.0201172656367513	-0.0678265561055409	-0.148944125833748	-0.105075610064859	-0.0248810402410302	-0.13533199454536	0.0116591846869382	0.00062126943724526	0.0684150771097684	-0.0234314999666343	0.0515588501583736	-0.000897925346716479	-0.131250918388255	0.00461120341830108	-0.058499431603479	-0.085616956504265	0.12664807540075	-0.0249862566622633	-0.0393239057833336	-0.0653320835047923	-0.0446346792392153	-0.0786860704011662	-0.136242470667622
MetaB_M079	0.233495715606624	-3.63229411826094e-17	6.20090462879391	7.10788595162633e-08	1.27941947129274e-07	7.46732749893489	6.89298704410568	up	0.207630759972646	0.153588821824366	0.2477848051479	0.157011596024526	0.161117524801684	0.187777191403171	0.198080931543536	0.218638659018471	0.161870881442023	0.174464553674668	-0.108029898269753	-0.176015820754517	-0.000857726279091064	-0.234336823835588	-0.144562728833389	-0.145511593672563	-0.280803579239434	-0.26448672696815	0.10951997935387	-0.0606049044658073	-0.0159916737028053	0.0790607979767946	-0.155916956095729	-0.0607823465223159	-0.136842401285412	-0.190369781219845	-0.141474135916098	-0.108508800227813	-0.279244355617236	-0.0521566100818667	-0.0615364698314954	0.00517969101219311	0.0108637767152005	-0.0582318930141081	-0.125710555216242	0.0796693074769278	-0.0507329285805136	0.0549903708365124	-0.00741586373793813	0.0946376242734587	0.0287874422089945	0.100612948449357	0.00755997610743369	0.046007996495195	0.0887359835722547	0.0762653682543664	-0.0285083878104535	-0.0344509665850538	0.250748475639884	0.0224784645377825
MetaB_M125	0.220294948613736	3.88751530966402e-17	5.64172635652519	5.74777434611892e-07	9.73740595107206e-07	5.40778419381342	6.01155672394096	up	0.180145218782568	0.137852561068964	0.230009289758249	0.157045261134316	0.156721155453132	0.165878778622813	0.19732475840197	0.208583488414861	0.152953262485316	0.175845814787701	-0.181690321245208	-0.0578663868200832	-0.0204083615328495	-0.0852450292692619	-0.0898935152527505	0.0165245451130256	0.113844360661072	0.0564814349951125	-0.185379012433426	-0.236887156352525	-0.2081157736202	-0.255728481946045	0.149551632258905	0.0582272352922861	0.0820915371918345	0.0892549404899952	0.0700929510898332	-0.146893461341409	0.0801962631633336	-0.136231744173525	-0.119460780663112	-0.0870982396722742	-0.0682137220993752	0.0741985574096714	-0.0279694162746779	-0.172054881878887	-0.0573869552893396	-0.0932889126404751	-0.0721561306718954	-0.211873710153489	-0.0865159064378739	0.00751111491766899	-0.137087305643463	0.325147978665383	0.0293744728973757	-0.0816541814960433	0.135678771194575	0.0391953206093839	-0.165424947650009	-0.105206370301146
MetaB_M055	0.157752248118949	-4.87804241444678e-17	3.57584865853242	0.00072726381630196	0.00101675718007264	-1.52152658933457	2.99278275203877	up	0.128581546779522	0.091761471588944	0.207073681382663	0.0860694603364537	0.11537844385776	0.117212249132311	0.140776895307782	0.160084468778263	0.090287953176553	0.124791814611339	-0.20015759902099	-0.106011034764223	-0.0714173129885328	-0.354187103464703	-0.175610135290513	-0.174385736742299	-0.145233850657052	-0.188918515605536	-0.218118312818943	0.0216574452290299	0.0723853016670873	-0.0215931756851027	-0.166886103969515	-0.177635698381328	-0.173389459225221	0.0970252296370882	-0.100641692268315	-0.111435134781089	-0.166761872255809	-0.0368676527806041	0.0551587647933879	-0.0574184315477542	-0.0900850471044152	-0.0488189881666451	-0.0916494781901043	0.233929974490838	0.11179428730121	0.181709822800161	-0.0302072638045591	0.0761312965958422	0.159906367252626	0.0517826796012264	-0.0671385092384685	0.113693775565214	0.166772818924883	0.25393065003838	-0.105451499183432	-0.059062607126988	0.140960011215184	0.140225804998391
MetaB_M122	0.248086947313455	-2.17837900495788e-17	6.90027299407802	5.01920598097526e-09	1.01797980459217e-08	10.0893266323242	7.99226083775681	up	0.196474748919464	0.176387275470064	0.289029123703321	0.169856638135638	0.160313190498612	0.18957567205905	0.221308393940204	0.23629804792871	0.171167175974116	0.174285311878462	-0.0890106375780726	-0.150225768715669	-0.173057889695168	-0.19406322906517	-0.0191508666170135	-0.151484186364676	-0.163877773188692	-0.211579220816119	-0.208522012201828	-0.0286575023238153	-0.161474783198864	-0.162862891925001	-0.155393970825095	-0.113108746103957	-0.216523866272683	-0.0905806300161013	0.0393159207310971	-0.0975045577847367	-0.087005871798429	-0.0077070560558535	-0.0337774498205351	-0.0079860981253266	-0.0604835365162935	-0.0779410292922326	0.165906275190261	0.0726093621529141	0.182036965351856	0.0466536301103869	-0.058282094994147	0.123629568089844	0.00127742355658081	-0.048231790991405	-0.0704082224424446	0.0180582968525008	0.0307076861382761	0.212473357048221	-0.042319270727775	-0.0892773030915328	-0.0665562181706278	0.159690410989684
MetaB_M014	0.300836119807235	1.20563281580388e-17	10.7964292703236	2.58863485559955e-15	1.2853911007115e-14	24.5012614154572	13.8909647112136	up	0.248139964090456	0.205945322658617	0.2884332564163	0.222247934844489	0.230123189428379	0.233728482937817	0.253830932756418	0.26996595122894	0.214690426597792	0.239583497498669	-0.131315508107513	-0.140504147748934	-0.0735151827695151	-0.220901411394604	-0.139897103282144	0.0902209416131254	-0.0545779130643634	0.0376172578255634	-0.143071058590524	-0.125204171136451	-0.153819685655795	-0.101956607450038	-0.0734903785970995	-0.0756666004812121	-0.190207876165837	0.0771975561178162	0.0337827862516718	-0.148652250376614	-0.0183412130883559	-0.153509237719623	-0.154806862269272	-0.120825951829633	-0.0490268581683699	-0.0282976524941153	-0.176459270436731	0.0168749527090341	-0.118938425517805	0.0393374980546249	-0.0344264254761036	-0.0287960235502944	-0.0342587428945699	-0.019002662282824	-0.113829062786883	0.0690153591487666	0.0273937014043373	-0.00466708756718256	0.0916719433785678	-0.00566555329614253	-0.0181420609996532	-0.0380279697631815
