gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
MetaB_M129	0.282522975546336	2.16840434497101e-17	12.8592128160301	4.47509478294686e-18	2.92915294883794e-17	30.7855861266853	16.5332579505778	up
MetaB_M010	0.295168276427113	-5.05932101768636e-17	12.3824200168038	2.07375820005501e-17	1.19448472323168e-16	29.2498297049373	15.9228194002537	up
MetaB_M014	0.290853584572538	1.20563281580388e-17	10.4100528449671	1.60424094995901e-14	5.02197166943689e-14	22.5880420371718	13.2991257416115	up
MetaB_M128	0.248994976463189	-8.02136135291676e-17	10.3428091663807	2.02965608656865e-14	6.08896825970596e-14	22.3525121488252	13.2154562898099	up
MetaB_M096	0.2705611436201	3.10168557504653e-17	10.2971364964672	2.38197478015403e-14	6.86008736684361e-14	22.1922403938023	13.1636703532879	up
MetaB_M085	0.270455472024854	4.17255206081046e-18	10.0861640701874	5.00498840243365e-14	1.41317319598127e-13	21.448834385421	12.849804608534	up
MetaB_M117	0.233005211453148	4.54497550705923e-18	9.22569051158335	1.0878660580898e-12	3.01255216086405e-12	18.3676735009156	11.5210654247559	up
MetaB_M031	0.252793166505793	-3.51888657101895e-17	8.96103798708212	2.84674932178461e-12	7.59133152475895e-12	17.4056957717354	11.119682041873	up
MetaB_M100	0.271104999449236	-1.94289029309402e-18	8.51891537010737	1.43935307011528e-11	3.5129973236712e-11	15.786030755264	10.4543221810691	up
MetaB_M026	0.236831644360771	5.32863683733176e-17	8.17041683499496	5.2171520880747e-11	1.23159000111927e-10	14.5000557118893	9.90953384565091	up
MetaB_M105	0.255274803375097	3.64812346997923e-17	7.91601130041611	1.34196329761332e-10	3.06734468025902e-10	13.5572922202806	9.51323741921685	up
MetaB_M032	0.239906411998995	9.79251402188908e-18	7.75236656616442	2.46834262641035e-10	5.46832828004754e-10	12.9495250272316	9.26214542132923	up
MetaB_M087	0.245438522927631	-1.31318567131444e-17	7.44124043479812	7.8847121546079e-10	1.72030083373263e-09	11.7921472473677	8.76439560018211	up
MetaB_M095	0.257130014029589	5.92061122350884e-17	7.39931283153055	9.22242451430712e-10	1.95298401479445e-09	11.6360691596446	8.70930131140491	up
MetaB_M078	0.228278648446879	2.56392129749372e-17	6.88133125744556	6.40117310851533e-09	1.28023462170307e-08	9.70861510552372	7.8927104322478	up
MetaB_M122	0.218305107582145	-2.17837900495788e-17	6.52580020503166	2.41533913509545e-08	4.63745113938327e-08	8.39016170361918	7.33372065311987	up
MetaB_M064	0.221946039558506	-1.24726617922732e-17	6.47884484112478	2.87739439518268e-08	5.3811012065754e-08	8.21655415534596	7.269128839761	up
MetaB_M011	0.233114598898254	3.79730968891323e-17	6.45849206772912	3.1041065000936e-08	5.73065815401896e-08	8.14135089936517	7.24179549736168	up
MetaB_M075	0.214879132025169	1.86742982188903e-17	6.40902793939384	3.73204574785434e-08	6.80271629988639e-08	7.95870611393954	7.16731764045542	up
MetaB_M067	0.211376529963592	3.93868965220534e-17	5.91375417084987	2.33917282631885e-07	4.15852946901129e-07	6.142262481978	6.38106021658443	up
MetaB_M135	0.215530752551928	6.08887940067859e-18	5.89246758613438	2.52996487541533e-07	4.44286514707082e-07	6.06480761773785	6.35233686856688	up
MetaB_M079	0.205539102548251	-3.63229411826094e-17	5.72491982072609	4.68146810794995e-07	7.9309577358211e-07	5.45733942796012	6.10067436447723	up
MetaB_M142	0.174881746305162	3.77586959095233e-17	5.69945725302933	5.13893404673481e-07	8.60472677592806e-07	5.3653816603661	6.06526291517845	up
MetaB_M021	0.208599996898431	-3.00280633691585e-17	5.56811196773641	8.30151087762939e-07	1.37404317974555e-06	4.89267885294229	5.86199961921929	up
MetaB_M125	0.212630630450089	3.88751530966402e-17	5.28078265702417	2.34928616945309e-06	3.67714356957875e-06	3.86939597528991	5.43448941330259	up
MetaB_M054	0.191115492463265	3.81639164714898e-18	5.11709305882244	4.22240868654839e-06	6.53792312755879e-06	3.29404275576188	5.18456019012966	up
MetaB_M109	0.190109270972887	-4.60135402002848e-17	4.6697978631251	2.0362341021693e-05	3.02286299703484e-05	1.75599224611257	4.51958153558106	up
MetaB_M048	0.180538579620378	-4.10587362720261e-17	4.43811752138906	4.51007271330038e-05	6.62704561954341e-05	0.982481920803078	4.17868003978346	up
MetaB_M098	0.181896647271443	4.80388298584877e-17	4.39743485028325	5.17774367289108e-05	7.5312635242052e-05	0.848504806793356	4.12313215586355	up
MetaB_M033	0.17500183276779	-2.33753988387875e-17	4.28208779354486	7.63735676606024e-05	0.000109977937431267	0.471847512056367	3.95869442950428	up
MetaB_M106	0.182051104290614	2.08210185204116e-17	4.20418613516118	9.90625349168282e-05	0.000138495194446828	0.220251359934773	3.85856529563515	up
MetaB_M041	0.158908233685228	-4.6074255521944e-17	3.99917647235863	0.000194507324691035	0.00026675290243342	-0.43043189821112	3.57389084649033	up
MetaB_M055	0.11452299278942	-4.87804241444678e-17	2.90696049246977	0.00528296836510077	0.00667322319802203	-3.55598095531279	2.1756643491417	up
MetaB_M101	0.130729623359739	-5.69856661858381e-17	2.74090398762787	0.00828824902876777	0.0102009218815603	-3.97081756017392	1.99136057823975	up
MetaB_M070	0.125434399331973	1.34961486430996e-17	2.70935857908494	0.0090126728942475	0.0109060915695096	-4.04755336374713	1.96233086021918	up
MetaB_M017	0.0928259481744188	-4.77048955893622e-18	2.44149757120022	0.0179313150673392	0.0208234626588455	-4.67126788574894	1.68144705155024	up
MetaB_M029	0.0839493900904793	-1.64625257870199e-17	2.42966062009686	0.0184663200131118	0.0212732006551048	-4.69764577401757	1.6721671634928	up
MetaB_M076	0.100639375650218	1.60982338570648e-17	2.28914156464974	0.0260048165672892	0.0294857762652728	-5.00283209433261	1.5303874341644	up
MetaB_M007	0.103041706404676	1.12236608895699e-17	2.24365975813693	0.0289742367918552	0.0325960163908371	-5.09841631537521	1.4868354724839	up
MetaB_M088	0.0788433972293592	1.79977560632594e-17	2.13024333038635	0.0377207993732661	0.0421069388352738	-5.32979401008032	1.37564633054062	up
MetaB_M060	0.049761810650555	3.84241249928863e-17	1.32864347868305	0.189549391087619	0.205226408395617	-6.66033058678438	0.687766755243711	none
