gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
MetaB_M129	0.39150057356041	2.16840434497101e-17	14.549477100771	2.46232626676631e-20	3.54574982414348e-18	36.050964195639	17.4502919099722	up
MetaB_M128	0.396648488236011	-8.02136135291676e-17	13.4526579639062	6.91224595541964e-19	4.97681708790214e-17	32.7364145818894	16.3030483205127	up
MetaB_M117	0.394596346004843	4.54497550705923e-18	12.7567685671532	6.20609886071857e-18	2.97892745314491e-16	30.552266401819	15.5259400731806	up
MetaB_M010	0.366557431660323	-5.05932101768636e-17	12.5554490906865	1.18471056914049e-17	4.26495804890578e-16	29.9085336928822	15.3700852362944	up
MetaB_M096	0.37007348124274	3.10168557504653e-17	11.4998818838509	3.82748404115357e-16	1.10231540385223e-14	26.446442311663	13.9576941236748	up
MetaB_M085	0.365763759518008	4.17255206081046e-18	11.1374379848331	1.30429288678033e-15	2.60523561055082e-14	25.2244899438291	13.5841529941552	up
MetaB_M031	0.36656135546729	-3.51888657101895e-17	10.6094784909194	8.0109150379339e-15	9.61309804552068e-14	23.4151077140343	13.0171366282266	up
MetaB_M026	0.36839769004833	5.32863683733176e-17	10.3770940353555	1.80015512632819e-14	1.85158812993757e-13	22.6079772080334	12.7324556120322	up
MetaB_M142	0.366055086305784	3.77586959095233e-17	9.74069254667933	1.70669496902188e-13	1.29349513441658e-12	20.3658375426161	11.8882352005771	up
MetaB_M014	0.330783725511324	1.20563281580388e-17	9.66667278980814	2.2235082218364e-13	1.60092591972221e-12	20.1021803157536	11.795628763896	up
MetaB_M032	0.350430398491311	9.79251402188908e-18	9.24588712741046	1.01113919114013e-12	5.82416174096713e-12	18.5928184199164	11.2347665728718	up
MetaB_M078	0.335340032823841	2.56392129749372e-17	8.25366703952264	3.8328136894255e-11	1.71479795559928e-10	14.9729521372714	9.76578704293169	up
MetaB_M122	0.337432466507386	-2.17837900495788e-17	8.23590092109374	4.09336499681572e-11	1.71479795559928e-10	14.9075107530005	9.76578704293169	up
MetaB_M075	0.338105547247335	1.86742982188903e-17	8.23388108370233	4.12409187128576e-11	1.71479795559928e-10	14.9000695833631	9.76578704293169	up
MetaB_M105	0.324755663091588	3.64812346997923e-17	8.22260747421548	4.29989765393482e-11	1.71995906157393e-10	14.8585329797273	9.76448189003671	up
MetaB_M087	0.325341535065219	-1.31318567131444e-17	8.05371933216073	8.04366724799375e-11	2.96996944541308e-10	14.23548559598	9.52724801861435	up
MetaB_M100	0.309786083677843	-1.94289029309402e-18	7.94809505042267	1.19100599517993e-10	4.28762158264773e-10	13.8451378461123	9.36778355163154	up
MetaB_M064	0.327428368593039	-1.24726617922732e-17	7.80406457386459	2.03581706759068e-10	6.66267403938767e-10	13.312133496112	9.17635143337123	up
MetaB_M029	0.316846669186273	-1.64625257870199e-17	7.48740949679585	6.6353125197847e-10	2.03294681457233e-09	12.1381624517943	8.69187398311302	up
MetaB_M067	0.316439219355614	3.93868965220534e-17	7.22854981374057	1.74651383671894e-09	4.74524514127409e-09	11.1773802383671	8.3237413468294	up
