sample	group
fam01	Human
fam02	Human
fam03	Human
fam04	Human
fam05	Human
fam06	Human
fam07	Human
fam08	Human
fam09	Human
fam10	Human
hos01	Human
hos02	Human
hos03	Human
hos04	Human
hos05	Human
hos06	Human
hos07	Human
hos08	Human
hos09	Human
hos10	Human
lab01	Lab
lab02	Lab
lab03	Lab
lab04	Lab
lab05	Lab
lab06	Lab
lab07	Lab
lab08	Lab
lab09	Lab
lab10	Lab
res01	Human
res02	Human
res03	Human
res04	Human
res05	Human
res06	Human
res07	Human
res08	Human
res09	Human
res10	Human
wild01	Wild
wild02	Wild
wild03	Wild
wild04	Wild
wild05	Wild
wild06	Wild
wild07	Wild
wild08	Wild
wild09	Wild
wild10	Wild
