CPD Fam Hos Lab Res Wild
neg_2208 18.7751473241132 19.5646762548445 18.9167334574098 18.8180330076978 17.8310770317736
neg_22468 21.1674333406211 22.5044703197678 20.5287776044503 22.1040519094222 21.5469977972176
neg_23480 20.4427673805312 21.7564010598062 19.9244925638134 21.2833800319851 18.7577020993564
neg_4949 17.8182893042398 19.1459632905286 17.1874391550153 18.7486184437372 18.1874271206249
neg_17905 14.1022881734776 16.2810530212265 13.6654411038339 15.7655271354512 21.5564959910426
neg_20252 17.566324997092 18.8765865330797 17.4063356419251 18.6052752390174 15.6968410062396
neg_23059 17.8756640918186 19.3685771594734 17.4396875243393 19.0710596295112 24.670796043729
neg_2465 19.2390661691934 20.1971734651789 18.6594785285463 20.0019689035847 18.4973060531949
neg_11502 15.2117872409711 17.3770934701332 14.0859253055187 16.0864935249596 18.7622802301106
neg_15318 10.0889341629522 10.2193817493063 9.05620211088449 9.15806727814065 13.5471523480084
neg_15664 15.4689630601336 17.6191915843055 14.4806350839857 16.5112039594266 18.6528546854909
neg_17583 24.7364706266637 26.0872364003622 24.536475015583 25.5166454522915 22.3085813053577
neg_22513 17.6820799324207 16.6574333449425 16.4251784387934 17.0854157929736 14.6264111388817
neg_19570 19.8528318611927 20.172157051222 20.198306762245 19.8629429034985 22.0296340791227
neg_21498 20.1974007188649 21.6056329502347 19.7637646971619 20.812975068659 18.6268119095027
neg_22048 22.5029028286492 22.7370033526106 21.824563072795 22.0854424697118 17.4205777477303
neg_24405 16.3797509517877 16.5588066361887 15.5176621058275 16.010655834596 14.7512719058848
neg_2647 16.169911218163 16.938812538264 15.9332035565034 15.900955663998 15.6215434218705
neg_4493 14.9460803714513 16.1635630556082 15.167767990342 15.5125976302862 14.7023693139074
neg_6925 16.936947063954 17.9907201223193 16.7404661171661 17.7592729918037 15.106841283722
neg_8293 12.2408016166551 12.6076431266522 12.452316324204 12.8832081711376 7.14932914696819
neg_15291 10.8989335961338 10.6637209808355 8.29264393540572 10.1581523426585 8.17339455484443
neg_24515 16.60618054069 18.3667142720518 15.5112359572961 18.3881193238121 14.1442588665816
pos_25605 23.1676845278255 24.9980309388876 22.3487904330237 24.1120196016763 21.7911100024814
neg_1118 17.3483337956997 19.6652607456057 16.2983381243367 18.6166337627257 16.8266888495194
neg_20380 13.8587714634077 14.2256179545431 12.7065897955589 12.3498322603023 15.6568412744932
pos_22704 20.1417911631548 20.7345794569858 19.8360237024033 19.6931026107272 17.4051945007771
neg_1814 13.4531866648419 13.0923502540066 13.0512559730831 12.169908653481 15.7554931718926
neg_6549 17.5880876358583 18.7807488615775 17.2913357125695 18.052182444452 17.4782290033447
neg_6978 15.6896123860291 17.4915309671575 15.5859657876079 16.2309893609239 16.9473184017501
neg_12973 21.2291032092628 22.4375223550797 21.1342379104672 22.3288546394609 21.3027037234582
neg_20974 17.9306009029705 19.4893954889098 17.6254977194891 18.7617403030599 19.2639651180684
neg_4166 17.5630053953787 18.4688511475042 17.1199023188935 17.5768490806818 15.9584433386817
neg_11633 19.6640348484905 21.7447336108095 18.9372323768181 20.8686543737373 20.1218579892196
neg_12538 11.8640248359842 12.5493698229399 10.9551201323176 13.3312918267091 13.9293898843453
neg_13532 10.9591801145208 12.2413504523369 10.0905246649986 10.7846296430217 7.53953613999161
neg_14124 15.7457847737328 17.5176446114505 13.4413143686565 15.2939251441815 16.8593361672745
neg_16235 12.9465251158166 14.5358800198481 13.7582147449777 12.8529046691192 13.7856934949364
neg_19404 20.5742781415502 21.3247486921832 20.4255297121613 20.5111744096798 18.4294533765754
neg_21029 20.6970407507821 21.436671731393 20.0534674058503 21.0679253873972 15.470294658403
pos_22353 26.5028778849671 27.9605276838308 25.3222344012548 27.6066109429747 23.5181049354493
neg_3915 16.9463102550945 16.3584467006133 14.7802422686089 16.6924535768411 17.5050198845931
neg_14290 13.6757743474195 13.2154318461469 11.7124906081941 12.6247057865183 10.7075720147074
neg_15613 17.0456201978029 18.4473196779075 16.9625540993016 17.8571672499015 14.974351367906
pos_24222 20.243048470904 21.0962123889539 19.7297939278744 20.0213581215413 18.3288346279137
pos_25473 11.0673433183786 12.3901383008331 10.9297504217758 11.2699364527845 9.61634580006285
neg_16624 11.3775719017491 13.51943090984 11.1033585302411 12.1793371826251 8.34003361132766
neg_21265 21.3456503707278 22.5271028275936 21.0984129142526 22.0124846074605 22.0539491508448
neg_21822 21.8074257237015 22.5589730897886 21.6579813302075 21.8906701254887 20.5423769551169
neg_22827 25.6149073274574 26.547893159563 24.06087318876 26.7215254641468 22.6216919696082
neg_24147 10.1477394581155 11.6839466441737 10.0254362335548 10.5237597748803 9.4380825942574
neg_27344 19.3493253730862 21.1804512916445 18.537430465602 20.2712055475899 18.1417318726613
pos_11281 11.4721071226225 11.9427031727423 10.8558326354617 11.2268515856559 17.8254953617287
pos_21388 14.503637498215 14.8572083534175 13.7912935330899 13.1074205013446 12.6707969820995
pos_25712 12.1112393739884 13.1842127175257 10.9717566111449 12.98894079798 13.8576457270211
neg_4744 16.6413342947848 17.942105438842 15.8693856386479 16.95104645591 16.8498188812156
neg_10381 15.0576983446954 16.5951206350436 14.169905059154 15.7725586527053 15.6239047181718
neg_15590 16.7083462456976 19.005258012713 15.5820957890184 17.6496011581815 18.5714703636752
neg_19726 13.152144057147 13.8119308571057 13.5860915199771 13.3831759548154 14.4705015739802
neg_19797 13.5030951942869 14.3619112856654 12.5368137495237 13.760076575661 13.1335738739286
pos_797 18.5141238374699 20.1771126839195 18.3749463807443 18.1961275787397 16.8154912516478
pos_5158 17.8322573948974 18.8765743980623 17.6975760877739 19.0247674349543 19.5623083380068
pos_7255 14.6368160255721 15.0045355820334 13.5855184701401 14.5168312656332 10.3787914584798
pos_9578 24.6196540404362 26.4650443993017 23.7237531425967 25.6328088038479 23.729419177425
pos_20954 16.6290216037374 16.9652212302667 15.8487430056615 17.2929997895456 13.3014850674456
neg_12821 10.1209734627879 11.9949076794743 9.39571902900521 11.4770449281689 7.08034791571666
neg_14807 21.0658525543032 22.1797513675315 19.9602651852093 22.1562045882182 18.9107700170248
neg_15931 17.1055020619734 19.0793000105712 16.2376421103751 18.1743684046189 17.5947574201381
neg_16166 17.829369620909 18.9067130252667 17.2851822650838 18.4003505388383 11.4639783642175
neg_20074 16.7045170779239 17.482883146327 15.6131909592936 16.2221462570798 10.1562843414825
pos_2338 13.6136357450657 15.0492176139005 12.9748851677777 14.3435848855862 14.502777074299
pos_13215 8.02149354223309 7.50689822806957 6.83988970261858 6.75311437197076 11.0634019734753
pos_24334 15.8668870229105 16.4074185911299 13.9139206024979 15.5571331923751 15.4989047807086
pos_24949 17.3729646804042 18.502542835805 17.0031001033623 17.8983619422105 17.1525647695729
pos_25498 13.5969070880613 14.9236050030892 13.0779056756988 13.4999234203022 10.3781661396281
neg_14319 15.2383107405998 16.9297836617476 13.3598654368032 15.5721179339744 17.2208630936692
neg_15191 20.6246942131279 22.5327952453718 20.2817350265933 21.7639309129615 17.8813801645676
neg_16097 13.2303408916278 13.8548267563321 11.8725083003467 12.8459229939998 15.2028983800114
neg_17968 12.3188583940634 13.5901697888969 11.3168194166673 12.6167063738755 12.4317366033888
neg_21468 18.6615309527945 19.5419470676952 17.961082178541 18.5763881780247 18.079737155901
pos_2910 16.4804868841225 16.620507177682 15.4621014664554 16.8667707527461 13.8264793823466
pos_9980 21.7828855896741 20.8750057751618 20.5015479087941 21.3623088271624 13.0389059927282
pos_11904 15.6385391654588 15.2141528653924 14.5932152945515 15.493054700088 9.48260127050561
pos_16822 13.3158380768427 15.0782352558999 12.4503142904926 14.1113417034669 17.8988362478734
pos_17094 24.2158663656693 25.1111061953465 23.8999413332818 25.3466994482676 23.8438983919074
pos_18264 15.0684927449762 16.1966921122765 13.5301921856183 15.737979388383 10.4706250336971
pos_25479 15.1841349769785 16.1368852681792 14.5423931186352 15.5289429057235 14.3369568392768
neg_1290 18.1258548979594 18.8287996511645 18.8182843195814 19.0910013695201 16.6995942341985
neg_8063 15.7053006385923 15.7835050106025 15.1625851500089 15.5079042859381 12.6605286238939
neg_12100 12.8471910327749 13.4455363798583 12.4052587048806 13.2803614674133 14.3751902574234
neg_18521 18.0390761459176 18.4565838423411 16.9240486195196 18.4562713176393 13.4396296277844
neg_22342 11.402676159605 10.3397332799282 10.1598352149094 10.3152296611268 7.07798647287573
pos_4946 14.4082227192785 15.7835652850489 14.025288724076 15.0338684265466 12.7951758438809
pos_9894 13.829055863792 15.293317690388 15.1081271993075 14.3927654549845 12.2661570392636
pos_17908 13.7632082761048 14.5877497910172 13.7057918276365 14.6828058315299 10.3329085037805
pos_18495 17.0930046558799 17.9113850310233 16.4513188519653 17.7101469113765 10.1343863374621
neg_1956 17.7255299964862 18.5316661059109 17.2547628612045 17.6472793857073 19.7793587114273
neg_2167 17.1633137400603 18.422371675749 16.9706759969494 17.7173026981209 18.6167471880713
neg_2591 10.5951295659448 11.6885741562376 10.3126489936628 10.2508036938424 10.7876785155417
neg_5569 17.8082179318559 18.0075985403643 17.1378985154027 17.5998413328911 10.9104460650075
neg_5994 20.3920121055246 21.217776842361 19.9011031870879 20.9396838198591 17.8962349769435
neg_7087 23.6860140392236 23.8285100770817 22.6738177999658 23.8708967518175 19.036925389355
neg_17115 14.0818957285427 15.4734554311508 13.134323027671 15.0988026539204 17.4851740231119
pos_10125 19.9253113429974 21.4918615422568 19.7661456751711 20.7796499088358 18.6555887228207
pos_14018 17.4320917331232 17.3471211357945 17.1354901699017 18.0257596546483 17.376395586078
pos_16041 13.6531194286648 15.9664664209396 15.2055108901101 14.8569971682754 8.43070031865675
pos_18080 16.0895962992317 16.4198641075821 14.6556405440085 15.7834684088769 11.0766351588414
pos_19593 12.107801447496 13.7868406261854 11.6723625060076 12.8558405779236 13.3877085055175
pos_24911 10.5500657869733 12.510596952889 11.2470423583825 11.8542764675249 9.46954068110105
pos_25312 14.7498766838712 17.0438997032464 14.7605232278093 16.1653996259681 15.5248201275708
neg_8259 11.2737018495707 8.59484910490826 8.00287827311329 9.5349671189033 8.48119184432649
neg_12746 19.986566925186 20.8607928848321 19.8934043991953 21.3325836752952 20.1140225689167
neg_14879 4.42603709857286 5.90506353156985 4.35896641647821 2.80694205079903 0.222523943642921
neg_17607 18.1793039030359 18.828576025321 17.3548280517344 18.7026699056753 14.4459636768004
neg_18453 18.467646173475 18.9947212685673 18.0682712257167 18.1728915425195 17.8021618288335
neg_18912 13.2977987497923 11.2144030318838 10.6123727301224 11.0149308500756 11.3041783925971
neg_21594 13.9223721767603 14.2851375477193 13.2022552404565 13.916434532335 15.553664035096
pos_1260 18.0358877543971 18.2906128867308 15.8281636333112 16.9257157981896 19.9637158583023
pos_17735 13.236306085424 15.9991813059671 12.0742455260157 16.2245214743344 7.63442575801645
neg_9879 12.091112992708 13.2146708821936 11.4590118955473 12.2116884050893 12.546919410231
neg_20251 14.0919449323347 14.6623368340588 13.7539305561529 14.4074853439673 12.9694247885265
neg_22612 17.1504698607826 18.4295111441114 17.076716484221 18.1648326895173 13.4512623548173
neg_26309 17.5220259252561 18.8518770008855 16.6221830898016 17.3240625662173 14.9266635008384
pos_1334 16.8893417998398 18.404080230744 16.4872018836766 17.8921050425038 17.139580252531
pos_3995 10.0556304578373 11.8338954178727 10.7568869294057 10.3636793380226 12.9940691479596
pos_4339 21.025540308252 21.3736490723064 20.3041604160214 20.6762022264048 15.8195660353327
pos_4408 16.3563707772962 17.8719981555588 16.0849116057094 16.9150281067376 15.1562435237539
pos_5611 14.8819552879297 15.7113717843527 13.9653127536543 15.0508563861933 10.3548234238155
pos_21155 17.0646139779306 17.8470337501888 16.4408078518512 17.753929560232 10.6809114605027
neg_3500 14.777181095654 16.2311614494052 13.9423062951325 15.7516356520337 16.0054812639084
neg_18396 11.4655332124508 11.8135099262817 10.8568687427192 11.4272998145573 10.1892392217221
neg_19292 10.800478734202 8.87262459021423 9.39329418193213 9.90025395575265 6.00682897905976
neg_22346 11.3853965622 10.021495575841 10.8169149060409 9.53294843852314 6.42613658826864
