wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
wild01	0	0.0322940722780637	0.0401422007138285	0.0289746736622553	0.0392373905009449	0.0172948584126976	0.0281817101406853	0.0186194224068531	0.0275582284676653	0.0309648674653892	0.496511028267066	0.50265805977518	0.509002737879833	0.473997094104956	0.492948289861266	0.541755183681221	0.518644012765663	0.549484542520561	0.471734608359933	0.512605212846894	0.524660659258929	0.444931052835965	0.536659161792584	0.47373565582767	0.487674995331178	0.611262161143286	0.50524901291404	0.486844245085574	0.508134693140777	0.472053752090049	0.479136700678013	0.441686766038378	0.459994465554814	0.522554877636274	0.435397245292399	0.512370266357829	0.456974429266955	0.490605364989857	0.475095046202763	0.468017348636371	0.477793424675141	0.501799110539616	0.459659340779127	0.514773977114215	0.452653726168042	0.490115477713825	0.455074358861888	0.456560117734944	0.470533052146078	0.453174405371001
wild02	0.0322940722780637	0	0.0277975540546598	0.0311478110365054	0.0448537631817209	0.0236037513791486	0.0242741284993566	0.0254602703731638	0.019098361489634	0.0401069082008256	0.49162978900995	0.496565694471385	0.500315069361517	0.470243732652937	0.487723895431447	0.533067908398495	0.509389512086549	0.537598240703254	0.464150383856583	0.501213005404458	0.510539718150305	0.437621630933879	0.524805394888506	0.46282875695901	0.477174526350092	0.615998899101424	0.496832024776625	0.477162412225784	0.499970558034548	0.462103469868955	0.465146992041642	0.437604440567344	0.45275399744072	0.508316485758335	0.431170372244606	0.50310187983283	0.448753391735043	0.483069945860819	0.470875811715491	0.457768970699467	0.471411969419593	0.492383172292302	0.448330825771326	0.513852517177679	0.445417931876777	0.481958471072159	0.447165513527328	0.456356071907656	0.460997165474489	0.449791090734294
wild03	0.0401422007138285	0.0277975540546598	0	0.0435331031131183	0.0568445810564439	0.0352006774345538	0.0295294428374882	0.0238140921328036	0.0345638746301528	0.0524296481417079	0.499722219149904	0.49656787878271	0.507944021628446	0.457650247506385	0.487725701789612	0.538013773968719	0.502292378353833	0.538462896276369	0.466412917798661	0.513179548376103	0.518579371546804	0.43698030453007	0.520101024884838	0.456650832717327	0.47109921797856	0.616146391720913	0.497106387810706	0.478213186868925	0.484839675806856	0.464799515205684	0.45286722530859	0.430096594494355	0.443492796743209	0.49807839427827	0.420031849057662	0.503038583198793	0.439763152008878	0.473436269750968	0.463285721252116	0.457611081560941	0.462727242984381	0.48423828198121	0.431604949732276	0.509852859520802	0.434074970900491	0.472892377199858	0.42485824029976	0.441168748650946	0.458325992185665	0.443749156015952
wild04	0.0289746736622553	0.0311478110365054	0.0435331031131183	0	0.0309409441299593	0.0281271602765577	0.0171570533832578	0.0281312511248897	0.0145004104032792	0.0273353481390364	0.477405206260813	0.476544861319622	0.488717894787246	0.46244006615256	0.480530230782964	0.524552606717964	0.50995299678522	0.534171245723442	0.465355223443217	0.487117891154835	0.500060758723686	0.434487037511634	0.514371300570031	0.464359013067715	0.480483110583601	0.583694160350594	0.486848697815401	0.469637009546044	0.496306064148668	0.449385442044385	0.463729482978236	0.422390196358762	0.44981775649469	0.506637541162023	0.417826061667652	0.49757878721505	0.439413575363392	0.479625467350103	0.466024271655652	0.45430490739541	0.462662782464119	0.487646477329452	0.450024877014245	0.49322861232573	0.436309369780523	0.473232598092106	0.453274901718722	0.447267756771646	0.467588557485828	0.435392086575273
wild05	0.0392373905009449	0.0448537631817209	0.0568445810564439	0.0309409441299593	0	0.0390598754751255	0.0347790843446184	0.0375397828463309	0.0309818614204058	0.0122377263274657	0.498636651327444	0.493542241986337	0.510138736933483	0.477789774936586	0.501751340137412	0.53949665427403	0.529697121857003	0.549177053957539	0.489652741002801	0.507188427721007	0.51575080100923	0.455921715961416	0.535712747584363	0.483144832352878	0.496789655673225	0.588571863267657	0.504286377912636	0.48257938140451	0.513167288584403	0.471437469159247	0.478360242934668	0.44273270676985	0.465656073009942	0.527229131063706	0.432773489743966	0.518650556462016	0.45264116124791	0.500166386003927	0.484676666928576	0.4749858261164	0.476918273928803	0.501850296457399	0.464906761096204	0.49677261666015	0.451895852631397	0.487411762121675	0.467659278098561	0.462027929532819	0.482480100386687	0.455215630527712
wild06	0.0172948584126976	0.0236037513791486	0.0352006774345538	0.0281271602765577	0.0390598754751255	0	0.0253939234951595	0.0209936852830196	0.0220806919319553	0.0321593624250885	0.489992848873225	0.495807224058972	0.501834573921671	0.468946076570364	0.485422717819192	0.533790724219102	0.511176732810088	0.540485829547705	0.463903342669116	0.503024034360897	0.515030573605435	0.437212459697567	0.527365157178782	0.465961617816423	0.478981315293068	0.609785817000735	0.497374103758846	0.477729885638798	0.501713250993451	0.462992444111733	0.46509659358158	0.434573694919052	0.452503147215091	0.51444288921405	0.430116368237369	0.501666901032169	0.448019391812118	0.482644619068647	0.470331152406102	0.459502273071236	0.469172285563013	0.490856811535204	0.450803668090549	0.510073874962428	0.443997422111743	0.482042828115055	0.447660376759122	0.452824617856673	0.461411515212577	0.447070107161671
wild07	0.0281817101406853	0.0242741284993566	0.0295294428374882	0.0171570533832578	0.0347790843446184	0.0253939234951595	0	0.0215258345060677	0.0153534482440806	0.0297733825166854	0.486807593727736	0.482104839643777	0.494912681666254	0.460789820830558	0.484506218825044	0.529939274908872	0.507777239747687	0.536045491493712	0.467537641647335	0.496643449719581	0.507228393769845	0.437421093321232	0.51683139511807	0.46240888999448	0.47919704229628	0.592496441554571	0.491591720457809	0.47383030017045	0.492351335778969	0.456387878788859	0.461533548199824	0.426536106731367	0.449652396005521	0.50524827754573	0.419073248384708	0.499078365979182	0.439173260669518	0.477105048582808	0.465694455443832	0.456504384433125	0.462134173581101	0.486256508963521	0.445146453796056	0.49969904693158	0.436170864091109	0.470737090744704	0.443518630310695	0.445178152444647	0.463872662490478	0.436184152989477
wild08	0.0186194224068531	0.0254602703731638	0.0238140921328036	0.0281312511248897	0.0375397828463309	0.0209936852830196	0.0215258345060677	0	0.0229466453457432	0.0306411435801114	0.502126740646399	0.50049498044642	0.511901757462069	0.467298453207598	0.494394652153326	0.542956876396597	0.513423412270947	0.547114982220435	0.469705880338958	0.515723155289889	0.523557519116796	0.445602105306863	0.531673763947014	0.466133561732676	0.482389206050992	0.613363849962463	0.504320615776505	0.485360854361436	0.500435539451195	0.471453030404347	0.469184463812542	0.438515455052366	0.454705535501992	0.513109963021943	0.430811425029816	0.511034782564891	0.452384148095216	0.487111084643727	0.471708234113692	0.466467468254714	0.471197347558522	0.496411339215525	0.447620388952551	0.510398890015769	0.446472314016544	0.485366999943301	0.444280631664085	0.452045612557287	0.469532334547764	0.450911426821408
wild09	0.0275582284676653	0.019098361489634	0.0345638746301528	0.0145004104032792	0.0309818614204058	0.0220806919319553	0.0153534482440806	0.0229466453457432	0	0.0264129122973449	0.485847834316512	0.487364329565219	0.496580087686786	0.466611405413175	0.486133036504062	0.531629350997915	0.513593140952273	0.538192351033767	0.466480891860889	0.497013464929679	0.506455886373332	0.437519277340369	0.522647497541324	0.467848423932858	0.482497436904916	0.5982099227086	0.495467685548767	0.476278824591305	0.50024419361059	0.457724342791863	0.466689180517768	0.430819272665465	0.453099968365356	0.508295711392808	0.425672473484688	0.500750210343967	0.444516078311942	0.482328901616385	0.466087791929762	0.457360288590615	0.465992077888601	0.490010017482027	0.44929674701545	0.50511278830674	0.439103310886791	0.477469874259799	0.449793511959164	0.44986121465063	0.463011332765254	0.441628853411756
wild10	0.0309648674653892	0.0401069082008256	0.0524296481417079	0.0273353481390364	0.0122377263274657	0.0321593624250885	0.0297733825166854	0.0306411435801114	0.0264129122973449	0	0.496425823784703	0.494512407477085	0.508451276705052	0.476202399919037	0.498697172352834	0.539424551085645	0.528548745200617	0.549322312741302	0.484868864083067	0.507279671202839	0.516007569356044	0.453011086162522	0.536214912409849	0.480766110128085	0.493968567876368	0.595054957878339	0.504055398505741	0.482878833740952	0.512607428422627	0.469720568117824	0.477762563959341	0.441660122717325	0.463995141663707	0.524475425726823	0.433396671902874	0.515205028665366	0.452316838603466	0.49723800327645	0.482879435836424	0.471729301105475	0.475741183164104	0.501545042878079	0.463513890306153	0.500947073285454	0.452203001357651	0.487977378127467	0.465953251833738	0.460482314312474	0.479199432561672	0.45405663936241
