gene	Human_vs_Wild	Lab_vs_Wild
ko04136	11.2772882997349	8.920669042429
ko00062	9.36373189032524	4.96568797817265
ko04070	7.8735611525954	3.65511818747564
ko00760	6.9644649780586	5.04369610967094
ko01040	5.13204142807166	3.75150222488215
ko00510	5.1179814631895	6.80771524872325
ko00830	5.06963425135191	7.00480356123667
ko04122	4.12182826636603	3.51228247747256
ko04148	4.11984786825503	5.48917426294178
ko04150	4.03850518480026	3.41288267489305
ko04711	3.91955237654356	2.97852629214289
ko00040	3.68185467649239	5.44461648339439
ko01212	3.5552308982091	2.84188198155263
ko00310	3.31169398503305	1.93027995954498
ko00650	3.31169398503305	3.14286009248743
ko00983	3.28652522968776	5.04369610967094
ko01232	3.20169574067474	2.9388672288126
ko00980	2.88309952347951	4.12516547855258
ko00982	2.79114479810242	3.76095961268482
ko00053	2.78952958006898	4.56890042364886
ko00541	2.75678746342454	3.37301199499597
ko00860	2.51720569845352	5.04369610967094
ko04140	2.41902888055718	3.44695812258714
ko00790	2.26714971218347	1.70996014043485
ko00592	2.16165578653564	3.51909917771771
ko04981	2.00854055670557	1.60754331786779
ko00512	1.92231622070865	0.843827867068113
ko00190	1.89387282772048	1.53937220301646
ko00590	1.89387282772048	3.25447301354052
ko00730	1.88681292494025	2.29249238361927
ko00780	1.86623997936743	1.84250925295195
ko01240	1.78301304673569	3.43588194044029
ko00514	1.76654845066115	0.876914032191656
ko03060	1.68268470062374	-0.01164719900754
ko03018	1.57062848766212	0.953074151618879
ko00981	1.47741132090145	3.80824259450975
ko04081	1.40937320873108	2.41186174047864
ko00630	1.34548274827123	1.48707282965166
ko00562	1.33858855715802	1.53981359811616
ko00440	1.31011922686025	3.70584530611352
ko03450	1.29105300668273	-0.01164719900754
ko01250	1.24006480577148	1.20093102747784
ko00480	1.18472330941601	1.6019664842151
ko00280	1.15333278404873	1.53937220301646
ko03020	1.12549929785186	0.0969677239260172
ko00071	1.06957029342978	1.44253751222053
ko00500	1.06492608748885	2.03220963489108
ko00620	1.05566515637999	2.07469277603414
ko00920	0.992889352343585	-0.0355009262793332
ko00130	0.948415082195716	0.926626474527054
ko01100	0.948415082195716	2.23730175959867
ko00100	0.844345020979554	1.84250925295195
ko00601	0.61499947569934	1.84224501219335
ko03272	0.553184443307305	0.550813050603156
ko00561	0.521367889242545	1.54961784218698
ko04341	0.501000199481018	-0.262448625788364
ko04142	0.501000199481018	2.02236045338948
ko00770	0.501000199481018	2.4234293265783
ko00052	0.501000199481018	0.909278537030391
ko00531	0.41730944206981	2.07469277603414
ko04130	0.404401928381841	-0.199330923232013
ko00051	0.374969796623105	0.793573219520756
ko00340	0.337639517703321	0.0861924384293886
ko00410	0.337639517703321	1.37083172663811
ko02010	0.286209028049312	0.466852010998262
ko00520	0.267006036633623	1.11024428632156
ko00430	0.21801712166023	0.602670429950833
ko00511	0.21638281291819	1.71109847108327
ko00603	0.101451348032027	1.27105693526201
ko00270	0.061010059532704	0.230880524537307
ko04146	0.0544641500695151	0.908640106570409
ko00604	0.0075782344021212	1.23474763882608
ko00513	-0.009403376176235	1.40548133712173
ko00900	-0.0179954585263089	1.3865570900713
ko00061	-0.0611300097633336	-0.0355009262793332
ko00220	-0.0955268547179512	0.550813050603156
ko03460	-0.121841472159328	-0.466852010998262
ko03015	-0.172412940839433	-1.75919575510326
ko00450	-0.172412940839433	1.340674793674
