gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation
ko00062	0.0485789628890347	0.162762983437775	5.26014131559964	2.94406751336707e-06	9.18549064170526e-05	3.95445847441365	4.03689764095924	up
ko04070	0.027101252191077	-0.0225834339501374	5.07194720490646	5.68214013314166e-06	0.000126630551538585	3.31107571694594	3.89746150155488	up
ko04136	0.025075353454667	0.0786677575088019	3.90248213305022	0.000282708399675172	0.00259426531466628	-0.475224685803066	2.58598561082583	up
ko00760	0.0313894288677658	0.0841521054894798	3.48290361471639	0.00103374328903488	0.00645055812357763	-1.71039563808916	2.19040270714714	up
ko03060	0.0143864180247893	0.301987384680777	3.43563345706687	0.00119098847522549	0.00714593085135292	-1.84432825413687	2.14594119062744	up
ko01040	0.0327869435839376	0.0554366214183618	3.01638810747352	0.0039990278527427	0.0215120118975125	-2.98002074476019	1.66731897059218	up
ko03450	0.0329072621958105	-0.0414541972960343	2.93475858044389	0.00501249292600332	0.0260649632152173	-3.18946534832119	1.58394288364467	up
ko00310	0.00991661406474034	0.193291255518057	2.75023336598583	0.00824519817271559	0.0401953410919885	-3.64771666783573	1.39582428162438	up
ko04711	0.0279624713866568	0.0451046549456142	2.54796687377286	0.0139238220799999	0.0587802891539017	-4.1245353418635	1.23076828186267	none
ko00920	0.0192925738901692	0.282671633276734	2.50669471799169	0.0154503025731648	0.0618012102926594	-4.21840556432102	1.20900301976108	none
ko00512	0.0300447142736493	-0.156374782875313	2.40324615214571	0.0199641179935157	0.0759610343167916	-4.4484133202785	1.11940913036186	none
ko03020	0.015778291252145	0.125699131629597	2.36174825308438	0.0220859698365177	0.078392222357932	-4.53852136966247	1.10572702347104	none
ko04122	0.0231811789990415	0.0545453338754441	2.36128741654738	0.0221106268189039	0.078392222357932	-4.53951499103915	1.10572702347104	none
ko04150	0.00995187539339282	0.150461908667515	2.34443203458111	0.0230295826442493	0.0798358865000643	-4.57575056190984	1.09780184792742	none
ko01212	0.0161733873531465	0.158543086697555	2.33125669136845	0.0237715326554667	0.080616502048974	-4.60392970205728	1.09357604981713	none
ko00514	0.0227118317913885	-0.127252293493999	2.14295003526185	0.0369604754264828	0.108789323896817	-4.99248596838764	0.963413722286731	none
ko04341	0.0113442036571664	0.169128693314124	2.0783264403329	0.0427819464506501	0.12134515720548	-5.11957578657308	0.915977551354337	none
ko00790	0.0170526632446027	0.19852726211402	1.92713910612292	0.0595991641172353	0.152417534463749	-5.40399131707569	0.816965067886168	none
ko01232	0.00955299887641507	-0.0082645467452903	1.90368833407445	0.0626589001256133	0.154326305910026	-5.44645576795052	0.811560039343076	none
