Human_vs_Wild_down	Human_vs_Lab_down
ko04330	ko00250
ko03420	ko00290
ko03040	ko00510
ko00290	ko00770
ko00515	ko04977
ko04382	ko03265
ko00563	ko00513
ko03008	ko00900
ko00240	ko04013
ko04820	ko00450
ko03410	ko00860
ko04145	ko00440
ko03440	ko00981
ko04980	ko00830
ko04013	ko00232
ko04624	ko00532
ko04745	ko00970
ko00400	ko00515
ko05100	ko00563
ko04320	
ko03273	
ko00360	
ko00564	
ko00232	
ko04120	
ko00330	
ko04310	
ko03430	
ko03030	
ko03050	
ko04512	
ko04350	
ko00785	
ko01210	
ko00750	
ko04137	
ko00350	
ko04214	
ko00534	
ko03265	
ko04215	
ko03266	
ko00910	
