Lab_vs_Wild_up	Lab_vs_Human_up
ko04136	ko00563
ko00830	ko00970
ko00510	ko00515
ko04148	ko00532
ko00040	ko00232
ko00983	ko04013
ko00860	ko00450
ko00760	ko00860
ko00062	ko00440
ko00053	ko00981
ko00980	ko00830
ko00981	ko00770
ko00982	ko04977
ko01040	ko03265
ko00440	ko00513
ko04070	ko00900
ko00592	ko00510
ko04122	ko00290
ko04140	ko00250
ko01240	
ko04150	
ko00541	
ko00590	
ko00650	
ko04711	
ko01232	
ko01212	
ko00770	
ko04081	
ko00730	
ko01100	
ko00531	
ko00620	
ko00500	
ko04142	
ko00310	
ko00780	
ko00100	
ko00601	
ko00511	
ko00790	
ko04981	
ko00480	
ko00561	
ko00562	
ko00190	
ko00280	
ko00630	
ko00071	
ko00513	
ko00900	
ko00410	
ko00450	
