Wild_vs_Lab_up	Wild_vs_Human_up
ko00750	ko00910
ko00910	ko03266
ko04215	ko03265
ko04214	ko04215
ko00785	ko00534
ko03266	ko04214
ko00534	ko00350
ko00350	ko04137
ko03030	ko00750
ko04512	ko01210
ko03265	ko00785
ko03050	ko04350
ko03430	ko04512
ko04137	ko03050
ko03420	ko03030
ko03410	ko03430
ko04350	ko00330
ko01210	ko04310
ko00330	ko04120
ko03040	ko00232
ko03082	ko00564
ko03440	ko00360
ko03010	ko03273
ko04382	ko04320
ko04120	ko05100
ko04624	ko00400
ko03273	ko04624
ko05100	ko04745
ko03008	ko04013
ko00360	ko04980
ko04980	ko03440
ko03015	ko04145
ko04745	ko03410
ko04820	ko04820
ko00380	ko00240
ko04392	ko03008
ko04814	ko00563
	ko04382
	ko00515
	ko00290
	ko03040
	ko03420
	ko04330
