sample	group
fam01	Other
fam02	Other
fam03	Other
fam04	Other
fam05	Other
fam06	Other
fam07	Other
fam08	Other
fam09	Other
fam10	Other
hos01	Other
hos02	Other
hos03	Other
hos04	Other
hos05	Other
hos06	Other
hos07	Other
hos08	Other
hos09	Other
hos10	Other
lab01	Other
lab02	Other
lab03	Other
lab04	Other
lab05	Other
lab06	Other
lab07	Other
lab08	Other
lab09	Other
lab10	Other
res01	Other
res02	Other
res03	Other
res04	Other
res05	Other
res06	Other
res07	Other
res08	Other
res09	Other
res10	Other
wild01	Wild
wild02	Wild
wild03	Wild
wild04	Wild
wild05	Wild
wild06	Wild
wild07	Wild
wild08	Wild
wild09	Wild
wild10	Wild
