sample	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
Pame_00001.t1	5.19982	5.77043	8.44931	4.3092	4.8114	5.43043	7.70455	4.51633	5.02638	6.04481	6.4068	5.63115	5.63396	5.64173	7.24771	5.91979	6.49454	7.44556	5.84767	5.59297	6.52118	8.83409	5.06922	5.16191	5.92516	5.75469	6.02857	5.20466	7.09822	4.92804	6.30831	6.57283	7.0525	7.46482	7.00721	6.60628	6.33462	6.08415	6.6112	6.66245	7.99945	7.25005	7.28171	6.48519	6.84353	6.84435	6.7573	5.9089	7.0976	6.34108
Pame_00002.t1	4.95767	5.48724	11.7383	9.80713	7.28081	5.03844	9.36072	9.39093	10.9563	8.05195	0.989696	0.354395	0.397931	0.395143	0.152982	1.00518	0.401666	0.35832	1.69366	1.3049	0.700107	1.48027	0.780348	0.783164	1.77942	0.705952	0.304116	0.570915	0.397634	0.969644	0.593756	1.46989	0.823674	0.222952	0.792082	0.787319	0.562625	0.230331	0.726673	0.505321	0.656108	0.461754	0.515235	0.553356	0.150584	0.723012	0.423781	0.099895	0.993361	0.463986
Pame_00003.t1	0.110286	0	0	0	0	0	0.034702	0.068283	0	0.034842	0.398574	0.381088	0.304291	0.226666	0.29248	0.288217	0.345676	0.256897	0.566653	0.35639	0.376618	0.821737	0.394924	0.486767	0.591633	0.259622	0.08309	0.136456	0	0.307946	0.21835	0.181391	0.09268	0.298533	0.283972	0.221418	0.206839	0.044055	0.137612	0.175781	0.31378	0.294513	0.134433	0.192533	0.04802	0.259243	0.403966	0	0.330995	0.080698
Pame_00004.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pame_00005.t1	96.9607	93.8069	65.5349	24.3791	54.004	93.9308	78.5361	39.9543	34.4281	63.0105	208.839	72.1293	97.0045	88.6326	162.085	94.6949	29.4626	150.272	68.905	72.2064	218.078	121.436	96.803	77.3365	77.7024	116.536	233.887	77.6249	123.588	137.194	68.7947	87.9862	303.912	89.1294	131.717	67.0013	182.482	166.359	171.127	91.3812	127.947	228.712	102.181	125.732	261.511	59.0728	162.656	103.855	186.328	162.994
Pame_00006.t1	7.02407	5.26619	9.55348	5.29983	4.73047	5.41319	8.04398	5.30391	5.94079	6.11723	5.70103	3.92831	3.88795	5.01607	4.8658	4.42941	5.14891	5.57127	4.24101	4.57844	4.94871	6.06156	3.74875	4.94371	4.32891	5.71515	4.8874	4.95377	4.92924	4.56108	4.69544	5.07126	5.36925	4.85662	4.70663	5.24926	4.69989	5.25403	5.11957	6.42453	5.19507	5.90376	5.79204	4.99929	3.31905	4.15227	5.98038	1.67805	4.70657	3.89597
Pame_00007.t2	7.19287	6.45773	9.84664	1.90103	4.09653	5.41713	7.53013	2.4132	3.06251	5.19584	7.66035	4.61065	4.86051	2.90596	6.04869	3.89815	5.67535	7.65949	3.92599	4.93769	7.43255	9.41238	6.08132	6.17034	3.79326	3.73634	5.09063	4.27321	6.81063	4.52783	4.90465	9.49125	8.64636	9.30667	6.56442	7.60312	6.61356	4.51122	9.36604	5.08272	8.81189	9.99103	10.6245	13.3495	15.1572	24.2143	5.33643	27.0187	8.04414	13.2109
Pame_00008.t1	1.62201	1.78864	1.66752	0.300504	1.08429	0.813603	3.16945	0.878052	0.568344	1.40015	0.177574	0.153973	0.813325	0.271003	0.344771	0.346593	0.27337	0.926985	0.144636	0.47418	0.300061	1.9844	0.159718	0.936678	0.804712	0	1.34343	0.654497	1.35686	0.776386	0.627638	0.97959	1.35871	1.08111	0.345136	0.475213	0.605155	0	0.319532	0.475109	0.997852	0.177921	1.77467	2.41562	1.05014	4.42337	0.51918	1.21247	1.16938	0.87864
Pame_00009.t1	0	0.214272	0	0	0.100439	0	0.37502	0.092452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pame_00010.t2	3.82348	5.83668	6.33389	3.18086	3.39939	5.96079	5.51188	3.39118	4.81262	4.22862	4.15499	4.62025	4.34455	4.08007	5.8661	4.61599	5.4598	5.31138	5.0766	3.91663	6.28788	7.38511	5.0377	6.01723	4.47874	4.96598	4.40179	3.73185	4.90756	3.97507	6.24109	6.12123	5.99866	7.36816	6.75594	6.68202	7.05779	5.47223	7.09858	5.98968	7.43955	6.40039	6.88783	7.18536	6.3473	6.87889	5.97035	12.8554	7.22134	8.15044
