gene Fam Hos Lab Res Wild
Pame_00001.t1 2.80131196450154 2.97488616457151 2.83948354355289 2.93750238788193 2.72573091675161
Pame_00005.t1 6.90342089216101 7.14475579513022 6.54272847814314 6.93495841322812 5.90694684992564
Pame_00006.t1 2.55473818329527 2.42717688880476 2.51228595733209 2.61507696416845 2.83661986024294
Pame_00007.t2 2.70644617051784 3.72829843379619 2.59523297700807 2.99819991550081 2.54576544621378
Pame_00010.t2 2.59219540172499 3.06594705143898 2.51389311333202 2.89846523137903 2.46816048030352
Pame_00012.t2 2.24826723454651 2.58331365804416 2.12294145642577 2.46575358972742 2.1315089502009
Pame_00013.t1 3.20115695137619 3.73262661107038 3.11776796426046 3.46982429431103 2.84050022177095
Pame_00014.t1 7.55259527441819 6.78804845446449 7.71660302474784 7.22517829939699 5.7682451651317
Pame_00015.t1 2.95580440846904 3.3858212347377 2.52214041910268 3.17127530316097 2.94294832062474
Pame_00016.t1 1.70389470279491 1.84823657162011 1.40002891593044 1.63657285999638 3.36496620139359
Pame_00019.t1 2.53716783799193 2.57313897835426 2.25327206747447 2.75161509080263 2.80529455834896
Pame_00020.t1 4.5093630660293 4.94670208910712 4.47266895451635 4.67113641763167 5.60570221488716
Pame_00021.t1 12.3036249072274 11.9663940777058 12.1187289308345 12.1506869974029 10.2297116161613
Pame_00022.t1 3.42680138412927 3.28134549374514 3.32728795266556 3.45680656256267 3.50478295267662
Pame_00024.t1 5.58537015773023 5.44660923611227 5.89893619456242 6.32816491502894 5.55436242744678
Pame_00025.t1 6.55650390531845 6.87411045090004 6.48211924113362 6.70603160441125 7.14167565051637
Pame_00036.t1 2.70527982917554 2.62184675320547 2.76175350143289 3.04757783634889 2.94005472710529
Pame_00040.t1 1.8400330115902 2.43243581828863 1.6523528327895 2.18182360848403 2.85290879907142
Pame_00042.t1 2.98066115778025 3.75859887554342 2.45426064709645 3.11734215057109 4.50541074092363
Pame_00043.t1 3.99712574776967 4.62406338117626 3.90937148634085 4.36358476667506 4.96529310566608
Pame_00046.t1 3.73239871187074 3.7130022014785 3.33550726893557 3.71057943487417 4.00344389289903
Pame_00047.t1 1.84723591617569 2.63677036056064 1.94806974051338 2.11329200317325 2.04679373543275
Pame_00049.t1 2.09886165559608 2.27881107535465 1.77909990006919 2.19331699500553 1.65019010567794
