module	lambda.min	coef	absCoef	module_name	中文名	category_C	category_B
M00019	14.9879930425722	14.9879930425722	14.9879930425722	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	缬氨酸/异亮氨酸的生物合成,丙酮酸→缬氨酸/2-氧戊酸→异亮氨酸	Branched-chain amino acid metabolism	Amino acid metabolism
M00570	11.5121972190542	11.5121972190542	11.5121972190542	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	异亮氨酸的生物合成,苏氨酸→α-酮丁酸→异亮氨酸	Branched-chain amino acid metabolism	Amino acid metabolism
M00535	7.04073231895634	7.04073231895634	7.04073231895634	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	异亮氨酸的生物合成,丙酮酸→α-酮丁酸	Branched-chain amino acid metabolism	Amino acid metabolism
M00432	6.36577189353545	6.36577189353545	6.36577189353545	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	缬氨酸的生物合成,α-酮异戊酸→α-酮异己酸	Branched-chain amino acid metabolism	Amino acid metabolism
ko00524	5.8796895947228	5.8796895947228	5.8796895947228	Neomycin, kanamycin and gentamicin biosynthesis	新霉素,卡那霉素和庆大霉素的生物合成	Biosynthesis of other secondary metabolites	Biosynthesis of other secondary metabolites
ko00365	4.35423375902452	4.35423375902452	4.35423375902452	Furfural degradation	呋喃甲醛的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation
M00145	2.8220326047394	2.8220326047394	2.8220326047394	NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	NAD(P)H:醌氧化还原酶,叶绿体和蓝细菌	ATP synthesis	Energy metabolism
M00153	1.3144017969598	1.3144017969598	1.3144017969598	Cytochrome bd ubiquinol oxidase	细胞色素bd泛醌氧化酶	ATP synthesis	Energy metabolism
M00150	1.15938030768733	1.15938030768733	1.15938030768733	Fumarate reductase, prokaryotes	富马酸还原酶,原核生物	ATP synthesis	Energy metabolism
M00856	0.937219771791406	0.937219771791406	0.937219771791406	Salmonella enterica pathogenicity signature, typhoid toxin	伤寒沙门氏菌致病性特征,伤寒毒素	Pathogenicity	Pathogenicity
M00162	0.426446447629072	0.426446447629072	0.426446447629072	Cytochrome b6f complex	细胞色素b6f复合体	ATP synthesis	Energy metabolism
M00596	0.380893687277664	0.380893687277664	0.380893687277664	Dissimilatory sulfate reduction, sulfate => H2S	异化硫酸盐还原,硫酸盐→H2S	Sulfur metabolism	Energy metabolism
M00029	0.260978685053244	0.260978685053244	0.260978685053244	Urea cycle	尿素循环	Arginine and proline metabolism	Amino acid metabolism
M00815	0.16514445502707	0.16514445502707	0.16514445502707	Validamycin A biosynthesis, sedoheptulopyranose-7P => validamycin A	伐地霉素A的生物合成,七碳糖-7P→伐地霉素A	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites
M00779	-0.117122865871631	-0.117122865871631	0.117122865871631	Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin	二氢卡拉芬的生物合成,八酮→二氢卡拉芬	Type II polyketide biosynthesis	Biosynthesis of terpenoids and polyketides
M00113	-0.404363304510686	-0.404363304510686	0.404363304510686	Jasmonic acid biosynthesis	茉莉酸的生物合成	Lipid metabolism	Lipid metabolism
M00861	-0.406860162631554	-0.406860162631554	0.406860162631554	beta-Oxidation, peroxisome, VLCFA	β-氧化,过氧化物酶体,VLCFA	Fatty acid metabolism	Lipid metabolism
M00032	-0.416904909635518	-0.416904909635518	0.416904909635518	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	赖氨酸的降解,赖氨酸→萨卡灵→乙酰乙酰辅酶A	Lysine metabolism	Amino acid metabolism
M00025	-0.452809153293867	-0.452809153293867	0.452809153293867	Tyrosine biosynthesis, chorismate => HPP => tyrosine	酪氨酸的生物合成,预苯酸→HPP→酪氨酸	Aromatic amino acid metabolism	Amino acid metabolism
M00887	-0.467778164386941	-0.467778164386941	0.467778164386941	Mycolic acid biosynthesis, meromycolic acid + alpha-carboxyacyl-CoA + trehalose => TMM => TDM/mAGP/GMM	肽聚糖的生物合成,梅尔米菌酸+α-羧酸酰辅酶A+海藻糖→TMM→TDM/mAGP/GMM	Fatty acid metabolism	Lipid metabolism
M00923	-0.469617889507195	-0.469617889507195	0.469617889507195	UDP-L-FucNAm biosynthesis, UDP-GlcNAc => UDP-L-FucNAm	UDP-L-FucNAm的生物合成,UDP-GlcNAc→UDP-L-FucNAm	Other carbohydrate metabolism	Carbohydrate metabolism
M00595	-0.608616679718712	-0.608616679718712	0.608616679718712	Sulfur oxidation, SOX system, thiosulfate => sulfate	硫氧化,SOX系统,硫代硫酸盐→硫酸盐	Sulfur metabolism	Energy metabolism
