module	Metagenome_fam01	Metagenome_fam02	Metagenome_fam03	Metagenome_fam04	Metagenome_fam05	Metagenome_fam06	Metagenome_fam07	Metagenome_fam08	Metagenome_fam09	Metagenome_fam10	Metagenome_hos01	Metagenome_hos02	Metagenome_hos03	Metagenome_hos04	Metagenome_hos05	Metagenome_hos06	Metagenome_hos07	Metagenome_hos08	Metagenome_hos09	Metagenome_hos10	Metagenome_lab01	Metagenome_lab02	Metagenome_lab03	Metagenome_lab04	Metagenome_lab05	Metagenome_lab06	Metagenome_lab07	Metagenome_lab08	Metagenome_lab09	Metagenome_lab10	Metagenome_res01	Metagenome_res02	Metagenome_res03	Metagenome_res04	Metagenome_res05	Metagenome_res06	Metagenome_res07	Metagenome_res08	Metagenome_res09	Metagenome_res10	Metagenome_wild01	Metagenome_wild02	Metagenome_wild03	Metagenome_wild04	Metagenome_wild05	Metagenome_wild06	Metagenome_wild07	Metagenome_wild08	Metagenome_wild09	Metagenome_wild10
M00534	-0.201429711118017	-0.309523811399766	-0.23758218621699	-0.243194525127539	-0.228774501065399	-0.214661721834129	-0.250793713944377	-0.237602669205715	-0.271379117612631	-0.2259478486214	-0.212920667792535	-0.207554124746682	-0.235800166197948	-0.236045962062643	-0.221441591101982	-0.20736977784816	-0.226357508395893	-0.210810919953898	-0.205260030009523	-0.206079349558509	-0.252391387064898	-0.250814196933102	-0.237541220239541	-0.232830132832876	-0.251182890730145	-0.254931277666753	-0.138968286228522	-0.324081847601106	-0.236988179543976	-0.202075132916533	-0.213248395612129	-0.242928246274119	-0.218143829917316	-0.212920667792535	-0.245734415729394	-0.220335509710852	-0.248110442421451	-0.241453471085946	-0.243440320992235	-0.322586589424208	0.060371581490841	-0.0495144337690222	-0.0198009092718037	-0.115907110687646	-0.0332774723752462	-0.0411578447499741	-0.0247533462765341	0.0784904258096812	0.047084404670589	-0.0592301903273843
M00637	-0.261868000259684	-0.292723589654184	-0.291381755791194	-0.295820427955813	-0.20974091978786	-0.272944194492009	-0.301857022099694	-0.291491015413708	-0.318587401797103	-0.281848853726875	-0.271127753267719	-0.266716396008729	-0.289961380698517	-0.289988695604145	-0.277737960429798	-0.266552506574959	-0.282081030424717	-0.269488858930014	-0.264927269690067	-0.265610142330778	-0.303632490965542	-0.302335032948192	-0.291654904847479	-0.287147945418789	-0.302266745684121	-0.305817683415816	-0.300259100120432	-0.362823891462333	-0.290835457678626	-0.271735130069041	-0.271469189588075	-0.295670195974857	-0.275621055243595	-0.271250670343047	-0.298265112009557	-0.276932170713759	-0.299740116913492	-0.294181533618108	-0.295943345031141	-0.361198654577442	0.0225935704276219	-0.153360237186213	-0.138391197378437	-0.0544395775043703	-0.11881578430039	-0.0831800454193461	-0.0216189930909205	-0.0593937328651065	0.00566334174647181	-0.0806799245321945
M00875	-0.271151646941673	-0.378897856645238	-0.255884657220428	-0.280901814187525	-0.310644098774085	-0.286044726403449	-0.284986266106326	-0.349176073464177	-0.201286453517296	-0.292356484392947	-0.33248146379259	-0.327224886133023	-0.284292885820727	-0.282036045242514	-0.289352290341177	-0.32789220222789	-0.271657843667724	-0.292196939672916	-0.325960497742748	-0.326100985341668	-0.302765991861463	-0.326997171241155	-0.209140015731268	-0.248749698290847	-0.298277779168161	-0.242035380511456	-0.22866454357772	-0.318500883701033	-0.307361569464092	-0.245943526682099	-0.303500534594761	-0.198087291566033	-0.336145848664404	-0.28566383836875	-0.351587777245626	-0.298132855995061	-0.29437358005813	-0.290696382623768	-0.314612431451132	-0.399892096674075	-0.124801725882278	-0.0916510718875024	0.0267059263109938	0.0371696579959761	-0.014849606491023	-0.0391716141117128	-0.044280245482093	-0.0558913817572344	-0.104992249051718	0.00615307109806324
M00548	-0.273231001001108	-0.360580973970501	-0.300941972761142	-0.305503562001089	-0.234041481542754	-0.283460433158952	-0.311130432560544	-0.301406326156825	-0.326986735277843	-0.29188708154532	-0.282108345330345	-0.277819905146683	-0.299685487102235	-0.299890348894448	-0.288704895039609	-0.277847220052311	-0.292556296733217	-0.280524080803897	-0.276276612978677	-0.276877540902502	-0.312782984351063	-0.31154015614497	-0.301310723987126	-0.297022283803464	-0.311403581616828	-0.314695027745053	-0.30946422331721	-0.369311181549083	-0.299944978705705	-0.254269076428157	-0.282012743160646	-0.249872838048668	-0.286028034288024	-0.28193079844376	-0.307565837376035	-0.287489381739144	-0.308999869921527	-0.304083186908411	-0.305435274737018	-0.367740574475449	-0.0637934528698754	-0.0826455461595158	0.0397270616277832	0.0764514441512273	-0.0253580249453795	-0.113699385605655	0.0351099191818806	-0.169849671913591	-0.0780401659322279	0.0511340281725155
M00022	0.285882788844437	0.279899285352442	0.269021610725339	0.277804672571117	0.26350718021955	0.272747328425657	0.273995942173522	0.259054770106199	0.236524271604293	0.273550847097938	0.261089738339107	0.270792082306415	0.266125881644414	0.266256676753189	0.268637710058831	0.266484701653281	0.274747707605229	0.262072632251676	0.271859336251547	0.274274250877166	0.269398123849714	0.280096886100632	0.258676199024536	0.281854541236647	0.279302127135436	0.30019006697576	0.286954632505304	0.263804609709543	0.270513645031299	0.291634671428033	0.276756783557093	0.258620810990315	0.270077150822719	0.273806263533701	0.243249128439469	0.273338357633483	0.26262330393919	0.26761783969124	0.283378881588875	0.284116171558536	0.302491676816907	0.32222002756719	0.336967147508562	0.316150781994859	0.310341742522156	0.274779513981742	0.28855176993299	0.276645569355838	0.31065894953375	0.318398818310457
M00915	-0.167606072997012	-0.256731175998248	-0.207585753790108	-0.213812097520181	-0.197727376217494	-0.182379985093368	-0.221922729484354	-0.207722296415768	-0.244698039444355	-0.194723438452985	-0.18038646275874	-0.174351278704591	-0.205510305880084	-0.205428380304689	-0.189616744253321	-0.174160119028667	-0.194750746978117	-0.177956004022001	-0.171593117666269	-0.172412373420226	-0.223342772791212	-0.2223050488362	-0.207394594114185	-0.202260591389389	-0.222496208512124	-0.227575594186656	-0.220748462903682	-0.302291718947524	-0.207148817387998	-0.215641768704018	-0.18082339916085	-0.21337516111807	-0.186257795662097	-0.180550313909531	-0.216461024457975	-0.188387860622385	-0.219164568446032	-0.21192780928608	-0.213894023095576	-0.300489356288819	0.0583384413147737	-0.00165524732423272	0.111494272089803	0.126467458852563	-0.00584495680037227	0.0893945531709271	0.0934131210006086	-0.0381678731543098	-0.089803334480868	0.0490877224227724
M00638	-0.257081991482839	-0.401978653720876	-0.287007638009524	-0.291554861506392	-0.279859074944628	-0.268019907461792	-0.297761207089955	-0.28725343387422	-0.315089815550993	-0.277319184342774	-0.266668030205966	-0.262059357742924	-0.285778658686046	-0.285614794776249	-0.273447899473819	-0.26199790877675	-0.277626429173643	-0.264926976164372	-0.260338786690055	-0.260830378419446	-0.299215499289404	-0.297966036977202	-0.2869871550208	-0.2828291083097	-0.298150383875723	-0.301898770812331	-0.122573030188392	-0.359640316027064	-0.286618461223756	-0.111823293011537	-0.266872860093212	-0.291452446562769	-0.271133321747935	-0.266668030205966	-0.294361030961667	-0.272444233026312	-0.295528561318971	-0.29003912034077	-0.291657276450015	-0.358308921759963	0.177134071283462	0.0120896747064237	-0.0375045488566221	-0.131642985919293	0.0117812698646588	0.0206716121764847	0.0308809256007756	0.0495717374613146	0.16057220898896	-0.0319977281121213
M00595	-0.208126524149114	-0.363445659664152	-0.243541106376709	-0.248774269436456	-0.235041606642086	-0.221109919749247	-0.256091331880174	-0.189609355608954	-0.276543984822855	-0.232067952464959	-0.219412361262305	-0.214073832503368	-0.208966479686605	-0.241492328892468	-0.22744356900053	-0.213921637604539	-0.232161610864239	-0.217340169178244	-0.211826030920658	-0.212563590814985	-0.257671817368017	-0.232484959166181	-0.217212916221362	-0.173655503778699	-0.177748242672448	-0.260961568642713	-0.215866823327704	-0.29970084235674	-0.168747669284701	-0.212323608006047	-0.219681629160234	-0.248446465038978	-0.224598695122412	-0.219529434261404	-0.17763968670686	-0.226495277707824	-0.221452785085816	-0.247193783948613	-0.249020122734565	-0.326639521137526	-0.0224183449166806	-0.141800963814937	0.0661429285185038	-0.0947163728797069	-0.0227677970032671	-0.0265911660959237	0.0225839865941202	0.164662163849578	-0.125672801030622	-0.0539966262729116
ko00907	-0.047661529317298	-0.0441805782202136	-0.0785566491811201	-0.104674693361407	-0.0593370657205926	-0.0436780118032189	-0.120242122760596	-0.100284217316372	-0.119248712261931	-0.077321182016025	-0.0717788886026588	-0.0773111702136457	-0.0801154341369884	-0.0858954536947612	-0.102041351751672	-0.029771801958918	-0.0926024248235908	-0.090561890699086	-0.015674152246365	-0.0411884411706095	-0.104431780928422	-0.0267554882472024	-0.0677000748564099	-0.0908740531344687	-0.0598240837147929	-0.0414783833332334	-0.0668555136078245	-0.214275057894005	-0.102889394181283	-0.0801135719958264	-0.0839610396420601	-0.120041425895266	-0.0708375575171516	-0.0776780292124409	-0.104082971181757	-0.100767026869625	-0.0994993952552195	-0.100761310184526	-0.0954457209640417	-0.20977629335238	0.150578011627248	0.138833087841174	0.215414566565524	0.190894589839512	0.108559277265947	0.147279601098093	0.188907020519194	0.111521404340085	0.149751571465262	0.16098252309852
M00990	0.00393941586978675	-0.0586008786115284	-0.00934052377332692	-0.0844957495709802	0.0256999205354084	-0.0279777958341914	-0.0322885453653708	-0.0285509374162904	-0.0507573445463791	-0.0143813200649836	-0.0074742196410573	0.00352201911889366	-0.0199067208391099	-0.0151242245990873	-0.0067343804930609	-0.047141457932958	-0.0345896958094228	0.00909543795097182	0.0592166486430259	-0.160955325398147	-0.0354334032623573	-0.00927937616566112	-0.0351614506329412	-0.0355776467208233	0.0568392616735589	-0.0403864907150509	0.00382707892790685	-0.194679450824111	-0.0205875679501708	-0.0188558600790543	-0.125984558912423	-0.081789613213436	-0.0208089250637401	-0.0829830610607639	-0.208414410273116	0.0145025173951792	-0.0336687308348571	-0.0123244664767498	0.00187739652180155	-0.13126096026799	0.207120528496805	0.215780377463646	0.2490977673559	0.227614885179779	0.150664133807988	0.159772927263877	0.243980688615615	0.298189074694296	0.0959604052926888	0.209253651222341
M00730	-0.0471879441291631	-0.190005685635276	-0.0469272009625912	-0.0951870199274397	-0.0930230271175863	-0.0457061028966229	0.0243228212621126	-0.0664911411790926	-0.0854172428096966	-0.0444215017889165	-0.0508442992144795	-0.11989807959159	-0.0695597757333505	-0.0705420823822536	-0.029991221802585	-0.120280398943436	-0.149473212309433	0.10365534255871	-0.0032312475829377	-0.0094266286016494	-0.00138308326144867	-0.0894085137722026	0.0438620091561801	-0.111456681106312	-0.131613239223774	-0.00276261010253012	0.0465962283257897	-0.218574614888417	-0.167387604795957	0.042440680911573	-0.0261820048904324	-0.137275736344974	-0.092963239806623	-0.0508433276295888	-0.0375935996610102	-0.0675295236408366	-0.0720211081074156	-0.0707280436725321	-0.0895254837217819	-0.197849732257425	-0.193030121019199	-0.226018672966591	-0.135256929656967	-0.220464175782321	-0.217451585775775	-0.293180212277076	-0.194536481533152	-0.19392713967596	-0.189951278413481	-0.198201250226091
