pathway	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
ko03050	0.522891121	0.520985341	0.522028644	0.53025814	0.530396804	0.519612667	0.393732373	0.422872818	0.4319233	0.389618874	0.419869495	0.399089882	0.510487978	0.517263586	0.520393458	0.518792255	0.514592552	0.512129301	0.522963315	0.516422638	0.519485258	0.531861961	0.523022252	0.523160079
ko03010	0.526732911	0.525795993	0.536004728	0.52023198	0.519942306	0.531253812	0.394987356	0.409064409	0.41293973	0.388489086	0.404585342	0.399888691	0.537088554	0.538077669	0.554923371	0.53416431	0.545621614	0.542983919	0.521899149	0.521629355	0.52849903	0.517305878	0.521219727	0.513977404
ko03018	0.206652411	0.181600028	0.183857832	0.196668019	0.191136802	0.212405677	0.120146659	0.169557211	0.149332491	0.129522144	0.149079236	0.142412661	0.220413828	0.215839991	0.212618268	0.221837159	0.221773412	0.197339151	0.239220561	0.221503103	0.227849838	0.236980255	0.23071887	0.230734054
ko00190	0.522017079	0.534519763	0.542333157	0.543425897	0.526076435	0.532315369	0.415083916	0.412129041	0.427848154	0.399708889	0.40605701	0.394410084	0.569722339	0.568791141	0.579031493	0.568638449	0.568190959	0.568520494	0.562815629	0.562512686	0.563788471	0.562812971	0.5562406	0.561031769
ko04150	0.064156458	0.071348345	0.04878112	0.078515347	0.06022095	0.067207934	0.036231811	0.043408995	0.039855747	0.044199308	0.017862499	0.025654297	0.107296441	0.094976756	0.094092199	0.103182279	0.097336981	0.075285131	0.093707253	0.078186931	0.089885998	0.098417899	0.093071491	0.097556259
ko00052	0.250319182	0.288771498	0.291339533	0.300801407	0.285313127	0.247428734	0.19812665	0.179525221	0.187311092	0.181479963	0.144497436	0.141674897	0.278187296	0.24746385	0.265951971	0.259854225	0.228961362	0.250848804	0.285115669	0.261381984	0.288860531	0.272969499	0.2507587	0.298881381
ko03060	0.355670138	0.361066105	0.373197801	0.379163231	0.375634023	0.351846668	0.299100566	0.315187794	0.326725613	0.299869811	0.304787186	0.298332672	0.415076114	0.422080717	0.427227574	0.419230295	0.409851096	0.411879432	0.417390923	0.407498701	0.401726571	0.409970466	0.403361762	0.414033427
ko00220	0.197612849	0.20968559	0.191916352	0.193843989	0.148112912	0.193867299	-0.099044529	-0.165799461	-0.168149483	-0.165802672	-0.165908198	-0.138477078	0.119958051	0.07283504	0.187499942	0.071238387	0.074749051	0.075644311	0.175947101	0.129046835	0.238554119	0.16580896	0.205500879	0.181541376
ko04122	0.080761034	0.076620626	0.06025045	0.115712331	0.053467568	0.100196523	-0.095216408	-0.026010277	-0.076222935	-0.107628236	-0.043654075	-0.023872584	0.047638791	0.075564183	0.108790657	0.111492839	0.065706756	0.074592016	0.022726217	0.020052625	0.062939081	0.043675387	-0.008660068	0.091490955
ko04980	0.167454655	0.215600809	0.152197032	0.16114814	0.148986346	0.179504607	-0.119046066	-0.075704394	-0.097691239	-0.125413715	-0.144558319	-0.09776058	0.240831048	0.257703723	0.316228916	0.293668097	0.276769696	0.276626197	0.153186255	0.145085351	0.172431655	0.147396343	0.166155054	0.165321142
ko00730	0.020242017	0.10949948	0.064824719	0.04423548	-0.010180016	0.061139698	-0.045643648	-0.077042087	-0.064307601	-0.06025905	-0.013624812	-0.042680249	0.058957954	0.035530267	0.087467875	0.038075683	0.008692854	-0.004429744	0.032635456	-0.021455582	0.033218269	0.023050305	0.01042135	0.039182885
ko00860	0.252138183	0.286756944	0.265024074	0.267281297	0.244153657	0.280997032	0.120312009	0.068953522	0.1003121	0.107669447	0.079970109	0.089612014	0.202108497	0.200424881	0.2127224	0.201804875	0.192239062	0.196516145	0.164331059	0.140673561	0.172406496	0.163284206	0.130571978	0.1800367
ko03030	0.143993921	0.043117781	0.033806767	0.043559609	0.01026863	0.153524065	-0.032536198	-0.029552719	-0.012190511	-0.081357763	-0.036634475	-0.026426638	0.093839196	0.132460515	0.089877787	0.094016408	0.190848378	0.085404171	0.079120457	0.053154048	0.068610681	0.053306142	0.14528953	0.038823935
ko02010	-0.010101793	-0.003195767	0.029581821	0.070234955	0.037610584	0.000397505	-0.039985315	-0.038589336	-0.03234511	0.008464001	-0.050146434	-0.007577215	0.010979632	0.017077825	0.020815785	0.040526576	0.006761802	0.023045987	0.009475181	-0.013722392	0.003393779	0.024638356	0.008319886	0.013919657
ko00400	0.189890519	0.296241665	0.23400512	0.345544953	0.316378766	0.21006878	-0.195523585	-0.106548298	-0.105775235	-0.053079944	-0.085659748	-0.116962514	0.016649336	0.038363635	0.021255737	0.0100932	0.033320095	0.177145533	0.157841992	0.135468968	0.212811734	0.0579737	0.076906504	0.060481545
