module	lambda.min	coef	absCoef	module_name	中文名	category_C	category_B	label
M00019	14.9879930425722	14.9879930425722	14.9879930425722	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	缬氨酸/异亮氨酸的生物合成,丙酮酸→缬氨酸/2-氧戊酸→异亮氨酸	Branched-chain amino acid metabolism	Amino acid metabolism	M00019:Valine/isoleucine SYN.
M00570	11.5121972190542	11.5121972190542	11.5121972190542	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	异亮氨酸的生物合成,苏氨酸→α-酮丁酸→异亮氨酸	Branched-chain amino acid metabolism	Amino acid metabolism	M00570:Isoleucine SYN.
M00535	7.04073231895634	7.04073231895634	7.04073231895634	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	异亮氨酸的生物合成,丙酮酸→α-酮丁酸	Branched-chain amino acid metabolism	Amino acid metabolism	M00535:Isoleucine SYN.
M00432	6.36577189353545	6.36577189353545	6.36577189353545	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	缬氨酸的生物合成,α-酮异戊酸→α-酮异己酸	Branched-chain amino acid metabolism	Amino acid metabolism	M00432:Leucine SYN.
ko00524	5.8796895947228	5.8796895947228	5.8796895947228	Neomycin, kanamycin and gentamicin biosynthesis	新霉素,卡那霉素和庆大霉素的生物合成	Biosynthesis of other secondary metabolites	Biosynthesis of other secondary metabolites	ko00524:Neomycin/Kanamycin/Gentamicin SYN.
ko00365	4.35423375902452	4.35423375902452	4.35423375902452	Furfural degradation	呋喃甲醛的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	ko00365:Furfural DEG.
M00145	2.8220326047394	2.8220326047394	2.8220326047394	NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	NAD(P)H:醌氧化还原酶,叶绿体和蓝细菌	ATP synthesis	Energy metabolism	M00145:NAD(P)H:quinone REDOX.
M00153	1.3144017969598	1.3144017969598	1.3144017969598	Cytochrome bd ubiquinol oxidase	细胞色素bd泛醌氧化酶	ATP synthesis	Energy metabolism	M00153:Cytochrome bd ubiquinol OXID.
M00150	1.15938030768733	1.15938030768733	1.15938030768733	Fumarate reductase, prokaryotes	富马酸还原酶,原核生物	ATP synthesis	Energy metabolism	M00150:Fumarate reductase
M00856	0.937219771791406	0.937219771791406	0.937219771791406	Salmonella enterica pathogenicity signature, typhoid toxin	伤寒沙门氏菌致病性特征,伤寒毒素	Pathogenicity	Pathogenicity	M00856:Salmonella enterica pathogenicity signature
M00555	-1.61352459420263	-1.61352459420263	1.61352459420263	Betaine biosynthesis, choline => betaine	甜菜碱的生物合成,胆碱→甜菜碱	Serine and threonine metabolism	Amino acid metabolism	M00555:Betaine SYN.
M00889	-1.6338104788355	-1.6338104788355	1.6338104788355	Puromycin biosynthesis, ATP => puromycin	博来霉素的生物合成,ATP→博来霉素	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites	M00889:Puromycin SYN.
M00013	-2.45003646172388	-2.45003646172388	2.45003646172388	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	马龙酸半醛途径,丙酰辅酶A→乙酰辅酶A	Other carbohydrate metabolism	Carbohydrate metabolism	M00013:Malonate semialdehyde pathway
M00736	-2.88377712760028	-2.88377712760028	2.88377712760028	Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A	诺卡菌素A的生物合成,L-pHPG+精氨酸+丝氨酸→诺卡菌素A	Biosynthesis of beta-lactams	Biosynthesis of other secondary metabolites	M00736:Nocardicin A SYN.
M00033	-3.55893123357298	-3.55893123357298	3.55893123357298	Ectoine biosynthesis, aspartate => ectoine	生物合成,天冬氨酸→生物合成	Serine and threonine metabolism	Amino acid metabolism	M00033:Ectoine SYN.
ko00625	-4.27706746876037	-4.27706746876037	4.27706746876037	Chloroalkane and chloroalkene degradation	氯代烷烃和氯代烯烃的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	ko00625:Chloroalkane/Chloroalkene DEG.
M00843	-7.54209543514383	-7.54209543514383	7.54209543514383	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	L-threo-四氢生物蝶呤的生物合成,GTP→L-threo-BH4	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	M00843:L-threo-Tetrahydrobiopterin SYN.
M00842	-7.55219993782354	-7.55219993782354	7.55219993782354	Tetrahydrobiopterin biosynthesis, GTP => BH4	四氢生物蝶呤的生物合成,GTP→BH4	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	M00842:Tetrahydrobiopterin SYN.
ko00983	-8.47406226507704	-8.47406226507704	8.47406226507704	Drug metabolism - other enzymes	药物代谢--其他酶	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	ko00983:Drug MET.
M00845	-9.62197893428612	-9.62197893428612	9.62197893428612	Arginine biosynthesis, glutamate => acetylcitrulline => arginine	精氨酸的生物合成,谷氨酸→乙酰瓜氨酸→精氨酸	Arginine and proline metabolism	Amino acid metabolism	M00845:Arginine SYN.
