pathway	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
ko03050	0.522891121	0.520985341	0.522028644	0.53025814	0.530396804	0.519612667	0.393732373	0.422872818	0.4319233	0.389618874	0.419869495	0.399089882	0.510487978	0.517263586	0.520393458	0.518792255	0.514592552	0.512129301	0.522963315	0.516422638	0.519485258	0.531861961	0.523022252	0.523160079
ko03010	0.526732911	0.525795993	0.536004728	0.52023198	0.519942306	0.531253812	0.394987356	0.409064409	0.41293973	0.388489086	0.404585342	0.399888691	0.537088554	0.538077669	0.554923371	0.53416431	0.545621614	0.542983919	0.521899149	0.521629355	0.52849903	0.517305878	0.521219727	0.513977404
ko03018	0.206652411	0.181600028	0.183857832	0.196668019	0.191136802	0.212405677	0.120146659	0.169557211	0.149332491	0.129522144	0.149079236	0.142412661	0.220413828	0.215839991	0.212618268	0.221837159	0.221773412	0.197339151	0.239220561	0.221503103	0.227849838	0.236980255	0.23071887	0.230734054
ko00190	0.522017079	0.534519763	0.542333157	0.543425897	0.526076435	0.532315369	0.415083916	0.412129041	0.427848154	0.399708889	0.40605701	0.394410084	0.569722339	0.568791141	0.579031493	0.568638449	0.568190959	0.568520494	0.562815629	0.562512686	0.563788471	0.562812971	0.5562406	0.561031769
ko04150	0.064156458	0.071348345	0.04878112	0.078515347	0.06022095	0.067207934	0.036231811	0.043408995	0.039855747	0.044199308	0.017862499	0.025654297	0.107296441	0.094976756	0.094092199	0.103182279	0.097336981	0.075285131	0.093707253	0.078186931	0.089885998	0.098417899	0.093071491	0.097556259
ko00052	0.250319182	0.288771498	0.291339533	0.300801407	0.285313127	0.247428734	0.19812665	0.179525221	0.187311092	0.181479963	0.144497436	0.141674897	0.278187296	0.24746385	0.265951971	0.259854225	0.228961362	0.250848804	0.285115669	0.261381984	0.288860531	0.272969499	0.2507587	0.298881381
ko03060	0.355670138	0.361066105	0.373197801	0.379163231	0.375634023	0.351846668	0.299100566	0.315187794	0.326725613	0.299869811	0.304787186	0.298332672	0.415076114	0.422080717	0.427227574	0.419230295	0.409851096	0.411879432	0.417390923	0.407498701	0.401726571	0.409970466	0.403361762	0.414033427
ko00220	0.197612849	0.20968559	0.191916352	0.193843989	0.148112912	0.193867299	-0.099044529	-0.165799461	-0.168149483	-0.165802672	-0.165908198	-0.138477078	0.119958051	0.07283504	0.187499942	0.071238387	0.074749051	0.075644311	0.175947101	0.129046835	0.238554119	0.16580896	0.205500879	0.181541376
ko04122	0.080761034	0.076620626	0.06025045	0.115712331	0.053467568	0.100196523	-0.095216408	-0.026010277	-0.076222935	-0.107628236	-0.043654075	-0.023872584	0.047638791	0.075564183	0.108790657	0.111492839	0.065706756	0.074592016	0.022726217	0.020052625	0.062939081	0.043675387	-0.008660068	0.091490955
ko04980	0.167454655	0.215600809	0.152197032	0.16114814	0.148986346	0.179504607	-0.119046066	-0.075704394	-0.097691239	-0.125413715	-0.144558319	-0.09776058	0.240831048	0.257703723	0.316228916	0.293668097	0.276769696	0.276626197	0.153186255	0.145085351	0.172431655	0.147396343	0.166155054	0.165321142
ko00515	-0.255843157	-0.345808862	-0.322772035	-0.358485475	-0.319240765	-0.302678412	-0.049345496	-0.00585563	-0.024190241	0.024552429	-0.025679404	0.004684748	-0.383740242	-0.388783904	-0.317753727	-0.348410332	-0.392984955	-0.347574276	-0.251562421	-0.273033022	-0.296454165	-0.263787368	-0.29384926	-0.286556926
ko00340	0.096863926	0.211372304	0.14835712	0.113743136	0.11996647	0.189958522	0.290290577	0.300837442	0.287486397	0.318745412	0.326543979	0.32562174	0.063779594	0.131383747	0.170277468	0.111349689	0.144835164	0.088879889	0.118981037	0.169396683	0.200880434	0.08357862	0.229088215	0.169429331
ko04082	-0.285801799	-0.270459702	-0.28946652	-0.261836768	-0.280127436	-0.257941508	-0.124964076	-0.135232119	-0.16628829	-0.172283514	-0.146490119	-0.136358068	-0.23330742	-0.220700398	-0.216484449	-0.228878386	-0.205886382	-0.2316561	-0.226855159	-0.211376343	-0.215400839	-0.201729536	-0.184201131	-0.216974422
ko04068	0.071805474	0.04900834	0.009750975	0.046232352	0.044292936	0.053696963	0.090078505	0.10072317	0.096160139	0.097524889	0.062654022	0.097061569	0.022009226	0.036988935	0.017923065	0.030242395	0.037470297	0.003299387	0.015939169	0.004732573	0.014739096	0.027140187	0.038253998	0.011952207
ko00562	0.019686648	0.027280337	0.016519797	0.031264446	-0.008275005	0.026435424	0.086325901	0.073205412	0.102527508	0.094915507	0.058550716	0.06312391	0.03392942	0.035430195	0.047079561	0.045671474	0.008130871	0.019863202	0.056245612	0.018948441	0.034497003	0.052316788	0.036661456	0.062032168
