KO	name	function	Complex	pathway	OG	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6
K03945	NDUFA1	NADH dehydrogenase	Complex I	ko00190	OG0009794	109.71715	124.1487083	171.2781458	54.43910417	152.5697292	87.82635417	194.011325	197.4840292	278.1118333	205.5734958	218.2332625	218.2332625	48.66285833	29.46059583	62.03369167	42.16376667	30.81050833	39.26490833	374.191375	605.6765417	541.3259167	547.6774583	431.8579583	580.1279583
K03949	NDUFA5	NADH dehydrogenase	Complex I	ko00190	OG0006159	97.85222083	109.0273625	150.438125	84.7948375	125.8752917	111.3906083	107.8225875	99.33576458	129.0888792	109.0273625	88.88440417	100.9555417	10.89604208	11.93638458	13.86660708	13.80559958	14.91162	12.32091	29.64282083	36.50381667	45.23015833	29.96690417	26.711675	37.52340417
K03950	NDUFA6	NADH dehydrogenase	Complex I	ko00190	OG0009266	203.355625	201.3548583	218.2332625	170.6623458	239.1296875	208.828	192.8302875	233.7032292	222.9725833	171.2781458	168.9553125	157.2974667	4.577139583	6.50182625	6.967985417	7.2911575	7.906737083	7.540432917	491.083625	571.403125	567.2947917	618.691375	520.9333333	654.70725
K03952	NDUFA8	NADH dehydrogenase	Complex I	ko00190	OG0005651	134.5366583	151.5325917	173.7935333	121.5894792	159.3634958	148.0951958	156.3041542	176.2395208	187.2989167	163.6153125	141.8301333	166.8262833	196.2481125	148.0951958	176.2395208	146.7071708	129.0888792	120.637325	59.29493333	65.79075417	73.57905417	57.28507083	57.0833125	66.94221667
K03953	NDUFA9	NADH dehydrogenase	Complex I	ko00190	OG0004865	126.3767833	127.9594	205.5734958	151.9605	173.2061208	161.8471542	146.7071708	147.5576875	133.6361833	149.2967792	135.2360542	163.6153125	0.003610125	0.004324917	0.009859125	0.00428025	0.004622938	0.003780167	99.93690833	132.7743542	143.0675	121.5894792	112.0085917	120.1511583
K11352	NDUFA12	NADH dehydrogenase	Complex I	ko00190	OG0007254	207.5852792	212.0939417	278.1118333	196.2481125	219.2909875	237.3272333	158.6815	172.4203375	212.0939417	165.0531583	162.1720625	136.5654458	9.695647083	9.944389583	12.0254725	10.95586083	10.9059425	9.79519	169.9728833	245.4346167	261.2659917	235.3382625	190.833725	227.8926833
K11353	NDUFA13	NADH dehydrogenase	Complex I	ko00190	OG0006723	292.13975	323.7093333	401.7306667	294.9796667	321.5734167	367.6379583	332.7856667	332.7856667	364.9005833	305.2479583	316.1929583	290.630625	62.3693	43.45115	74.3574375	56.96980417	54.7756875	53.30376667	87.2458625	90.84233333	94.532175	91.68144583	77.0433	69.6983125
K03955	NDUFAB1	NADH dehydrogenase	Complex I	ko00190	OG0005811	140.8270167	153.3745875	183.4130208	117.6407583	141.8301333	159.3634958	225.4203958	279.4560833	279.4560833	225.4203958	202.411975	204.337375	316.1929583	319.7636667	268.2794167	233.7032292	422.5296667	337.481125	224.1638208	261.2659917	305.2479583	252.2087208	244.2002875	268.2794167
K03960	NDUFB4	NADH dehydrogenase	Complex I	ko00190	OG0007867	458.0700417	511.5802917	726.533875	412.4932917	473.6195417	431.8579583	431.8579583	458.0700417	426.3284167	422.5296667	412.4932917	443.6007083	104.6018625	167.3795917	214.1033042	115.0024375	111.3906083	99.002875	264.6917917	189.3715208	154.6009625	173.2061208	207.5852792	237.3272333
K03962	NDUFB6	NADH dehydrogenase	Complex I	ko00190	OG0006158	266.6114167	301.04625	422.5296667	268.2794167	330.4021667	330.4021667	328.4445417	328.4445417	326.1768333	319.7636667	296.9765833	301.04625	32.03524583	37.57764167	45.40119167	25.914475	31.67242083	24.47349167	35.31416667	48.34490833	45.97006667	40.20966667	34.2537625	44.6498375
K03963	NDUFB7	NADH dehydrogenase	Complex I	ko00190	OG0010060	214.9054125	225.4203958	270.0475	191.8436042	199.4356042	221.9526042	264.6917917	224.1638208	225.4203958	240.27705	240.27705	221.9526042	6.88478125	4.224280417	7.428903333	3.634076667	3.15418125	3.276387083	217.2436042	192.8302875	220.5310708	253.9660583	288.3204167	136.5654458
K03965	NDUFB9	NADH dehydrogenase	Complex I	ko00190	OG0004340	262.577875	279.4560833	326.1768333	252.2087208	323.7093333	303.3175417	255.7498083	313.5303333	240.27705	235.3382625	239.1296875	243.17135	33.30637083	34.30166667	38.125	36.14302917	25.48818333	27.153825	361.275625	387.9845	396.76	364.9005833	391.9398333	367.6379583
K03966	NDUFB10	NADH dehydrogenase	Complex I	ko00190	OG0010289	100.4337875	100.7266833	131.1289792	89.7829	115.7433	125.3583375	97.25925417	100.9555417	118.7385375	75.467125	73.81727917	79.19037083	11.8137275	11.96874583	15.78220333	10.39487542	15.17635417	10.46991958	50.50904583	71.88954583	79.8483375	61.22844167	49.61909167	75.99245833
K03968	NDUFC2	NADH dehydrogenase	Complex I	ko00190	OG0006890	350.4766667	376.988125	567.2947917	296.9765833	407.22675	357.3292083	208.828	208.828	271.817125	204.337375	195.24815	190.833725	0.895899958	0.940745708	0.849199583	0.924365833	0.942203333	0.653594417	337.481125	431.8579583	431.8579583	284.5722917	332.7856667	316.1929583
K03934	NDUFS1	NADH dehydrogenase	Complex I	ko00190	OG0009209	80.61531667	80.89232917	89.7829	84.338275	65.53174167	74.01601667	65.00742083	58.23870417	63.20434167	78.56406667	59.868425	69.04603333	60.46115417	45.47345	56.96980417	37.52340417	33.50292083	44.0298625	43.364725	50.14739167	60.16590417	58.37234167	56.66746667	47.21959583
K03935	NDUFS2	NADH dehydrogenase	Complex I	ko00190	OG0005310	129.8722708	122.4781917	179.9156375	150.438125	144.5163958	151.9605	113.1363375	105.3553042	124.9968333	125.3583375	108.1989875	126.3767833	76.6743625	71.88954583	67.33864167	78.37371667	72.44466667	61.7834375	31.94905417	39.05395	35.74487083	52.12020833	9.325085417	24.087075
K03936	NDUFS3	NADH dehydrogenase	Complex I	ko00190	OG0005194	108.1989875	109.3789667	149.8163333	103.3920542	116.1652042	112.8529292	118.7385375	116.4923083	123.6794125	111.3906083	98.72015417	95.80287917	132.7743542	119.8325792	133.6361833	84.993675	89.95064583	93.5663875	55.785475	70.77558333	72.44466667	67.66879583	61.92038333	70.44539583
K03937	NDUFS4	NADH dehydrogenase	Complex I	ko00190	OG0005370	214.1033042	226.465575	257.6254042	209.7807167	264.6917917	262.577875	165.0531583	178.3630292	159.9327542	187.2989167	165.6991917	129.0888792	882.5557917	833.0094583	1162.694208	673.0764167	479.9855	713.6547917	114.2237542	196.2481125	190.833725	116.1652042	113.5493292	173.7935333
K03938	NDUFS5	NADH dehydrogenase	Complex I	ko00190	OG0004086	136.5654458	157.9633792	191.8436042	115.0024375	160.5867417	146.1685167	122.8866	130.5135125	168.9553125	147.5576875	128.5761333	107.5417125	11.17807458	9.195152083	14.55299375	7.13000625	10.21669875	11.20114	57.28507083	85.6681625	98.14771667	69.55388333	57.81877083	85.6681625
