pathway	lambda.min	coef	absCoef	pathway_name	Subcategory	Category	label
ko04214	20.8314195921366	-20.8314195921366	20.8314195921366	Apoptosis - fly 	Cell growth and death	Cellular Processes	ko04214:Apoptosis - fly 
ko04215	11.1619705099342	-11.1619705099342	11.1619705099342	Apoptosis - multiple species 	Cell growth and death	Cellular Processes	ko04215:Apoptosis - multiple species 
ko01210	8.72607360619046	-8.72607360619046	8.72607360619046	2-Oxocarboxylic acid MET.	Global and overview maps	Metabolism	ko01210:2-Oxocarboxylic acid MET.
ko00350	8.38165013767025	-8.38165013767025	8.38165013767025	Tyrosine MET. 	Amino acid metabolism	Metabolism	ko00350:Tyrosine MET. 
ko04137	8.18889514731294	-8.18889514731294	8.18889514731294	Mitophagy - animal 	Transport and catabolism	Cellular Processes	ko04137:Mitophagy - animal 
ko00785	7.27795493998296	-7.27795493998296	7.27795493998296	Lipoic acid MET. 	Metabolism of cofactors and vitamins	Metabolism	ko00785:Lipoic acid MET. 
ko00534	7.11544637375418	-7.11544637375418	7.11544637375418	Heparan sulfate/Heparin SYN.	Glycan biosynthesis and metabolism	Metabolism	ko00534:Heparan sulfate/Heparin SYN.
ko00910	6.31973021183318	-6.31973021183318	6.31973021183318	Nitrogen MET. 	Energy metabolism	Metabolism	ko00910:Nitrogen MET. 
ko03050	4.44830284516089	-4.44830284516089	4.44830284516089	Proteasome 	Folding, sorting and degradation	Genetic Information Processing	ko03050:Proteasome 
ko03266	4.07434796762667	-4.07434796762667	4.07434796762667	Virion - Herpesvirus 	Information processing in viruses	Genetic Information Processing	ko03266:Virion - Herpesvirus 
ko04140	-2.6256660550843	2.6256660550843	2.6256660550843	Autophagy - animal 	Transport and catabolism	Cellular Processes	ko04140:Autophagy - animal 
ko04711	-3.28088695858762	3.28088695858762	3.28088695858762	Circadian rhythm - fly 	Environmental adaptation	Organismal Systems	ko04711:Circadian rhythm - fly 
ko04122	-4.16199865378978	4.16199865378978	4.16199865378978	Sulfur relay system 	Folding, sorting and degradation	Genetic Information Processing	ko04122:Sulfur relay system 
ko00760	-4.16527371804325	4.16527371804325	4.16527371804325	Nicotinate and nicotinamide MET. 	Metabolism of cofactors and vitamins	Metabolism	ko00760:Nicotinate and nicotinamide MET. 
ko04148	-4.2768504365791	4.2768504365791	4.2768504365791	Efferocytosis 	Transport and catabolism	Cellular Processes	ko04148:Efferocytosis 
ko00510	-4.98766868463013	4.98766868463013	4.98766868463013	N-Glycan SYN. 	Glycan biosynthesis and metabolism	Metabolism	ko00510:N-Glycan SYN. 
ko04150	-5.59008578810746	5.59008578810746	5.59008578810746	mTOR SIG. PWY. 	Signal transduction	Environmental Information Processing	ko04150:mTOR SIG. PWY. 
ko00310	-7.25371849890522	7.25371849890522	7.25371849890522	Lysine DEG. 	Amino acid metabolism	Metabolism	ko00310:Lysine DEG. 
ko04070	-10.3726015771166	10.3726015771166	10.3726015771166	Phosphatidylinositol SIG. 	Signal transduction	Environmental Information Processing	ko04070:Phosphatidylinositol SIG. 
ko04136	-21.7575211012266	21.7575211012266	21.7575211012266	Autophagy - other 	Transport and catabolism	Cellular Processes	ko04136:Autophagy - other 
