pathway	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6
ko00052	-0.0975201652085807	0.245242667181509	-9.33401277404732	1.60626256674364e-09	2.73064636346419e-08	11.5595036693079	-7.56373454019005	down	0.278187295731743	0.247463849546955	0.265951970640634	0.259854225101313	0.228961362493647	0.250848803504828	0.285115668654923	0.261381984390662	0.288860531437852	0.272969498926745	0.250758699904227	0.29888138123182	0.198126650243	0.179525220998926	0.187311092035886	0.181479962931018	0.14449743599379	0.141674897447822	0.250319182485978	0.288771497976027	0.291339532619742	0.30080140745874	0.285313127064821	0.247428733535121
ko03013	-0.0458249424718162	0.205035739619607	-5.05664518401143	3.45158167640396e-05	0.000135408204228155	1.445336375897	-3.86835502144797	down	0.228604866690039	0.217242838469221	0.22157451519152	0.232448700088347	0.225992667789872	0.207282570073165	0.235590187898309	0.217119219221798	0.21535189211309	0.235313814013795	0.23461442626899	0.242007958172151	0.1532395896597	0.193268365669831	0.188290760274901	0.152099484352672	0.165504502838402	0.171599493798964	0.217270784987961	0.173849061225662	0.188061960165764	0.199501797933043	0.193303056212638	0.211725237760738
ko03410	-0.0865869999787219	0.0618349588181719	-5.14526622454845	2.75347752339318e-05	0.00011386001650788	1.67184445813531	-3.94362875755872	down	0.106878848889728	0.121239473346326	0.111687400852704	0.110207398954466	0.155067911264255	0.0973431961542808	0.0957511752636078	0.0707951187347138	0.0986596947301194	0.0815933716271556	0.11659879254106	0.0703595658043049	0.004678505088783	-0.000256973869224113	0.0148948096603715	-0.0296531556039324	-0.00443495826992988	-0.00385997400128523	0.0894696124320423	0.0207620007016449	0.0266761279580557	0.0271097612350027	0.000433435951088256	0.102037872190788
ko00730	-0.0856545161342536	0.0136479793141814	-5.89228539099126	4.18279692296664e-06	2.28559974719249e-05	3.5683420979434	-4.64099982066212	down	0.0589579538288947	0.0355302673366555	0.0874678752785662	0.0380756828596308	0.00869285432897727	-0.00442974391354854	0.0326354555385039	-0.0214555816774499	0.0332182694022285	0.0230503051162079	0.0104213499973255	0.0391828845485218	-0.0456436477134485	-0.0770420872775037	-0.0643076010753566	-0.0602590502172685	-0.013624811925591	-0.0426802485098844	0.020242016826422	0.109499479693996	0.0648247188186125	0.0442354801369702	-0.0101800155325554	0.0611396976714484
ko01210	-0.0456862299306943	0.234436696090937	-3.44337665580914	0.00208634366637614	0.00506683461834205	-2.61024644730582	-2.29526327086497	down	0.281402461329113	0.278972384255346	0.316899075821861	0.289594523183237	0.252581784758355	0.272277033611319	0.246880480842085	0.226251742256759	0.233788273258633	0.233698537313455	0.225910969448724	0.233669418855944	0.214045815876564	0.182056183440738	0.198865845161518	0.189195654252048	0.199582209031849	0.21728643409478	0.191288162374056	0.229238150319056	0.22449293360749	0.240858402683743	0.241785346436154	0.205858883969658
ko04122	-0.128935084147869	0.034600560569297	-8.14682678467392	2.03615837838238e-08	2.3964017837885e-07	8.97174587618282	-6.62044036580959	down	0.0476387909417431	0.0755641825591677	0.108790656701083	0.111492838610228	0.0657067557781119	0.0745920155491756	0.0227262166781472	0.0200526252034125	0.0629390812978418	0.0436753865367765	-0.00866006815433384	0.0914909550219872	-0.0952164077713842	-0.0260102768863315	-0.0762229351885952	-0.107628236219443	-0.0436540747552574	-0.0238725844286156	0.0807610335311575	0.0766206262945033	0.0602504498110703	0.115712331278882	0.0534675681876588	0.100196523086143
ko00350	-0.0646703136799524	0.176250511572003	-3.15361318810747	0.00424481138799543	0.00969337525915375	-3.29559276336275	-2.01352497411659	down	0.166283481063631	0.165680105300469	0.160422568964104	0.136803075765388	0.159749134864401	0.183189687213016	0.170101309923023	0.157235526472841	0.189303622331868	0.145185992509184	0.155647338203249	0.150429178413495	0.0941804365799808	0.129755837775254	0.145135036257694	0.152792179241726	0.133526634953623	0.111096533063954	0.227386615757721	0.294290138950132	0.283695231565085	0.229141642442374	0.272395715348176	0.216585254767682
ko00400	-0.254504985959312	0.0802871857765282	-5.70018260288852	6.76269568395204e-06	3.33771754724085e-05	3.08370246148407	-4.47655041806567	down	0.016649335873807	0.0383636350749233	0.0212557368700555	0.0100932004197748	0.0333200946709607	0.177145532636305	0.157841991642915	0.135468968172855	0.212811733843515	0.05797369960259	0.0769065041702312	0.060481544822042	-0.19552358465862	-0.106548297744098	-0.105775234610378	-0.0530799438493404	-0.0856597475997435	-0.116962513695553	0.189890519268878	0.296241664720203	0.234005119876437	0.34554495337911	0.316378766024543	0.210068779725264
ko00190	-0.145948523295612	0.51866757474087	-17.7518587480262	1.89965561424126e-15	9.68824363263043e-14	25.4133907514911	-13.0137549484182	down	0.569722338615533	0.568791140599847	0.579031493286866	0.568638449338412	0.56819095892898	0.568520493926051	0.562815628968111	0.562512686141522	0.563788470993142	0.562812971110112	0.556240599699499	0.561031769127989	0.415083915571499	0.412129040770362	0.427848154342701	0.399708889031402	0.406057010169212	0.394410083729786	0.522017078840784	0.534519762513772	0.542333157416646	0.543425897236579	0.526076434694534	0.532315368727532
ko03010	-0.12819377048279	0.497804430224884	-20.7062216650134	5.58510744949672e-17	8.54521439772998e-15	28.9422528217071	-14.0682770364444	down	0.537088554226193	0.53807766905708	0.554923371364275	0.534164310430561	0.545621613993854	0.542983918674253	0.521899148788296	0.521629354920337	0.528499029622964	0.517305877517669	0.521219727469847	0.513977404497489	0.39498735554038	0.409064409220419	0.412939729647463	0.388489086037528	0.404585342484524	0.399888691246436	0.52673291141041	0.525795992963202	0.53600472815232	0.520231979785108	0.51994230627717	0.531253812069435
