module	lambda.min	coef	absCoef	module_name	中文名	category_C	category_B	label
M00534	2.33083709556602	2.33083709556602	2.33083709556602	Naphthalene degradation, naphthalene => salicylate	萘的降解,萘→水杨酸	Aromatics degradation	Xenobiotics biodegradation	M00534:Naphthalene DEG.
M00637	1.92674000493546	1.92674000493546	1.92674000493546	Anthranilate degradation, anthranilate => catechol	色氨酸的降解,色氨酸→儿茶酚	Aromatics degradation	Xenobiotics biodegradation	M00637:Anthranilate DEG.
M00875	1.84453504502692	1.84453504502692	1.84453504502692	Staphyloferrin B biosynthesis, L-serine => staphyloferrin B	葡萄球菌铁载体B的生物合成,L-丝氨酸→葡萄球菌铁载体B	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	M00875:Staphyloferrin B SYN.
M00548	1.77610268345411	1.77610268345411	1.77610268345411	Benzene degradation, benzene => catechol	苯的降解,苯→儿茶酚	Aromatics degradation	Xenobiotics biodegradation	M00548:Benzene DEG.
M00022	1.76815101118057	1.76815101118057	1.76815101118057	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	酪氨酸途径,磷酸烯醇式丙酮酸+赤藓糖-4P→预苯酸	Aromatic amino acid metabolism	Amino acid metabolism	M00022:Shikimate pathway
M00915	1.62887101793037	1.62887101793037	1.62887101793037	Caffeine degradation, caffeine => xanthine	咖啡因的降解,咖啡因→黄嘌呤	Aromatics degradation	Xenobiotics biodegradation	M00915:Caffeine DEG.
M00638	1.62876965513123	1.62876965513123	1.62876965513123	Salicylate degradation, salicylate => gentisate	水杨酸的降解,水杨酸→邻氨基苯甲酸	Aromatics degradation	Xenobiotics biodegradation	M00638:Salicylate DEG.
M00595	1.53828297073198	1.53828297073198	1.53828297073198	Sulfur oxidation, SOX system, thiosulfate => sulfate	硫氧化,SOX系统,硫代硫酸盐→硫酸盐	Sulfur metabolism	Energy metabolism	M00595:Sulfur oxidation
ko00907	1.46562782221077	1.46562782221077	1.46562782221077	Pinene, camphor and geraniol degradation	松油烯,樟脑和香叶醇的降解	Metabolism of terpenoids and polyketides	Biosynthesis of terpenoids and polyketides	ko00907:Pinene
M00990	1.25933747380594	1.25933747380594	1.25933747380594	Dimethylsulfoniopropionate (DMSP) degradation, demethylation pathway, DMSP => methanethiol	二甲基硫代丙酸(DMSP)的降解,脱甲基途径,DMSP→甲硫醇	Sulfur metabolism	Energy metabolism	M00990:Dimethylsulfoniopropionate (DMSP) DEG.
M00730	-0.252789072454063	-0.252789072454063	0.252789072454063	Cationic antimicrobial peptide (CAMP) resistance, VraFG transporter	阳离子抗菌肽(CAMP)耐药性,VraFG转运蛋白	Drug resistance	Drug resistance	M00730:Cationic antimicrobial peptide (CAMP) RES.
M00609	-0.516284475896346	-0.516284475896346	0.516284475896346	Cysteine biosynthesis, methionine => cysteine	半胱氨酸的生物合成,甲硫氨酸→半胱氨酸	Cysteine and methionine metabolism	Amino acid metabolism	M00609:Cysteine SYN.
M00651	-0.570324223069722	-0.570324223069722	0.570324223069722	Vancomycin resistance, D-Ala-D-Lac type	万古霉素耐药性,D-丙氨酰-D-乳酸型	Drug resistance	Drug resistance	M00651:Vancomycin RES.
M00705	-0.77147259616377	-0.77147259616377	0.77147259616377	Multidrug resistance, efflux pump MepA	多药耐药性,外排泵MepA	Drug resistance	Drug resistance	M00705:Multidrug RES.
M00570	-0.888146131721378	-0.888146131721378	0.888146131721378	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	异亮氨酸的生物合成,苏氨酸→α-酮丁酸→异亮氨酸	Branched-chain amino acid metabolism	Amino acid metabolism	M00570:Isoleucine SYN.
M00636	-0.888281202195238	-0.888281202195238	0.888281202195238	Phthalate degradation, phthalate => protocatechuate	邻苯二甲酸的降解,邻苯二甲酸→原儿茶酸	Aromatics degradation	Xenobiotics biodegradation	M00636:Phthalate DEG.
M00019	-0.991351385420854	-0.991351385420854	0.991351385420854	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	缬氨酸/异亮氨酸的生物合成,丙酮酸→缬氨酸/2-氧戊酸→异亮氨酸	Branched-chain amino acid metabolism	Amino acid metabolism	M00019:Valine/isoleucine SYN.
M00535	-1.42570085818175	-1.42570085818175	1.42570085818175	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	异亮氨酸的生物合成,丙酮酸→α-酮丁酸	Branched-chain amino acid metabolism	Amino acid metabolism	M00535:Isoleucine SYN.
M00119	-1.47209699380242	-1.47209699380242	1.47209699380242	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	泛酸的生物合成,缬氨酸/L-天冬氨酸→泛酸	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	M00119:Pantothenate SYN.
M00432	-1.49493335037905	-1.49493335037905	1.49493335037905	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	缬氨酸的生物合成,α-酮异戊酸→α-酮异己酸	Branched-chain amino acid metabolism	Amino acid metabolism	M00432:Leucine SYN.
