module	lambda.min	coef	absCoef	module_name	中文名	category_C	category_B	label
M00534	2.33083709556602	2.33083709556602	2.33083709556602	Naphthalene degradation, naphthalene => salicylate	萘的降解,萘→水杨酸	Aromatics degradation	Xenobiotics biodegradation	M00534:Naphthalene DEG.
M00637	1.92674000493546	1.92674000493546	1.92674000493546	Anthranilate degradation, anthranilate => catechol	色氨酸的降解,色氨酸→儿茶酚	Aromatics degradation	Xenobiotics biodegradation	M00637:Anthranilate DEG.
M00875	1.84453504502692	1.84453504502692	1.84453504502692	Staphyloferrin B biosynthesis, L-serine => staphyloferrin B	葡萄球菌铁载体B的生物合成,L-丝氨酸→葡萄球菌铁载体B	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	M00875:Staphyloferrin B SYN.
M00548	1.77610268345411	1.77610268345411	1.77610268345411	Benzene degradation, benzene => catechol	苯的降解,苯→儿茶酚	Aromatics degradation	Xenobiotics biodegradation	M00548:Benzene DEG.
M00022	1.76815101118057	1.76815101118057	1.76815101118057	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	酪氨酸途径,磷酸烯醇式丙酮酸+赤藓糖-4P→预苯酸	Aromatic amino acid metabolism	Amino acid metabolism	M00022:Shikimate pathway
M00915	1.62887101793037	1.62887101793037	1.62887101793037	Caffeine degradation, caffeine => xanthine	咖啡因的降解,咖啡因→黄嘌呤	Aromatics degradation	Xenobiotics biodegradation	M00915:Caffeine DEG.
M00638	1.62876965513123	1.62876965513123	1.62876965513123	Salicylate degradation, salicylate => gentisate	水杨酸的降解,水杨酸→邻氨基苯甲酸	Aromatics degradation	Xenobiotics biodegradation	M00638:Salicylate DEG.
M00595	1.53828297073198	1.53828297073198	1.53828297073198	Sulfur oxidation, SOX system, thiosulfate => sulfate	硫氧化,SOX系统,硫代硫酸盐→硫酸盐	Sulfur metabolism	Energy metabolism	M00595:Sulfur oxidation
ko00907	1.46562782221077	1.46562782221077	1.46562782221077	Pinene, camphor and geraniol degradation	松油烯,樟脑和香叶醇的降解	Metabolism of terpenoids and polyketides	Biosynthesis of terpenoids and polyketides	ko00907:Pinene
M00990	1.25933747380594	1.25933747380594	1.25933747380594	Dimethylsulfoniopropionate (DMSP) degradation, demethylation pathway, DMSP => methanethiol	二甲基硫代丙酸(DMSP)的降解,脱甲基途径,DMSP→甲硫醇	Sulfur metabolism	Energy metabolism	M00990:Dimethylsulfoniopropionate (DMSP) DEG.
ko00642	1.19015158039178	1.19015158039178	1.19015158039178	Ethylbenzene degradation	乙苯的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	ko00642:Ethylbenzene DEG.
ko00364	1.11992664521653	1.11992664521653	1.11992664521653	Fluorobenzoate degradation	氟苯甲酸的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	ko00364:Fluorobenzoate DEG.
M00540	1.05796064172351	1.05796064172351	1.05796064172351	Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA	苯甲酸的降解,环己烷羧酸→槁酸辅酶A	Aromatics degradation	Xenobiotics biodegradation	M00540:Benzoate DEG.
M00044	1.01733447749617	1.01733447749617	1.01733447749617	Tyrosine degradation, tyrosine => homogentisate	酪氨酸的降解,酪氨酸→同型尿黑酸	Aromatic amino acid metabolism	Amino acid metabolism	M00044:Tyrosine DEG.
M00416	0.932889314383753	0.932889314383753	0.932889314383753	Cytochrome aa3-600 menaquinol oxidase	细胞色素aa3-600甲萘醌氧化酶	ATP synthesis	Energy metabolism	M00416:Cytochrome aa3-600 menaquinol OXID.
M00918	0.829692829450876	0.829692829450876	0.829692829450876	Aerobactin biosynthesis, lysine => aerobactin	空肠杆菌素的生物合成,赖氨酸→空肠杆菌素	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	M00918:Aerobactin SYN.
M00551	0.81297112032711	0.81297112032711	0.81297112032711	Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol	苯甲酸的降解,苯甲酸→甲基苯甲酸→甲基儿茶酚	Aromatics degradation	Xenobiotics biodegradation	M00551:Benzoate DEG.
M00956	0.75682334405398	0.75682334405398	0.75682334405398	Lysine degradation, bacteria, L-lysine => succinate	赖氨酸的降解,细菌,L-赖氨酸→琥珀酸	Lysine metabolism	Amino acid metabolism	M00956:Lysine DEG.
M00546	0.75101507096716	0.75101507096716	0.75101507096716	Purine degradation, xanthine => urea	嘌呤的降解,黄嘌呤→尿素	Purine metabolism	Nucleotide metabolism	M00546:Purine DEG.
M00649	0.747691693444395	0.747691693444395	0.747691693444395	Multidrug resistance, efflux pump AdeABC	多药耐药性,外排泵AdeABC	Drug resistance	Drug resistance	M00649:Multidrug RES.
M00012	0.742344793239177	0.742344793239177	0.742344793239177	Glyoxylate cycle	甘油酸循环	Other carbohydrate metabolism	Carbohydrate metabolism	M00012:Glyoxylate CYC.
M00545	0.687619384280024	0.687619384280024	0.687619384280024	Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA	反式肉桂酸的降解,反式肉桂酸→乙酰辅酶A	Aromatics degradation	Xenobiotics biodegradation	M00545:Trans-cinnamate DEG.
M00087	0.659059005066601	0.659059005066601	0.659059005066601	beta-Oxidation	β-氧化	Fatty acid metabolism	Lipid metabolism	M00087:beta-Oxidation
M00960	0.658857123940892	0.658857123940892	0.658857123940892	Lysine degradation, bacteria, L-lysine => D-lysine => succinate	赖氨酸的降解,细菌,L-赖氨酸→D-赖氨酸→琥珀酸	Lysine metabolism	Amino acid metabolism	M00960:Lysine DEG.
M00040	0.640988852006955	0.640988852006955	0.640988852006955	Tyrosine biosynthesis, chorismate => arogenate => tyrosine	酪氨酸的生物合成,预苯酸→芳香酸→酪氨酸	Aromatic amino acid metabolism	Amino acid metabolism	M00040:Tyrosine SYN.
M00957	0.614327479543052	0.614327479543052	0.614327479543052	Lysine degradation, bacteria, L-lysine => glutarate => succinate/acetyl-CoA	赖氨酸的降解,细菌,L-赖氨酸→谷氨酸→琥珀酸/乙酰辅酶A	Lysine metabolism	Amino acid metabolism	M00957:Lysine DEG.
M00531	0.573824538852491	0.573824538852491	0.573824538852491	Assimilatory nitrate reduction, nitrate => ammonia	同化硝酸盐还原,硝酸盐→氨	Nitrogen metabolism	Energy metabolism	M00531:Assimilatory nitrate reduction
M00117	0.550997613937046	0.550997613937046	0.550997613937046	Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol	泛醌的生物合成,原核生物,预苯酸(+多异戊二烯-PP)→泛醌	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	M00117:Ubiquinone SYN.
M00533	0.518934452048731	0.518934452048731	0.518934452048731	Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	同型原儿茶酸的降解,同型原儿茶酸→2-氧代庚二烯二酸	Aromatic amino acid metabolism	Amino acid metabolism	M00533:Homoprotocatechuate DEG.
M00939	0.514744867065175	0.514744867065175	0.514744867065175	Pyrimidine degradation, uracil => 3-hydroxypropanoate	嘧啶的降解,尿嘧啶→3-羟基丙酸	Pyrimidine metabolism	Nucleotide metabolism	M00939:Pyrimidine DEG.
M00615	0.507088549140358	0.507088549140358	0.507088549140358	Nitrate assimilation	硝酸盐同化	Metabolic capacity	Metabolic capacity	M00615:Nitrate assimilation
M00879	0.414007318162992	0.414007318162992	0.414007318162992	Arginine succinyltransferase pathway, arginine => glutamate	精氨酸琥珀酸转移酶途径,精氨酸→谷氨酸	Arginine and proline metabolism	Amino acid metabolism	M00879:Arginine succinyltransferase pathway
