group	Tissue	Volume_ul_Weight_mg	BCAA_concentrate
Wild	Hemolymph	1	434.78
Wild	Hemolymph	1	421.39
Wild	Hemolymph	1	400.29
Lab	Hemolymph	1	665.68
Lab	Hemolymph	1	620.89
Lab	Hemolymph	1	565.79
Fam	Hemolymph	1	589.45
Fam	Hemolymph	1	630.89
Fam	Hemolymph	1	720.01
Res	Hemolymph	1	660.02
Res	Hemolymph	1	650.38
Res	Hemolymph	1	620.78
Hos	Hemolymph	1	694.29
Hos	Hemolymph	1	639.58
Hos	Hemolymph	1	699.46
Wild	Fat_Body	112.5	976.89
Wild	Fat_Body	135.7	1056.26
Wild	Fat_Body	147.9	1047.69
Lab	Fat_Body	105.6	1489.76
Lab	Fat_Body	136.3	1790.92
Lab	Fat_Body	121.9	1614.25
Fam	Fat_Body	98.67	1432.72
Fam	Fat_Body	109.2	1640.78
Fam	Fat_Body	121.4	1756.74
Res	Fat_Body	90.56	1100.73
Res	Fat_Body	150.5	1658.74
Res	Fat_Body	107.4	1290.45
Hos	Fat_Body	105.1	1380.63
Hos	Fat_Body	107.3	1495.73
Hos	Fat_Body	109.8	1389.71
