Gene	KO	Symbol	Full_name	ETC	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
Pame_11949.t1	K03945	NDUFA1	NADH dehydrogenase	Complex I	11.21882959	10.96664243	10.61803672	10.42199116	10.38859855	11.00213288	10.79290414	10.4415644	10.49005863	10.49822094	11.42923411	11.19452295	11.18697465	11.12166949	10.87027994	11.51124367	11.33280302	11.17010032	11.3755988	11.1121658	11.36020513	11.01391582	11.3408849	11.17315242	11.5764749	11.47910826	11.32784452	11.68223091	11.79656693	11.40796345	11.29658933	11.66982845	11.67374632	11.17484456	11.54632055	11.26637663	11.24322755	11.79479355	11.64709411	11.67391412	11.53814042	11.91123468	11.77076299	11.78172034	11.85922028	11.26992146	11.55498688	12.41619056	11.79222498	11.93396353
Pame_05308.t1	K03949	NDUFA5	NADH dehydrogenase	Complex I	10.71596199	10.25117467	10.00316651	9.737281149	9.828163465	10.08088413	10.27548436	9.70082115	9.805535916	9.873980794	10.06785111	10.24476816	10.41199816	10.25297286	10.62105367	10.47482133	10.60509981	10.66605531	10.50314994	10.36923745	10.70711751	10.60006157	10.48567839	10.42042345	10.40741649	10.44554256	10.64707162	10.53861576	11.08847025	10.62199689	10.62485028	10.88153462	10.84580365	10.78206449	10.55795186	10.63109519	10.50881487	10.65380346	10.98218076	10.75652297	10.823622	10.88935185	10.91031293	10.81989167	11.06221482	10.57838213	10.64458637	11.15980197	10.72297825	10.80147395
Pame_01014.t1	K03950	NDUFA6	NADH dehydrogenase	Complex I	10.71596199	10.25117467	10.00316651	9.737281149	9.828163465	10.08088413	10.27548436	9.70082115	9.805535916	9.873980794	10.06785111	10.24476816	10.41199816	10.25297286	10.62105367	10.47482133	10.60509981	10.66605531	10.50314994	10.36923745	10.70711751	10.60006157	10.48567839	10.42042345	10.40741649	10.44554256	10.64707162	10.53861576	11.08847025	10.62199689	10.62485028	10.88153462	10.84580365	10.78206449	10.55795186	10.63109519	10.50881487	10.65380346	10.98218076	10.75652297	10.823622	10.88935185	10.91031293	10.81989167	11.06221482	10.57838213	10.64458637	11.15980197	10.72297825	10.80147395
Pame_11144.t1	K03952	NDUFA8	NADH dehydrogenase	Complex I	10.40484353	10.45643656	9.810052621	10.41528755	10.09390608	10.49113157	9.895242023	10.2309571	10.36568816	10.00746183	8.240314329	10.4319363	10.46355503	10.42118121	9.569475902	10.87425137	10.46684121	9.859840686	10.33748811	9.973611276	10.19416587	10.20132755	10.70375653	10.7966967	11.14772644	10.724727	10.46600506	10.82985749	10.55119876	10.57680554	10.63723166	10.85370722	11.05627869	10.1800832	10.98894026	10.3971933	10.47006907	11.26818523	10.93738853	11.03152891	10.80551012	10.93875626	11.00744782	10.92459727	10.90671025	10.43687808	10.83098256	11.54349105	11.2155876	11.23735339
Pame_13870.t1	K03953	NDUFA9	NADH dehydrogenase	Complex I	5.090760296	5.61079749	5.088675892	4.478758296	4.574162073	5.74222993	5.011142257	4.646744458	4.843220099	4.714816987	4.729384183	4.485008127	4.293760389	4.224186945	4.370373554	4.499023077	4.503971987	4.637726158	4.310318306	4.436861425	4.849308762	5.128936729	4.474195899	4.761646966	4.578504028	4.747731113	4.526319258	4.603252457	4.253792659	4.561112252	4.516588832	5.1562793	5.090455449	4.683679613	4.999165701	4.545610121	4.691534165	5.164005841	5.347134114	5.183712786	4.941458488	5.218316207	5.007783047	4.877356535	5.453948809	4.73978331	4.966144336	5.848765638	5.387314285	5.590554116
Pame_06572.t1	K03954	NDUFA10	NADH dehydrogenase	Complex I	9.740608867	9.326436229	8.666717542	8.692911856	8.685435621	9.130431563	9.103683839	8.69131431	8.821885567	8.739301319	10.65871134	10.59034377	10.79609641	10.63674242	10.98696549	10.8976186	10.96197777	10.73641884	10.79683458	10.74914874	11.01871484	10.83132308	10.89214054	10.80013144	10.85274016	10.7964047	10.97638512	10.80521989	11.39238183	10.96210795	10.88543709	11.14061891	11.22004573	10.59436193	10.93169044	10.86361329	10.68149319	11.03247971	11.462083	11.19273049	11.09905188	11.35948054	11.28724487	11.08186287	11.59572369	10.8783805	10.98263713	12.01721207	11.31040261	11.43864633
Pame_08734.t1	K11352	NDUFA12	NADH dehydrogenase	Complex I	7.299656787	7.084904033	6.839720294	6.569384757	6.527225197	6.958842675	7.029552272	6.636962418	6.813973538	6.590455311	6.771634722	6.640409806	6.501690719	6.46224868	6.860739376	6.840639469	6.739659115	7.10137694	6.65649208	6.701368847	6.994919089	6.937532721	6.384937399	6.818646083	6.82279387	6.737389324	6.767416448	6.808140462	6.561280307	6.699995744	6.802916968	7.626336918	7.397332367	6.554986305	7.032144935	6.483627167	6.776577788	7.033731331	7.37659427	7.234271378	6.993764924	7.566594472	7.176791493	7.002601267	7.622930351	6.248690421	6.957009149	7.770419432	7.495087517	7.744531142
Pame_14982.t1	K11353	NDUFA13	NADH dehydrogenase	Complex I	7.299656787	7.084904033	6.839720294	6.569384757	6.527225197	6.958842675	7.029552272	6.636962418	6.813973538	6.590455311	6.771634722	6.640409806	6.501690719	6.46224868	6.860739376	6.840639469	6.739659115	7.10137694	6.65649208	6.701368847	6.994919089	6.937532721	6.384937399	6.818646083	6.82279387	6.737389324	6.767416448	6.808140462	6.561280307	6.699995744	6.802916968	7.626336918	7.397332367	6.554986305	7.032144935	6.483627167	6.776577788	7.033731331	7.37659427	7.234271378	6.993764924	7.566594472	7.176791493	7.002601267	7.622930351	6.248690421	6.957009149	7.770419432	7.495087517	7.744531142
Pame_01997.t3	K03955	NDUFAB1	NADH dehydrogenase	Complex I	10.01167453	10.02404536	9.569834727	10.51901698	10.22937162	10.04492683	9.696525959	10.4523854	10.30214766	10.14405912	8.829656148	9.815858778	9.893010232	9.7794518	9.081350281	10.20644055	9.85695302	9.055965656	9.692148185	9.523516871	9.327379735	9.723927106	10.07993805	9.852966387	10.38046107	10.08561851	9.759398882	10.14801891	9.912202246	9.779648778	9.806502901	9.977480284	10.17592374	9.44143783	9.907734926	9.56200959	9.290058025	10.20190336	9.744808615	10.29672123	9.793361079	9.56517064	9.972965431	9.838819438	9.57886137	9.770663893	9.944401676	10.18904618	9.937968138	10.0685902
Pame_14490.t1	K03960	NDUFB4	NADH dehydrogenase	Complex I	8.167453272	7.990909492	7.724582064	7.745075948	7.601518248	7.918356417	7.868390453	7.746950926	7.793414731	7.748810057	7.966989874	7.48516918	7.365010077	7.613980952	7.345210065	7.752427481	7.615548719	7.8494614	7.602832459	7.742565443	7.94161694	7.822277642	7.783220901	7.927226848	7.919030151	8.021718454	7.843738937	8.133173044	8.286677885	7.767979156	7.827793625	8.736012876	8.405822221	7.846969623	7.988071127	7.410527671	7.55243087	8.439830884	8.539907112	8.470780873	8.109783652	8.423662202	8.619137857	8.398671021	8.687655621	7.930441673	8.156583697	8.780874362	8.502955089	8.632555417
