group	OD450	BCAA_concentrate
ABX20+FMT	2.9679	1757.181572
ABX20+FMT	2.9264	1729.065041
ABX20+FMT	2.9396	1738.00813
ABX20	0.6334	175.5420054
ABX20	0.6254	170.1219512
ABX20	0.6238	169.0379404
ABX50	0.6193	165.9891599
ABX50	0.6267	171.00271
ABX50	0.63	173.2384824
ABX50+BCAAs	3.0034	1781.233062
ABX50+BCAAs	3.0015	1779.945799
ABX50+BCAAs	2.9569	1749.728997
CR	3.077	1831.097561
CR	3.0139	1788.346883
CR	2.942	1739.634146
LY294002	3.0329	1801.219512
LY294002	3.0025	1780.623306
LY294002	3.0251	1795.934959
Rapamycin	2.9887	1771.273713
Rapamycin	2.987	1770.121951
Rapamycin	2.9986	1777.98103
