group	time	rep1	rep2	rep3	rep4	rep5	rep6
ABX50	0	0.0761	0.0921	0.0767	0.0835	0.0853	0.0833
ABX50	10	0.1033	0.101	0.098	0.1001	0.0988	0.1157
ABX50	20	0.1457	0.1527	0.1504	0.1499	0.1508	0.1518
ABX50	30	0.1643	0.1562	0.1693	0.1612	0.1559	0.169
ABX50	40	0.2085	0.2188	0.211	0.2146	0.2173	0.1951
ABX50	50	0.2643	0.2606	0.2518	0.235	0.2637	0.2315
ABX20	0	0.0761	0.0921	0.0767	0.0835	0.0853	0.0833
ABX20	10	0.1033	0.101	0.098	0.1001	0.0988	0.1157
ABX20	20	0.1527	0.1471	0.1498	0.1526	0.1506	0.1491
ABX20	30	0.1764	0.1797	0.1574	0.1719	0.1867	0.1835
ABX20	40	0.2169	0.238	0.219	0.2235	0.2265	0.2221
ABX20	50	0.2454	0.283	0.2738	0.2885	0.2889	0.2765
ABX20+FMT	0	0.0761	0.0921	0.0767	0.0835	0.0853	0.0833
ABX20+FMT	10	0.1033	0.101	0.098	0.1001	0.0988	0.1157
ABX20+FMT	20	0.1502	0.1505	0.1494	0.1471	0.1528	0.1508
ABX20+FMT	30	0.189	0.1942	0.1829	0.2014	0.1848	0.1604
ABX20+FMT	40	0.2314	0.2407	0.2351	0.2542	0.2477	0.2528
ABX20+FMT	50	0.3366	0.321	0.3395	0.3679	0.3443	0.3471
ABX50+BCAAs	0	0.0761	0.0921	0.0767	0.0835	0.0853	0.0833
ABX50+BCAAs	10	0.1033	0.101	0.098	0.1001	0.0988	0.1157
ABX50+BCAAs	20	0.1499	0.1506	0.1504	0.1539	0.1508	0.1489
ABX50+BCAAs	30	0.1967	0.1836	0.1978	0.2045	0.1802	0.1704
ABX50+BCAAs	40	0.2456	0.2298	0.2678	0.2474	0.2588	0.2401
ABX50+BCAAs	50	0.3427	0.3367	0.3689	0.3734	0.3329	0.3291
LY294002	0	0.0761	0.0921	0.0767	0.0835	0.0853	0.0833
LY294002	10	0.1072	0.1106	0.1241	0.1216	0.1083	0.1101
LY294002	20	0.1461	0.1574	0.1507	0.1618	0.1605	0.1661
LY294002	30	0.1732	0.1628	0.1925	0.1958	0.1922	0.1955
LY294002	40	0.2777	0.2955	0.2754	0.2877	0.3036	0.2832
LY294002	50	0.4497	0.4204	0.4147	0.3934	0.3789	0.3851
Rapamycin	0	0.0761	0.0921	0.0767	0.0835	0.0853	0.0833
Rapamycin	10	0.1238	0.1237	0.1261	0.1107	0.1239	0.1294
Rapamycin	20	0.1504	0.1738	0.1786	0.1749	0.176	0.166
Rapamycin	30	0.2662	0.2431	0.2069	0.2344	0.2126	0.2215
Rapamycin	40	0.3253	0.3461	0.328	0.3399	0.3064	0.3023
Rapamycin	50	0.4435	0.5692	0.4825	0.4824	0.4739	0.5035
CR	0	0.0761	0.0921	0.0767	0.0835	0.0853	0.0833
CR	10	0.1202	0.1294	0.1231	0.1215	0.1323	0.1264
CR	20	0.2009	0.1784	0.1802	0.1854	0.2159	0.1646
CR	30	0.2632	0.2536	0.2602	0.2653	0.2686	0.2639
CR	40	0.4038	0.4234	0.4027	0.374	0.4369	0.419
CR	50	0.6047	0.6036	0.5857	0.6493	0.7033	0.7856
