module_ID	module_name	category_C	category_B
M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Central carbohydrate metabolism	Carbohydrate metabolism
M00002	Glycolysis, core module involving three-carbon compounds	Central carbohydrate metabolism	Carbohydrate metabolism
M00003	Gluconeogenesis, oxaloacetate => fructose-6P	Central carbohydrate metabolism	Carbohydrate metabolism
M00004	Pentose phosphate pathway (Pentose phosphate cycle)	Central carbohydrate metabolism	Carbohydrate metabolism
M00005	PRPP biosynthesis, ribose 5P => PRPP	Central carbohydrate metabolism	Carbohydrate metabolism
M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	Central carbohydrate metabolism	Carbohydrate metabolism
M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Central carbohydrate metabolism	Carbohydrate metabolism
M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Central carbohydrate metabolism	Carbohydrate metabolism
M00009	Citrate cycle (TCA cycle, Krebs cycle)	Central carbohydrate metabolism	Carbohydrate metabolism
M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Central carbohydrate metabolism	Carbohydrate metabolism
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Central carbohydrate metabolism	Carbohydrate metabolism
M00012	Glyoxylate cycle	Other carbohydrate metabolism	Carbohydrate metabolism
M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	Other carbohydrate metabolism	Carbohydrate metabolism
M00014	Glucuronate pathway (uronate pathway)	Other carbohydrate metabolism	Carbohydrate metabolism
M00015	Proline biosynthesis, glutamate => proline	Arginine and proline metabolism	Amino acid metabolism
M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	Lysine metabolism	Amino acid metabolism
M00017	Methionine biosynthesis, aspartate => homoserine => methionine	Cysteine and methionine metabolism	Amino acid metabolism
M00018	Threonine biosynthesis, aspartate => homoserine => threonine	Serine and threonine metabolism	Amino acid metabolism
M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	Branched-chain amino acid metabolism	Amino acid metabolism
M00020	Serine biosynthesis, glycerate-3P => serine	Serine and threonine metabolism	Amino acid metabolism
M00021	Cysteine biosynthesis, serine => cysteine	Cysteine and methionine metabolism	Amino acid metabolism
M00022	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	Aromatic amino acid metabolism	Amino acid metabolism
M00023	Tryptophan biosynthesis, chorismate => tryptophan	Aromatic amino acid metabolism	Amino acid metabolism
