bin	GH	GT	CE	CBM
Bger_bac_bin001	92	26	10	14
Bger_bac_bin002	53	31	9	13
Bger_bac_bin003	40	31	6	10
Bger_bac_bin004	43	22	8	10
Bger_bac_bin005	44	25	4	15
Bger_bac_bin006	36	31	7	19
Bger_bac_bin007	109	30	4	10
Bger_bac_bin008	5	7	3	1
Bger_bac_bin009	40	10	3	2
Bger_bac_bin010	79	32	8	9
Bger_bac_bin011	39	12	4	2
Bger_bac_bin012	11	12	3	6
Bger_bac_bin013	32	23	7	11
Bger_bac_bin014	110	45	12	20
Bger_bac_bin015	67	39	9	12
Bger_bac_bin016	65	19	6	15
Bger_bac_bin017	180	25	13	25
Bger_bac_bin018	208	88	17	54
Bger_bac_bin019	199	77	12	52
Bger_bac_bin020	222	41	19	52
Bger_bac_bin021	128	60	12	26
Bger_bac_bin022	103	51	12	23
Bger_bac_bin023	198	72	20	29
Bger_bac_bin024	24	32	11	9
Bger_bac_bin025	70	26	5	12
Bger_bac_bin026	63	28	3	11
Bger_bac_bin027	52	18	8	16
Bger_bac_bin028	26	29	3	8
Bger_bac_bin029	63	32	2	9
Bger_bac_bin030	90	49	6	41
Bger_bac_bin031	95	29	12	16
Bger_bac_bin032	12	12	4	5
Bger_bac_bin033	35	30	5	5
Bger_bac_bin034	28	18	5	6
Bger_bac_bin035	47	27	5	9
Bger_bac_bin036	112	44	5	19
Bger_bac_bin037	131	47	8	22
Bger_bac_bin038	42	40	1	11
Bger_bac_bin039	67	39	4	12
Bger_bac_bin040	7	23	3	2
Bger_bac_bin041	26	20	3	5
Bger_bac_bin042	41	42	9	8
Bger_bac_bin043	53	7	3	14
Bger_bac_bin044	11	24	1	6
Bger_bac_bin045	6	18	2	2
Bger_bac_bin046	19	27	1	6
Bger_bac_bin047	73	90	7	35
Bger_bac_bin048	46	60	5	17
Bger_bac_bin049	123	69	15	44
Bger_bac_bin050	320	83	30	50
Bger_bac_bin051	266	55	25	44
Bger_bac_bin052	184	25	31	35
Bger_bac_bin053	225	66	17	35
Bger_bac_bin054	267	77	35	56
Bger_bac_bin055	132	46	22	23
Bger_bac_bin056	169	48	14	34
Bger_bac_bin057	255	73	16	50
Bger_bac_bin058	212	67	21	39
Bger_bac_bin059	267	77	24	43
Bger_bac_bin060	252	68	17	55
Bger_bac_bin061	318	94	24	60
Bger_bac_bin062	181	34	20	35
Bger_bac_bin063	303	71	34	61
Bger_bac_bin064	175	73	41	40
Bger_bac_bin065	116	68	17	21
Bger_bac_bin066	200	79	17	69
Bger_bac_bin067	167	93	17	48
Bger_bac_bin068	155	51	18	22
Bger_bac_bin069	157	70	16	28
Bger_bac_bin070	115	43	13	15
Bger_bac_bin071	68	41	9	15
Bger_bac_bin072	210	87	29	37
Bger_bac_bin073	255	78	21	64
Bger_bac_bin074	176	72	14	28
Bger_bac_bin075	191	78	24	31
Bger_bac_bin076	149	73	22	32
Bger_bac_bin077	216	86	24	33
Bger_bac_bin078	263	80	29	37
Bger_bac_bin079	200	98	16	36
Bger_bac_bin080	41	78	11	11
Bger_bac_bin081	239	74	26	49
Bger_bac_bin082	44	79	12	13
Bger_bac_bin083	132	71	15	32
Bger_bac_bin084	216	84	26	40
Bger_bac_bin085	64	67	4	18
Bger_bac_bin086	67	46	6	20
Bger_bac_bin087	125	65	14	37
Bger_bac_bin088	37	29	6	7
Bger_bac_bin089	37	68	9	6
Bger_bac_bin090	26	58	3	7
Bger_bac_bin091	33	64	5	10
Bger_bac_bin092	47	25	1	13
Bger_bac_bin093	80	64	9	38
Bger_bac_bin094	133	55	19	24
Bger_bac_bin095	130	78	15	32
Bger_bac_bin096	217	67	31	72
Bger_bac_bin097	28	72	7	11
Bger_bac_bin098	19	46	7	9
Bger_bac_bin099	25	51	5	9
Bger_bac_bin100	97	72	19	33
Bger_bac_bin101	151	50	9	23
Bger_bac_bin102	83	35	14	8
Bger_bac_bin103	110	40	24	19
Bger_bac_bin104	92	38	18	13
Bger_bac_bin105	112	45	24	17
Bger_bac_bin106	127	48	18	22
Bger_bac_bin107	156	42	26	29
Bger_bac_bin108	85	43	24	32
Bger_bac_bin109	122	53	28	15
Bger_bac_bin110	44	27	5	11
Bger_bac_bin111	29	28	1	6
Bger_bac_bin112	58	27	4	7
