BGC	Product	BiG_SCAPE
Bger_bac_bin001	RiPP-like	RiPPs
Bger_bac_bin001	RiPP-like	RiPPs
Bger_bac_bin001	NRPS-like	NRPS
Bger_bac_bin001	terpene	Terpene
Bger_bac_bin002	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin002	ranthipeptide	RiPPs
Bger_bac_bin002	NRPS-like	NRPS
Bger_bac_bin002	RiPP-like	RiPPs
Bger_bac_bin003	ranthipeptide	RiPPs
Bger_bac_bin004	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin004	RiPP-like	RiPPs
Bger_bac_bin004	RRE-containing	RiPPs
Bger_bac_bin005	ranthipeptide	RiPPs
Bger_bac_bin005	RiPP-like	RiPPs
Bger_bac_bin005	terpene	Terpene
Bger_bac_bin006	RiPP-like	RiPPs
Bger_bac_bin006	RRE-containing	RiPPs
Bger_bac_bin006	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin006	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin007	ranthipeptide	RiPPs
Bger_bac_bin007	HR-T2PKS	Others
Bger_bac_bin007	betalactone	Others
Bger_bac_bin009	ranthipeptide	RiPPs
Bger_bac_bin010	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin011	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin012	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin013	ranthipeptide	RiPPs
Bger_bac_bin013	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin013	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin014	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin014	RRE-containing	RiPPs
Bger_bac_bin015	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin015	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin015	RRE-containing	RiPPs
Bger_bac_bin015	ranthipeptide	RiPPs
Bger_bac_bin015	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin016	ranthipeptide	RiPPs
Bger_bac_bin016	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin016	ranthipeptide	RiPPs
Bger_bac_bin016	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin017	ranthipeptide	RiPPs
Bger_bac_bin018	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin018	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin018	sactipeptide	RiPPs
Bger_bac_bin018	cyclic-lactone-autoinducer.ranthipeptide	RiPPs
Bger_bac_bin018	cyclic-lactone-autoinducer.ranthipeptide.transAT-PKS	Others
Bger_bac_bin018	cyclic-lactone-autoinducer	RiPPs
Bger_bac_bin018	butyrolactone.cyclic-lactone-autoinducer	Others
Bger_bac_bin018	NRPS	NRPS
Bger_bac_bin018	cyclic-lactone-autoinducer.RiPP-like	RiPPs
Bger_bac_bin018	transAT-PKS.NRPS.cyclic-lactone-autoinducer.betalactone.NRPS-like	Others
Bger_bac_bin018	transAT-PKS-like.PKS-like	PKSother
Bger_bac_bin018	transAT-PKS-like	PKSother
Bger_bac_bin018	NRPS	NRPS
Bger_bac_bin018	cyclic-lactone-autoinducer.T1PKS.NRPS	Others
Bger_bac_bin018	transAT-PKS-like.NRPS	PKS-NRP_Hybrids
