K	pathway	protein
K23297	ko00010	Pame_00642.t1
K01062	ko00565	Pame_00641.t1
K01062	ko01100	Pame_00641.t1
K04441	ko04013	Pame_01178.t3
K04441	ko04068	Pame_01178.t3
K04441	ko04148	Pame_01178.t3
K04441	ko04620	Pame_01178.t3
K04441	ko04624	Pame_01178.t3
K00472	ko00330	Pame_00631.t1
K00472	ko00330	Pame_00633.t1
K00472	ko00330	Pame_00635.t1
K00472	ko01100	Pame_00631.t1
K00472	ko01100	Pame_00633.t1
K00472	ko01100	Pame_00635.t1
K00472	ko00330	Pame_00631.t1
K00472	ko00330	Pame_00633.t1
K00472	ko00330	Pame_00635.t1
K00472	ko01100	Pame_00631.t1
K00472	ko01100	Pame_00633.t1
K00472	ko01100	Pame_00635.t1
K12349	ko00600	Pame_00629.t1
K12349	ko01100	Pame_00629.t1
K17431	ko03010	Pame_01244.t1
K05052	ko04080	Pame_00617.t1
K05052	ko04080	Pame_00618.t1
K05052	ko04080	Pame_00623.t1
K05052	ko04080	Pame_00624.t1
K05052	ko04080	Pame_00625.t1
K05052	ko04080	Pame_06716.t1
K00714	ko04150	Pame_00613.t1
K00714	ko04150	Pame_00614.t1
K00714	ko04310	Pame_00613.t1
K00714	ko04310	Pame_00614.t1
K00507	ko01040	Pame_00610.t1
K00507	ko01040	Pame_00612.t1
K00507	ko01040	Pame_05351.t1
K00507	ko01040	Pame_05356.t1
K00507	ko01040	Pame_05357.t1
K00507	ko01040	Pame_08200.t1
K00507	ko01040	Pame_11014.t1
K00507	ko01040	Pame_11015.t1
K00507	ko01040	Pame_11016.t1
K00507	ko01040	Pame_12629.t1
K00507	ko01040	Pame_12630.t1
K00507	ko01040	Pame_12631.t1
K00507	ko01040	Pame_14767.t1
K00507	ko01040	Pame_14768.t1
K00507	ko01040	Pame_14769.t2
K00507	ko01100	Pame_00610.t1
K00507	ko01100	Pame_00612.t1
K00507	ko01100	Pame_05351.t1
K00507	ko01100	Pame_05356.t1
K00507	ko01100	Pame_05357.t1
K00507	ko01100	Pame_08200.t1
K00507	ko01100	Pame_11014.t1
K00507	ko01100	Pame_11015.t1
K00507	ko01100	Pame_11016.t1
K00507	ko01100	Pame_12629.t1
K00507	ko01100	Pame_12630.t1
K00507	ko01100	Pame_12631.t1
K00507	ko01100	Pame_14767.t1
K00507	ko01100	Pame_14768.t1
K00507	ko01100	Pame_14769.t2
K00507	ko01212	Pame_00610.t1
K00507	ko01212	Pame_00612.t1
K00507	ko01212	Pame_05351.t1
K00507	ko01212	Pame_05356.t1
K00507	ko01212	Pame_05357.t1
K00507	ko01212	Pame_08200.t1
K00507	ko01212	Pame_11014.t1
K00507	ko01212	Pame_11015.t1
K00507	ko01212	Pame_11016.t1
K00507	ko01212	Pame_12629.t1
K00507	ko01212	Pame_12630.t1
K00507	ko01212	Pame_12631.t1
K00507	ko01212	Pame_14767.t1
K00507	ko01212	Pame_14768.t1
K00507	ko01212	Pame_14769.t2
K08515	ko04130	Pame_00616.t1
K08515	ko04130	Pame_16176.t1
K05038	ko04082	Pame_01052.t1
K05038	ko04082	Pame_06425.t1
K05038	ko04082	Pame_10093.t1
K05038	ko04082	Pame_10610.t1
K05038	ko04082	Pame_10611.t1
K05038	ko04082	Pame_12435.t1
K05038	ko04082	Pame_18121.t1
K05038	ko04082	Pame_18122.t1
K00507	ko01040	Pame_00610.t1
K00507	ko01040	Pame_00612.t1
K00507	ko01040	Pame_05351.t1
K00507	ko01040	Pame_05356.t1
K00507	ko01040	Pame_05357.t1
K00507	ko01040	Pame_08200.t1
K00507	ko01040	Pame_11014.t1
K00507	ko01040	Pame_11015.t1
K00507	ko01040	Pame_11016.t1
K00507	ko01040	Pame_12629.t1
K00507	ko01040	Pame_12630.t1
K00507	ko01040	Pame_12631.t1
K00507	ko01040	Pame_14767.t1
K00507	ko01040	Pame_14768.t1
K00507	ko01040	Pame_14769.t2
K00507	ko01100	Pame_00610.t1
K00507	ko01100	Pame_00612.t1
K00507	ko01100	Pame_05351.t1
K00507	ko01100	Pame_05356.t1
K00507	ko01100	Pame_05357.t1
K00507	ko01100	Pame_08200.t1
K00507	ko01100	Pame_11014.t1
K00507	ko01100	Pame_11015.t1
K00507	ko01100	Pame_11016.t1
K00507	ko01100	Pame_12629.t1
K00507	ko01100	Pame_12630.t1
