protein	KO
OG0003734	K04506
OG0003735	K20165
OG0003736	K20813
OG0003737	K00139
OG0003737	K00135
OG0003738	K04958
OG0003739	K13987
OG0003740	K08175
OG0003742	K08794
OG0003744	K23840
OG0003745	K05750
OG0003746	K14825
OG0003747	K23609
OG0003748	K08766
OG0003749	K03661
OG0003751	K01468
OG0003752	K27488
OG0003753	K20198
OG0003754	K05720
OG0003755	K10394
OG0003756	K20224
OG0003757	K13566
OG0003760	K20100
OG0003761	K00643
OG0003762	K00681
OG0003763	K08134
OG0003765	K01558
OG0003766	K05631
OG0003767	K18465
OG0003768	K01953
OG0003769	K03671
OG0003771	K09258
OG0003772	K08342
OG0003773	K13149
OG0003775	K25703
OG0003776	K16288
OG0003777	K22563
OG0003778	K05700
OG0003782	K11793
OG0003784	K10885
OG0003785	K10643
OG0003789	K05732
OG0003791	K00615
OG0003792	K01900
OG0003793	K10251
OG0003797	K01464
OG0003798	K03386
OG0003800	K14453
OG0003801	K05129
OG0003803	K01309
OG0003805	K13208
OG0003807	K08588
OG0003808	K23491
OG0003809	K17964
OG0003810	K13049
OG0003811	K15027
OG0003812	K05931
OG0003815	K10307
OG0003816	K14453
OG0003817	K14995
OG0003818	K06227
OG0003819	K15122
OG0003820	K20177
OG0003820	K07951
OG0003821	K10592
OG0003823	K00030
OG0003825	K14288
OG0003826	K10271
OG0003828	K11318
OG0003831	K07378
OG0003832	K00700
OG0003834	K08150
OG0003835	K06631
OG0003836	K04443
OG0003837	K05613
OG0003841	K01104
OG0003842	K26935
OG0003843	K03098
OG0003844	K04409
OG0003845	K05636
OG0003847	K02166
OG0003849	K04438
OG0003850	K00036
OG0003851	K03665
OG0003852	K06709
OG0003854	K21772
OG0003855	K10350
OG0003856	K11876
OG0003857	K12389
OG0003860	K18461
OG0003861	K12666
OG0003862	K18024
OG0003863	K08820
OG0003864	K17654
OG0003865	K00252
OG0003866	K24029
OG0003867	K00181
OG0003868	K08832
OG0003869	K17495
OG0003870	K05724
OG0003872	K20360
OG0003873	K09409
OG0003876	K04630
OG0003876	K04534
OG0003877	K15122
OG0003878	K01816
OG0003881	K14327
OG0003881	K10572
OG0003882	K07198
OG0003883	K18466
OG0003884	K14864
OG0003887	K20791
OG0003888	K17923
OG0003889	K04892
OG0003890	K20405
OG0003891	K01137
OG0003893	K03037
OG0003894	K16747
OG0003895	K15279
OG0003896	K01017
OG0003898	K09525
OG0003899	K00471
OG0003900	K10848
OG0003902	K12481
OG0003905	K26678
OG0003906	K04851
OG0003908	K06867
OG0003909	K17277
OG0003911	K13199
OG0003912	K00488
OG0003913	K27962
OG0003914	K24963
OG0003916	K06685
OG0003917	K13963
OG0003918	K09699
OG0003919	K08764
OG0003920	K16536
OG0003921	K17336
OG0003926	K13101
OG0003928	K16344
OG0003931	K15687
OG0003932	K24350
OG0003933	K09228
OG0003934	K11980
OG0003937	K04593
OG0003938	K24335
OG0003939	K00289
OG0003940	K22649
OG0003942	K01768
OG0003944	K01855
OG0003947	K24634
OG0003948	K18086
OG0003949	K09455
OG0003950	K05675
OG0003952	K12495
OG0003953	K11852
OG0003954	K27567
OG0003955	K04669
OG0003956	K00720
OG0003957	K13358
OG0003958	K07555
OG0003959	K24786
OG0003960	K19599
OG0003961	K01251
OG0003962	K00944
OG0003962	K00939
OG0003963	K12396
OG0003964	K03259
OG0003965	K07297
OG0003966	K09828
OG0003968	K21437
OG0003969	K14462
OG0003972	K03662
OG0003973	K04608
OG0003975	K15707
OG0003977	K20705
OG0003979	K08145
OG0003980	K00488
OG0003983	K15309
OG0003985	K07369
OG0003986	K07295
OG0003987	K18437
OG0003988	K23972
OG0003991	K04919
OG0003992	K14462
OG0003993	K24812
OG0003994	K22870
OG0003995	K10275
OG0003996	K25186
OG0003998	K09414
OG0004001	K14944
OG0004002	K01800
OG0004002	K00799
OG0004006	K01934
OG0004007	K10349
OG0004008	K01868
OG0004009	K12600
OG0004010	K26545
OG0004011	K02207
OG0004012	K27320
OG0004013	K01639
OG0004014	K18745
OG0004015	K26403
OG0004016	K03768
OG0004017	K17711
OG0004019	K15127
OG0004023	K12590
OG0004024	K08424
OG0004025	K19946
OG0004027	K13511
OG0004028	K17543
OG0004029	K15365
OG0004030	K20476
OG0004032	K10144
OG0004033	K19489
OG0004034	K20465
OG0004035	K14000
OG0004036	K02975
OG0004037	K03650
OG0004038	K02920
OG0004039	K10261
OG0004040	K12479
OG0004041	K17776
OG0004042	K00510
OG0004044	K20478
OG0004046	K10135
OG0004048	K04904
OG0004049	K20352
OG0004051	K08744
OG0004051	K21631
OG0004052	K18159
OG0004053	K12185
OG0004054	K22075
OG0004055	K01939
OG0004056	K04453
OG0004057	K20477
OG0004058	K07151
OG0004059	K15433
OG0004060	K00974
OG0004061	K16487
OG0004062	K06928
OG0004063	K04460
OG0004064	K10886
OG0004065	K09031
OG0004066	K25218
OG0004068	K10610
OG0004069	K00621
OG0004070	K01082
OG0004072	K06699
OG0004074	K06095
OG0004075	K22900
OG0004077	K12475
OG0004078	K07508
OG0004079	K19502
OG0004079	K19327
OG0004080	K19348
OG0004083	K09533
OG0004084	K25102
OG0004086	K03938
OG0004087	K19383
OG0004090	K14403
OG0004091	K23398
OG0004093	K14299
OG0004095	K10093
OG0004096	K06483
OG0004097	K11800
OG0004098	K24778
OG0004099	K20304
OG0004100	K13114
OG0004101	K12362
OG0004102	K03027
OG0004103	K11827
OG0004104	K13295
OG0004105	K00019
OG0004107	K14006
OG0004108	K17610
OG0004109	K11584
OG0004110	K16686
OG0004113	K11660
OG0004114	K06064
OG0004115	K13025
OG0004115	K03257
OG0004116	K12829
OG0004117	K18188
OG0004120	K00939
OG0004125	K02988
OG0004126	K12619
OG0004127	K00962
OG0004128	K22804
OG0004129	K24104
OG0004130	K06847
OG0004131	K05607
OG0004132	K09404
OG0004133	K17908
OG0004134	K01802
OG0004135	K14015
OG0004136	K22762
OG0004137	K01904
OG0004139	K22696
OG0004140	K22816
OG0004141	K17414
OG0004142	K02948
OG0004143	K11367
