BGC	Accession	Description	Product	BiG_SCAPE	Organism	Taxonomy
Bger_bac_bin001~Bger_metagenome_contig_003830.region001	Bger_metagenome_contig_003830	Bger_metagenome_contig_003830	RiPP-like	RiPPs		
Bger_bac_bin001~Bger_metagenome_contig_003830.region002	Bger_metagenome_contig_003830	Bger_metagenome_contig_003830	RiPP-like	RiPPs		
Bger_bac_bin001~Bger_metagenome_contig_004697.region001	Bger_metagenome_contig_004697	Bger_metagenome_contig_004697	NRPS-like	NRPS		
Bger_bac_bin001~Bger_metagenome_contig_012838.region001	Bger_metagenome_contig_012838	Bger_metagenome_contig_012838	terpene	Terpene		
Bger_bac_bin002~Bger_metagenome_contig_000662.region001	Bger_metagenome_contig_000662	Bger_metagenome_contig_000662	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin002~Bger_metagenome_contig_000662.region002	Bger_metagenome_contig_000662	Bger_metagenome_contig_000662	ranthipeptide	RiPPs		
Bger_bac_bin002~Bger_metagenome_contig_002077.region001	Bger_metagenome_contig_002077	Bger_metagenome_contig_002077	NRPS-like	NRPS		
Bger_bac_bin002~Bger_metagenome_contig_003718.region001	Bger_metagenome_contig_003718	Bger_metagenome_contig_003718	RiPP-like	RiPPs		
Bger_bac_bin003~Bger_metagenome_contig_003385.region001	Bger_metagenome_contig_003385	Bger_metagenome_contig_003385	ranthipeptide	RiPPs		
Bger_bac_bin004~Bger_metagenome_contig_000478.region001	Bger_metagenome_contig_000478	Bger_metagenome_contig_000478	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin004~Bger_metagenome_contig_000688.region001	Bger_metagenome_contig_000688	Bger_metagenome_contig_000688	RiPP-like	RiPPs		
Bger_bac_bin004~Bger_metagenome_contig_001474.region001	Bger_metagenome_contig_001474	Bger_metagenome_contig_001474	RRE-containing	RiPPs		
Bger_bac_bin005~Bger_metagenome_contig_000291.region001	Bger_metagenome_contig_000291	Bger_metagenome_contig_000291	ranthipeptide	RiPPs		
Bger_bac_bin005~Bger_metagenome_contig_000666.region001	Bger_metagenome_contig_000666	Bger_metagenome_contig_000666	RiPP-like	RiPPs		
Bger_bac_bin005~Bger_metagenome_contig_015307.region001	Bger_metagenome_contig_015307	Bger_metagenome_contig_015307	terpene	Terpene		
Bger_bac_bin006~Bger_metagenome_contig_000040.region001	Bger_metagenome_contig_000040	Bger_metagenome_contig_000040	RiPP-like	RiPPs		
Bger_bac_bin006~Bger_metagenome_contig_000040.region002	Bger_metagenome_contig_000040	Bger_metagenome_contig_000040	RRE-containing	RiPPs		
Bger_bac_bin006~Bger_metagenome_contig_000040.region003	Bger_metagenome_contig_000040	Bger_metagenome_contig_000040	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin006~Bger_metagenome_contig_000682.region001	Bger_metagenome_contig_000682	Bger_metagenome_contig_000682	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin007~Bger_metagenome_contig_000157.region001	Bger_metagenome_contig_000157	Bger_metagenome_contig_000157	ranthipeptide	RiPPs		
Bger_bac_bin007~Bger_metagenome_contig_000318.region001	Bger_metagenome_contig_000318	Bger_metagenome_contig_000318	HR-T2PKS	Others		
Bger_bac_bin007~Bger_metagenome_contig_002535.region001	Bger_metagenome_contig_002535	Bger_metagenome_contig_002535	betalactone	Others		
Bger_bac_bin009~Bger_metagenome_contig_006406.region001	Bger_metagenome_contig_006406	Bger_metagenome_contig_006406	ranthipeptide	RiPPs		
Bger_bac_bin010~Bger_metagenome_contig_000968.region001	Bger_metagenome_contig_000968	Bger_metagenome_contig_000968	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin011~Bger_metagenome_contig_000352.region001	Bger_metagenome_contig_000352	Bger_metagenome_contig_000352	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin012~Bger_metagenome_contig_006085.region001	Bger_metagenome_contig_006085	Bger_metagenome_contig_006085	cyclic-lactone-autoinducer	RiPPs		
Bger_bac_bin013~Bger_metagenome_contig_001858.region001	Bger_metagenome_contig_001858	Bger_metagenome_contig_001858	ranthipeptide	RiPPs		
Bger_bac_bin013~Bger_metagenome_contig_008792.region001	Bger_metagenome_contig_008792	Bger_metagenome_contig_008792	cyclic-lactone-autoinducer	RiPPs		
