OG	Pame	Pful	Esin	Bger	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6
OG0003734	Pame_03030.t1	Pful_9786.t1	Esin_00821-PA	Bger_00015.t1	0.627167	1.19256	0.980615	1.11475	0.907841	1.21706	8.02064	9.10845	8.37481	11.1367	6.64032	7.57262	24.0436	35.2747	11.0798	16.6864	35.3354	31.0201	0.492195	1.47374	0.934923	0.773204	0.758349	0.302051
OG0003735	Pame_03590.t1	Pful_15951.t1	Esin_00008-PA	Bger_00021.t1	6.90891	7.8186	7.14371	8.11423	6.41533	6.40333	3.75952	5.13138	3.45889	4.91064	6.27146	3.14962	3.16571	2.41794	1.25975	2.21776	2.57617	3.06243	1.46765	5.92633	1.82805	0.856461	1.65313	0.508403
OG0003736	Pame_03284.t1	Pful_12667.t1	Esin_00014-PA	Bger_00033.t1	0.753674	0.651136	0.442434	0.682553	0.856043	0.929432	2.1409	2.69348	2.16938	2.44374	2.42307	1.81172	3.51218	2.22763	1.32783	2.00863	3.31445	3.42563	0.802096	0.995503	0.495109	0.563686	0.956601	0.537905
OG0003737	Pame_03703.t1	Pful_4034.t1	Esin_00016-PA	Bger_00037.t1	10.4026	13.8288	11.3121	11.3753	6.28177	7.95226	40.5488	35.8909	44.5101	52.9274	26.4497	39.5955	15.6623	11.5538	7.43238	10.5605	12.0113	15.091	22.6549	27.6434	36.4533	35.7611	33.7268	20.5932
OG0003738	Pame_03702.t4	Pful_4021.t1	Esin_00019-PA	Bger_00038.t1	0.592795	0.746397	0.526634	0.587958	0.443895	0.346641	0.761555	0.850638	0.50334	0.885713	0.762585	0.425259	1.21829	0.820013	0.441644	0.732967	0.99423	1.73454	0.442975	0.430663	0.479113	0.591517	0.696247	0.167235
OG0003739	Pame_03135.t1	Pful_12635.t1	Esin_00023-PA	Bger_00039.t2	20.6533	47.9478	43.764	17.7262	33.7309	45.3972	190.891	87.3594	117.217	30.3077	144.509	74.2431	7.5621	2.60627	1.33003	7.12559	7.90086	4.63572	21.4804	21.1182	52.5046	12.6597	18.8341	22.4699
OG0003740	Pame_03133.t1	Pful_12633.t1	Esin_00025-PA	Bger_00047.t1	15.1455	14.1067	8.41821	12.5356	12.2856	8.86461	13.4373	18.295	13.2397	16.0944	16.3843	13.7016	10.674	8.83189	4.63792	8.65979	9.73067	12.4767	10.4576	11.7029	9.70298	12.2989	10.7528	11.1681
OG0003741	Pame_03029.t1	Pful_9787.t2	Esin_00823-PA	Bger_00049.t1	28.8143	27.3499	16.7816	28.4158	15.881	19.2888	22.3083	27.3539	24.4167	28.2741	20.1319	17.41	0	0	0	0	0	0	42.7051	44.2136	53.1165	46.5697	81.7403	28.2121
OG0003742	Pame_03023.t1	Pful_9791.t2	Esin_00826-PA	Bger_00051.t3	7.79189	9.76234	5.48028	9.39315	9.00032	8.7577	8.49572	9.42283	4.91911	8.53231	7.53509	5.57694	29.0115	29.1237	18.5013	26.6973	21.0535	35.8849	1.00087	2.53508	1.67325	2.24401	3.71082	1.10847
OG0003743	Pame_03019.t1	Pful_9794.t1	Esin_00847-PA	Bger_00057.t1	0.841724	2.26174	1.43098	1.56185	1.08203	1.68219	0.808448	5.24167	0.858022	1.99732	1.47634	0.691771	6.98862	4.47668	3.32271	5.53744	9.33328	7.5417	10.5221	7.03519	9.92065	9.09394	7.23041	5.508
OG0003744	Pame_03280.t1	Pful_12647.t2	Esin_00035-PA	Bger_00060.t2	3.31616	6.20594	8.18769	2.51653	6.15082	5.45332	15.3215	11.2707	13.4892	20.1878	29.7513	11.0289	10.8812	10.0171	6.27502	9.4223	6.97312	8.54015	59.1309	46.4776	69.3255	41.0781	47.4468	27.4333
OG0003745	Pame_03471.t1	Pful_19804.t1	Esin_01311-PA	Bger_00067.t1	0.254288	0.290528	0.080598	0.166553	0.239778	0.142804	0.416994	0.331832	0.136347	0.250124	0.490072	0.197338	10.5059	10.4052	6.18882	9.62394	8.50366	12.1405	1.57582	2.97104	1.44958	2.6139	3.65932	1.3886
