protein	KO	pathway
OG0003734	K04506	ko04013
OG0003734	K04506	ko04115
OG0003734	K04506	ko04120
OG0003734	K04506	ko04137
OG0003734	K04506	ko04310
OG0003736	K20813	ko03410
OG0003737	K00139	ko00250
OG0003737	K00139	ko00650
OG0003737	K00139	ko01100
OG0003737	K00139	ko01120
OG0003737	K00135	ko00250
OG0003737	K00135	ko00310
OG0003737	K00135	ko00350
OG0003737	K00135	ko00650
OG0003737	K00135	ko00760
OG0003737	K00135	ko01100
OG0003737	K00135	ko01120
OG0003738	K04958	ko04020
OG0003738	K04958	ko04022
OG0003738	K04958	ko04070
OG0003738	K04958	ko04114
OG0003738	K04958	ko04140
OG0003738	K04958	ko04210
OG0003738	K04958	ko04218
OG0003738	K04958	ko04270
OG0003738	K04958	ko04371
OG0003738	K04958	ko04380
OG0003738	K04958	ko04540
OG0003738	K04958	ko04611
OG0003738	K04958	ko04621
OG0003738	K04958	ko04625
OG0003738	K04958	ko04713
OG0003738	K04958	ko04720
OG0003738	K04958	ko04723
OG0003738	K04958	ko04724
OG0003738	K04958	ko04725
OG0003738	K04958	ko04726
OG0003738	K04958	ko04728
OG0003738	K04958	ko04730
OG0003738	K04958	ko04745
OG0003738	K04958	ko04750
OG0003738	K04958	ko04912
OG0003738	K04958	ko04915
OG0003738	K04958	ko04918
OG0003738	K04958	ko04921
OG0003738	K04958	ko04922
OG0003738	K04958	ko04924
OG0003738	K04958	ko04925
OG0003738	K04958	ko04927
OG0003738	K04958	ko04928
OG0003738	K04958	ko04929
OG0003738	K04958	ko04934
OG0003738	K04958	ko04935
OG0003738	K04958	ko04970
OG0003738	K04958	ko04971
OG0003738	K04958	ko04972
OG0003738	K04958	ko05010
OG0003738	K04958	ko05012
OG0003738	K04958	ko05016
OG0003738	K04958	ko05017
OG0003738	K04958	ko05020
OG0003738	K04958	ko05022
OG0003738	K04958	ko05131
OG0003738	K04958	ko05163
OG0003738	K04958	ko05167
OG0003738	K04958	ko05170
OG0003738	K04958	ko05205
OG0003738	K04958	ko05417
OG0003739	K13987	ko00230
OG0003739	K13987	ko01100
OG0003742	K08794	ko04020
OG0003742	K08794	ko04921
OG0003742	K08794	ko04925
OG0003742	K08794	ko05214
OG0003744	K23840	ko00514
OG0003745	K05750	ko04810
OG0003745	K05750	ko05130
OG0003745	K05750	ko05132
OG0003747	K23609	ko04140
OG0003747	K23609	ko05014
OG0003747	K23609	ko05022
OG0003748	K08766	ko00071
OG0003748	K08766	ko01212
OG0003748	K08766	ko03320
OG0003748	K08766	ko04714
OG0003748	K08766	ko05415
OG0003749	K03661	ko00190
OG0003749	K03661	ko01100
OG0003749	K03661	ko04142
OG0003749	K03661	ko04145
OG0003749	K03661	ko04721
OG0003749	K03661	ko05110
OG0003749	K03661	ko05120
OG0003749	K03661	ko05152
OG0003749	K03661	ko05165
OG0003749	K03661	ko05323
OG0003751	K01468	ko00340
OG0003751	K01468	ko01100
OG0003752	K27488	ko04820
OG0003753	K20198	ko04814
OG0003754	K05720	ko04810
OG0003755	K10394	ko04340
OG0003755	K10394	ko04814
OG0003756	K20224	ko03013
OG0003757	K13566	ko00250
OG0003757	K13566	ko01100
OG0003761	K00643	ko00260
OG0003761	K00643	ko00860
OG0003761	K00643	ko01100
OG0003761	K00643	ko01110
OG0003761	K00643	ko01240
OG0003762	K00681	ko00430
OG0003762	K00681	ko00460
OG0003762	K00681	ko00480
OG0003762	K00681	ko01100
OG0003765	K01558	ko04150
OG0003765	K01558	ko04310
OG0003765	K01558	ko04390
OG0003765	K01558	ko04550
OG0003765	K01558	ko04916
OG0003765	K01558	ko04934
OG0003765	K01558	ko05010
OG0003765	K01558	ko05022
OG0003765	K01558	ko05165
OG0003765	K01558	ko05200
OG0003765	K01558	ko05202
OG0003765	K01558	ko05205
OG0003765	K01558	ko05217
OG0003765	K01558	ko05224
OG0003765	K01558	ko05225
OG0003765	K01558	ko05226
OG0003766	K05631	ko04015
OG0003766	K05631	ko04151
OG0003766	K05631	ko04530
OG0003766	K05631	ko05165
OG0003767	K18465	ko04144
OG0003768	K01953	ko00250
OG0003768	K01953	ko01100
OG0003768	K01953	ko01110
OG0003768	K01953	ko01230
OG0003769	K03671	ko04621
OG0003769	K03671	ko05012
OG0003769	K03671	ko05132
OG0003769	K03671	ko05418
OG0003771	K09258	ko04625
OG0003771	K09258	ko04668
OG0003772	K08342	ko04136
OG0003772	K08342	ko04138
OG0003772	K08342	ko04140
OG0003778	K05700	ko04510
OG0003778	K05700	ko04520
OG0003778	K05700	ko04670
OG0003778	K05700	ko04810
OG0003778	K05700	ko04820
OG0003778	K05700	ko05100
OG0003778	K05700	ko05131
OG0003778	K05700	ko05146
OG0003784	K10885	ko03450
OG0003785	K10643	ko03018
OG0003789	K05732	ko04510
OG0003789	K05732	ko04611
OG0003789	K05732	ko04670
OG0003789	K05732	ko04810
OG0003791	K00615	ko00030
OG0003791	K00615	ko00710
OG0003791	K00615	ko01051
OG0003791	K00615	ko01100
OG0003791	K00615	ko01110
OG0003791	K00615	ko01120
OG0003791	K00615	ko01200
OG0003791	K00615	ko01230
OG0003792	K01900	ko00020
OG0003792	K01900	ko00640
OG0003792	K01900	ko01100
OG0003792	K01900	ko01110
OG0003792	K01900	ko01120
OG0003792	K01900	ko01200
OG0003793	K10251	ko00062
OG0003793	K10251	ko00140
OG0003793	K10251	ko01040
OG0003793	K10251	ko01100
OG0003793	K10251	ko01110
OG0003793	K10251	ko01212
OG0003797	K01464	ko00240
OG0003797	K01464	ko00410
OG0003797	K01464	ko00770
OG0003797	K01464	ko00983
OG0003797	K01464	ko01100
OG0003798	K03386	ko04214
OG0003807	K08588	ko03083
OG0003808	K23491	ko04310
OG0003812	K05931	ko01522
OG0003817	K14995	ko04150
OG0003818	K06227	ko04341
OG0003820	K20177	ko04138
OG0003820	K20177	ko04148
OG0003821	K10592	ko04120
OG0003821	K10592	ko04137
OG0003823	K00030	ko00020
OG0003823	K00030	ko01100
OG0003823	K00030	ko01110
OG0003823	K00030	ko01120
OG0003823	K00030	ko01200
OG0003823	K00030	ko01210
OG0003823	K00030	ko01230
OG0003825	K14288	ko03013
OG0003831	K07378	ko04514
OG0003832	K00700	ko00500
OG0003832	K00700	ko01100
OG0003832	K00700	ko01110
OG0003835	K06631	ko04068
OG0003835	K06631	ko04110
OG0003835	K06631	ko04114
OG0003835	K06631	ko04914
OG0003836	K04443	ko04010
OG0003836	K04443	ko04148
OG0003836	K04443	ko04218
OG0003836	K04443	ko04361
OG0003836	K04443	ko04370
OG0003836	K04443	ko04625
OG0003836	K04443	ko04722
OG0003836	K04443	ko05167
OG0003836	K04443	ko05203
OG0003837	K05613	ko04721
OG0003837	K05613	ko04724
OG0003837	K05613	ko05014
OG0003837	K05613	ko05016
OG0003842	K26935	ko04148
OG0003844	K04409	ko04010
OG0003844	K04409	ko04011
OG0003844	K04409	ko04012
OG0003844	K04409	ko04014
OG0003844	K04409	ko04024
OG0003844	K04409	ko04062
OG0003844	K04409	ko04360
OG0003844	K04409	ko04392
OG0003844	K04409	ko04510
OG0003844	K04409	ko04625
OG0003844	K04409	ko04650
OG0003844	K04409	ko04660
OG0003844	K04409	ko04666
OG0003844	K04409	ko04810
OG0003844	K04409	ko05120
OG0003844	K04409	ko05130
OG0003844	K04409	ko05132
OG0003844	K04409	ko05170
OG0003844	K04409	ko05205
OG0003844	K04409	ko05211
OG0003845	K05636	ko04151
OG0003845	K05636	ko04510
OG0003845	K05636	ko04512
OG0003845	K05636	ko05145
OG0003845	K05636	ko05146
OG0003845	K05636	ko05165
