Genome	Aliphatic_amine	npAA	Aromatic	SCFA	SCFA-other	Other	E-MGC	Putative
Esin_bac_bin265	0	0	0	3	0	0	2	2
Pful_bac_bin380	1	0	0	0	0	1	0	0
Pful_bac_bin060	2	0	0	1	1	1	0	1
Pame_bac_bin019	0	0	0	0	0	0	0	1
Bger_bac_bin217	0	0	0	0	0	0	0	0
Esin_bac_bin340	0	0	0	1	0	0	0	2
Pful_bac_bin386	2	0	0	1	0	0	0	1
Esin_bac_bin061	0	0	0	1	0	0	0	0
Esin_bac_bin281	0	0	0	4	0	0	2	2
Pame_bac_bin120	1	0	0	0	0	0	0	1
Pful_bac_bin248	0	0	0	4	0	0	1	1
Pful_bac_bin160	0	0	0	0	0	0	0	0
Esin_bac_bin312	0	0	0	5	0	0	0	1
Pame_bac_bin008	0	0	0	0	0	1	6	2
Bger_bac_bin203	0	0	0	0	0	0	1	2
Bger_bac_bin071	0	0	0	0	0	0	1	2
Pame_bac_bin002	0	0	0	2	0	1	1	3
Pame_bac_bin322	1	0	0	2	0	0	1	2
Pful_bac_bin270	0	0	0	1	0	0	1	1
Pame_bac_bin119	2	0	0	0	0	0	0	1
Esin_bac_bin154	1	0	0	0	0	0	1	3
Pame_bac_bin087	0	0	0	1	2	0	1	2
Esin_bac_bin089	1	0	0	0	0	0	1	0
Pame_bac_bin152	0	0	0	1	0	1	1	1
Esin_bac_bin229	0	0	0	1	0	0	0	0
Pful_bac_bin010	0	0	0	2	0	1	1	3
Pful_bac_bin478	1	0	0	1	1	0	1	0
Esin_bac_bin444	1	0	0	1	0	0	1	1
Bger_bac_bin140	0	0	0	4	0	0	1	2
Pful_bac_bin199	0	0	0	3	0	0	1	1
Pful_bac_bin219	0	0	0	1	0	0	0	2
Esin_bac_bin129	0	0	0	0	0	0	0	2
Pame_bac_bin327	0	0	0	5	0	0	3	3
Bger_bac_bin144	0	0	0	4	0	0	1	5
Pame_bac_bin235	0	0	0	2	0	0	1	1
Esin_bac_bin095	0	0	0	1	0	0	1	2
Pame_bac_bin135	2	0	0	2	0	1	0	3
Pful_bac_bin300	0	0	0	2	0	0	0	1
Esin_bac_bin331	0	0	0	3	0	0	1	3
Esin_bac_bin044	0	0	0	3	0	1	1	2
Pame_bac_bin016	0	0	1	2	0	1	0	2
Esin_bac_bin171	0	0	0	2	0	1	0	2
Pful_bac_bin374	1	0	0	1	0	0	1	0
Bger_bac_bin131	1	0	0	5	0	0	1	2
Pame_bac_bin208	1	0	0	2	0	0	1	0
Esin_bac_bin013	0	0	0	1	0	1	0	2
Pame_bac_bin127	0	0	0	2	0	1	1	3
Pful_bac_bin477	1	0	0	3	0	1	2	4
Bger_bac_bin047	0	0	0	5	0	0	1	1
Esin_bac_bin115	0	0	0	1	0	0	1	1
Pame_bac_bin059	0	0	0	1	0	0	1	1
Esin_bac_bin028	0	0	0	3	0	0	1	0
Bger_bac_bin208	0	0	0	0	0	0	0	1
Esin_bac_bin360	0	0	0	3	0	0	0	2
Esin_bac_bin048	0	0	0	3	0	0	1	2
Esin_bac_bin269	0	0	0	3	0	0	2	2
Bger_bac_bin035	0	0	0	1	0	0	0	4
Pame_bac_bin159	0	0	0	1	0	0	0	0
Esin_bac_bin032	0	0	0	1	0	0	1	2
Esin_bac_bin372	0	0	0	0	0	0	0	0
Pful_bac_bin311	1	0	0	3	0	1	1	1
Esin_bac_bin350	0	0	0	6	0	0	1	1
Esin_bac_bin321	1	0	0	1	0	0	0	0
Pful_bac_bin447	0	0	0	1	0	1	1	1
