gene	KO
Pame_00005.t1	K13443
Pame_00009.t1	K09427
Pame_00010.t2	K06091
Pame_00012.t2	K22371
Pame_00013.t1	K17554
Pame_00014.t1	K00913
Pame_00017.t1	K01312
Pame_00018.t1	K24133
Pame_00019.t1	K03424
Pame_00020.t1	K06693
Pame_00021.t1	K00011
Pame_00021.t1	K00002
Pame_00022.t1	K00002
Pame_00023.t1	K02970
Pame_00024.t1	K14360
Pame_00025.t1	K02727
Pame_00029.t1	K06867
Pame_00036.t1	K14530
Pame_00037.t1	K00699
Pame_00045.t1	K18188
Pame_00048.t1	K14530
Pame_00049.t1	K19539
Pame_00050.t1	K20777
Pame_00052.t1	K08098
Pame_00054.t1	K16678
Pame_00055.t1	K05475
Pame_00058.t1	K00710
Pame_00063.t1	K08145
Pame_00064.t1	K08145
Pame_00070.t1	K00846
Pame_00071.t1	K10408
Pame_00072.t1	K10408
Pame_00087.t1	K06867
Pame_00088.t1	K06867
Pame_00089.t1	K06867
Pame_00090.t1	K06867
Pame_00096.t1	K06721
Pame_00111.t1	K15502
Pame_00111.t1	K10336
Pame_00111.t1	K16726
Pame_00111.t1	K02580
Pame_00111.t1	K17512
Pame_00111.t1	K17458
Pame_00111.t1	K21414
Pame_00111.t1	K06867
Pame_00113.t1	K16726
Pame_00118.t1	K09427
Pame_00119.t1	K09228
Pame_00141.t1	K07427
Pame_00149.t1	K23205
Pame_00185.t1	K12741
Pame_00194.t1	K10336
Pame_00194.t1	K16726
Pame_00201.t1	K06867
Pame_00202.t1	K06867
Pame_00206.t2	K22255
Pame_00213.t1	K10336
Pame_00213.t1	K02580
Pame_00213.t1	K16726
Pame_00213.t1	K17459
Pame_00213.t1	K17458
Pame_00220.t1	K22255
Pame_00225.t1	K23222
Pame_00233.t1	K11310
Pame_00235.t1	K24637
Pame_00237.t2	K23205
Pame_00243.t1	K13443
Pame_00244.t1	K08734
Pame_00245.t1	K20291
Pame_00246.t1	K07488
Pame_00248.t1	K23222
Pame_00252.t1	K22255
Pame_00256.t1	K23205
Pame_00257.t1	K23205
Pame_00258.t1	K06867
Pame_00261.t1	K23222
Pame_00262.t1	K23209
Pame_00271.t1	K23222
Pame_00278.t1	K00699
Pame_00281.t1	K23205
Pame_00285.t1	K23222
Pame_00287.t1	K10130
Pame_00288.t1	K06867
Pame_00293.t1	K10325
Pame_00294.t1	K13278
Pame_00296.t1	K23209
Pame_00300.t1	K03098
Pame_00304.t1	K06867
Pame_00306.t1	K06832
Pame_00317.t1	K23209
Pame_00322.t1	K23205
Pame_00324.t1	K23205
Pame_00332.t1	K03098
Pame_00333.t1	K03098
Pame_00337.t1	K09427
Pame_00341.t1	K04948
Pame_00343.t1	K02999
Pame_00345.t1	K01148
Pame_00346.t1	K01148
Pame_00351.t1	K05853
Pame_00356.t1	K01092
Pame_00362.t1	K09207
Pame_00367.t1	K14571
Pame_00369.t1	K03283
Pame_00370.t1	K01021
Pame_00372.t1	K03495
Pame_00374.t1	K04599
Pame_00375.t1	K04599
Pame_00378.t1	K02857
Pame_00387.t2	K17387
Pame_00390.t2	K10859
Pame_00392.t1	K20131
Pame_00395.t1	K23205
Pame_00397.t1	K25611
Pame_00399.t1	K13240
Pame_00399.t1	K00491
Pame_00401.t1	K20308
Pame_00402.t2	K01296
Pame_00408.t1	K23209
Pame_00410.t1	K05767
Pame_00411.t1	K10409
Pame_00430.t1	K04506
Pame_00431.t1	K09427
Pame_00440.t1	K13443
Pame_00449.t1	K11140
Pame_00450.t1	K11140
Pame_00452.t1	K11140
Pame_00453.t1	K05312
Pame_00454.t1	K05312
Pame_00455.t1	K00115
Pame_00455.t1	K00108
Pame_00456.t1	K00115
Pame_00457.t1	K00115
Pame_00458.t1	K09640
Pame_00459.t1	K07178
Pame_00460.t1	K09454
Pame_00460.t1	K06867
Pame_00461.t1	K05312
Pame_00463.t1	K20300
Pame_00464.t1	K15516
Pame_00465.t1	K20241
Pame_00466.t1	K20241
Pame_00467.t1	K03098
Pame_00471.t1	K23413
Pame_00472.t2	K06103
Pame_00477.t1	K06103
Pame_00478.t1	K06103
Pame_00479.t1	K06103
Pame_00480.t1	K05313
Pame_00481.t1	K14861
Pame_00483.t1	K05731
