file                format  type  num_seqs    sum_len    min_len      avg_len    max_len
Bger_bac_bin001.fa  FASTA   DNA        250  2,872,519      2,021     11,490.1    145,626
Bger_bac_bin002.fa  FASTA   DNA         14  3,291,782     15,429    235,127.3    544,383
Bger_bac_bin003.fa  FASTA   DNA        281  2,832,718      2,005     10,080.8    225,162
Bger_bac_bin004.fa  FASTA   DNA         28  3,001,529      9,876    107,197.5    367,263
Bger_bac_bin005.fa  FASTA   DNA         37  2,923,018      2,088     79,000.5    536,775
Bger_bac_bin006.fa  FASTA   DNA          8  3,328,515      2,321    416,064.4  1,654,587
Bger_bac_bin007.fa  FASTA   DNA          9  2,655,306      5,077      295,034  1,181,077
Bger_bac_bin008.fa  FASTA   DNA         17  1,071,445     12,655     63,026.2    223,284
Bger_bac_bin009.fa  FASTA   DNA         74  1,436,548      2,030     19,412.8     89,974
Bger_bac_bin010.fa  FASTA   DNA         11  2,275,289      2,103    206,844.5    649,827
Bger_bac_bin011.fa  FASTA   DNA         13  1,786,246      2,504    137,403.5    463,335
Bger_bac_bin012.fa  FASTA   DNA         96  1,410,462      2,030     14,692.3    111,707
Bger_bac_bin013.fa  FASTA   DNA        161  3,078,816      2,004     19,123.1    176,551
Bger_bac_bin014.fa  FASTA   DNA        133  5,072,072      2,024     38,135.9    270,796
Bger_bac_bin015.fa  FASTA   DNA         32  4,009,777      3,512    125,305.5    655,859
Bger_bac_bin016.fa  FASTA   DNA        498  3,149,624      2,004      6,324.5     51,892
Bger_bac_bin017.fa  FASTA   DNA        393  3,512,153      2,010      8,936.8    219,757
Bger_bac_bin018.fa  FASTA   DNA        148  6,151,966      2,182     41,567.3    259,361
Bger_bac_bin019.fa  FASTA   DNA         23  6,730,714      2,153    292,639.7  1,188,601
Bger_bac_bin020.fa  FASTA   DNA         75  6,081,025      2,022     81,080.3    391,679
Bger_bac_bin021.fa  FASTA   DNA         78  6,060,794      2,052     77,702.5    643,421
Bger_bac_bin022.fa  FASTA   DNA         27  4,914,522      8,529    182,019.3    794,070
Bger_bac_bin023.fa  FASTA   DNA         14  7,290,898     71,840    520,778.4  1,984,746
Bger_bac_bin024.fa  FASTA   DNA        896  3,647,413      2,002      4,070.8     44,722
Bger_bac_bin025.fa  FASTA   DNA         28  2,507,505      9,557     89,553.8    210,999
Bger_bac_bin026.fa  FASTA   DNA         92  2,016,676      2,005     21,920.4    245,161
Bger_bac_bin027.fa  FASTA   DNA        343  1,677,691      2,010      4,891.2     64,820
Bger_bac_bin028.fa  FASTA   DNA         45  1,635,790      2,027     36,350.9    164,512
Bger_bac_bin029.fa  FASTA   DNA         24  2,979,542      6,546    124,147.6    391,632
Bger_bac_bin030.fa  FASTA   DNA         17  3,677,234      6,195    216,307.9    573,555
Bger_bac_bin031.fa  FASTA   DNA        154  3,549,926      2,016     23,051.5    244,058
Bger_bac_bin032.fa  FASTA   DNA        193  1,463,987      2,003      7,585.4    118,573
Bger_bac_bin033.fa  FASTA   DNA         17  3,153,219      6,537    185,483.5    500,866
Bger_bac_bin034.fa  FASTA   DNA         54  2,416,404      3,893     44,748.2    229,983
Bger_bac_bin035.fa  FASTA   DNA         68  3,380,946      2,557     49,719.8    213,183
Bger_bac_bin036.fa  FASTA   DNA        702  4,107,153      2,000      5,850.6     66,778
Bger_bac_bin037.fa  FASTA   DNA        375  3,840,087      2,016     10,240.2    100,502
Bger_bac_bin038.fa  FASTA   DNA        203  1,830,308      2,005      9,016.3     44,371
Bger_bac_bin039.fa  FASTA   DNA        128  1,959,592      2,564     15,309.3     78,138
Bger_bac_bin040.fa  FASTA   DNA        431  1,799,772      2,001      4,175.8     13,913
Bger_bac_bin041.fa  FASTA   DNA         19  1,784,821      3,641     93,937.9    327,883
Bger_bac_bin042.fa  FASTA   DNA          5  2,817,948    135,666    563,589.6    802,353
Bger_bac_bin043.fa  FASTA   DNA        331  2,117,840      2,503      6,398.3     30,216
Bger_bac_bin044.fa  FASTA   DNA         12  1,840,800     40,276      153,400    303,727
Bger_bac_bin045.fa  FASTA   DNA          4  1,354,701    195,649    338,675.3    528,674
Bger_bac_bin046.fa  FASTA   DNA          4  1,712,576      2,586      428,144  1,689,340
Bger_bac_bin047.fa  FASTA   DNA          5  3,068,621      6,875    613,724.2  1,601,184
Bger_bac_bin048.fa  FASTA   DNA          4  3,267,887     69,982    816,971.8  1,700,296
Bger_bac_bin049.fa  FASTA   DNA        261  3,458,741      2,015     13,251.9    255,131
Bger_bac_bin050.fa  FASTA   DNA         11  6,471,771     80,360    588,342.8  2,156,022
Bger_bac_bin051.fa  FASTA   DNA         33  4,559,809      3,889      138,176    635,114
Bger_bac_bin052.fa  FASTA   DNA          7  3,168,549     16,021    452,649.9  1,195,956
Bger_bac_bin053.fa  FASTA   DNA          2  4,083,450     14,080    2,041,725  4,069,370
