BGC	NRPS	RiPPs	Terpene	Others	PKS-NRP_Hybrids	PKSother	PKSI
1	Bger_bac_bin001	1	2	1	0	0	0	0
2	Bger_bac_bin002	1	3	0	0	0	0	0
3	Bger_bac_bin003	0	1	0	0	0	0	0
4	Bger_bac_bin004	0	3	0	0	0	0	0
5	Bger_bac_bin005	0	2	1	0	0	0	0
6	Bger_bac_bin006	0	4	0	0	0	0	0
7	Bger_bac_bin007	0	1	0	2	0	0	0
8	Bger_bac_bin009	0	1	0	0	0	0	0
9	Bger_bac_bin010	0	1	0	0	0	0	0
10	Bger_bac_bin011	0	1	0	0	0	0	0
11	Bger_bac_bin012	0	1	0	0	0	0	0
12	Bger_bac_bin013	0	3	0	0	0	0	0
13	Bger_bac_bin014	0	2	0	0	0	0	0
14	Bger_bac_bin015	0	5	0	0	0	0	0
15	Bger_bac_bin016	0	4	0	0	0	0	0
16	Bger_bac_bin017	0	1	0	0	0	0	0
17	Bger_bac_bin018	4	6	0	4	1	4	0
18	Bger_bac_bin019	0	9	0	3	2	0	0
19	Bger_bac_bin020	0	1	0	0	0	0	0
20	Bger_bac_bin021	0	5	0	0	0	0	0
21	Bger_bac_bin022	0	6	0	0	0	0	0
22	Bger_bac_bin023	0	6	0	0	0	0	0
23	Bger_bac_bin024	0	9	0	0	0	0	0
24	Bger_bac_bin025	0	1	0	0	0	0	0
25	Bger_bac_bin026	0	0	0	1	0	0	0
26	Bger_bac_bin027	0	1	0	0	0	0	0
27	Bger_bac_bin029	0	1	0	0	0	0	0
28	Bger_bac_bin030	0	2	0	1	0	0	0
29	Bger_bac_bin031	0	5	0	0	0	0	0
30	Bger_bac_bin032	0	2	0	0	0	0	0
31	Bger_bac_bin033	2	3	0	1	0	0	0
32	Bger_bac_bin034	1	4	0	1	0	0	0
33	Bger_bac_bin035	2	7	0	0	0	0	0
34	Bger_bac_bin036	0	2	1	0	0	0	0
35	Bger_bac_bin037	2	2	0	0	0	0	0
36	Bger_bac_bin038	0	0	0	0	0	1	0
37	Bger_bac_bin040	0	2	0	0	0	0	0
38	Bger_bac_bin041	0	1	0	0	0	0	0
39	Bger_bac_bin042	0	2	0	0	0	0	0
40	Bger_bac_bin043	0	1	0	0	0	0	0
41	Bger_bac_bin044	0	1	0	0	0	0	0
42	Bger_bac_bin045	0	2	0	0	0	0	0
43	Bger_bac_bin046	0	5	0	0	0	0	0
44	Bger_bac_bin047	0	1	0	0	0	2	0
45	Bger_bac_bin048	0	1	0	0	0	0	0
46	Bger_bac_bin049	0	2	0	0	0	2	3
47	Bger_bac_bin050	0	2	0	2	0	0	0
48	Bger_bac_bin051	0	4	0	3	0	0	0
49	Bger_bac_bin052	0	2	0	0	0	0	0
50	Bger_bac_bin053	0	0	0	2	0	0	0
51	Bger_bac_bin054	0	1	0	2	0	0	0
52	Bger_bac_bin055	0	1	0	0	0	0	0
53	Bger_bac_bin056	0	1	0	0	0	0	0
54	Bger_bac_bin057	0	4	0	3	0	0	0
55	Bger_bac_bin058	0	0	0	1	0	0	0
56	Bger_bac_bin059	0	3	0	1	0	2	0
57	Bger_bac_bin060	0	4	0	3	0	0	0
58	Bger_bac_bin061	0	2	0	1	1	1	0
59	Bger_bac_bin062	0	1	0	0	0	0	0
60	Bger_bac_bin063	0	1	1	1	0	1	0
61	Bger_bac_bin064	1	2	0	0	0	0	0
62	Bger_bac_bin065	0	2	0	0	0	0	0
63	Bger_bac_bin066	0	3	0	2	0	0	0
64	Bger_bac_bin068	0	1	0	0	0	0	0
65	Bger_bac_bin069	0	2	0	0	0	0	0
66	Bger_bac_bin071	0	0	0	1	0	0	0
67	Bger_bac_bin072	0	2	1	0	0	1	0
68	Bger_bac_bin074	0	1	0	0	0	1	0
69	Bger_bac_bin075	0	2	0	0	0	0	0
70	Bger_bac_bin076	0	1	0	0	0	1	0
71	Bger_bac_bin077	0	1	0	0	0	1	0
72	Bger_bac_bin078	0	1	0	0	0	0	0
73	Bger_bac_bin079	0	2	0	2	0	0	0
74	Bger_bac_bin080	0	0	0	0	0	1	0
75	Bger_bac_bin081	0	0	0	1	0	0	0
76	Bger_bac_bin082	0	1	0	0	0	1	0
77	Bger_bac_bin084	0	1	0	0	0	2	0
78	Bger_bac_bin085	0	1	0	3	0	0	0
79	Bger_bac_bin086	0	0	0	3	0	0	0
80	Bger_bac_bin087	0	1	0	2	0	0	0
81	Bger_bac_bin088	1	1	0	1	0	0	0
82	Bger_bac_bin089	0	0	0	3	0	0	0
83	Bger_bac_bin090	0	0	0	2	0	0	0
84	Bger_bac_bin091	0	0	0	1	0	0	0
85	Bger_bac_bin092	0	2	1	0	0	0	0
86	Bger_bac_bin093	0	1	1	1	0	0	0
87	Bger_bac_bin094	0	1	0	1	0	0	0
88	Bger_bac_bin095	0	0	0	2	0	0	0
89	Bger_bac_bin096	0	0	1	1	0	0	0
90	Bger_bac_bin097	0	0	0	2	0	0	0
91	Bger_bac_bin098	0	0	0	2	0	0	0
92	Bger_bac_bin099	0	0	0	1	0	0	0
93	Bger_bac_bin100	0	1	0	1	0	0	0
94	Bger_bac_bin101	0	2	0	1	0	0	0
95	Bger_bac_bin102	0	1	0	1	0	0	0
96	Bger_bac_bin103	0	1	0	1	0	0	0
97	Bger_bac_bin105	0	0	0	1	0	0	0
98	Bger_bac_bin106	0	0	0	1	0	0	0
99	Bger_bac_bin107	0	1	0	0	0	0	0
100	Bger_bac_bin109	0	1	0	2	0	0	0
101	Bger_bac_bin110	0	0	0	1	0	0	0
102	Bger_bac_bin111	0	1	0	2	0	0	0
103	Bger_bac_bin112	0	0	0	1	0	0	0
104	Bger_bac_bin113	0	1	0	0	0	0	0
