bin	5S	16S	23S
Bger_bac_bin001	0	0	0
Bger_bac_bin002	1	0	0
Bger_bac_bin003	0	0	0
Bger_bac_bin004	0	0	0
Bger_bac_bin005	2	1	1
Bger_bac_bin006	3	0	1
Bger_bac_bin007	1	1	1
Bger_bac_bin008	0	0	0
Bger_bac_bin009	0	0	0
Bger_bac_bin010	1	0	0
Bger_bac_bin011	1	0	0
Bger_bac_bin012	0	0	0
Bger_bac_bin013	0	0	0
Bger_bac_bin014	0	0	0
Bger_bac_bin015	0	0	0
Bger_bac_bin016	0	0	0
Bger_bac_bin017	0	0	0
Bger_bac_bin018	1	0	1
Bger_bac_bin019	0	0	0
Bger_bac_bin020	0	0	0
Bger_bac_bin021	0	0	0
Bger_bac_bin022	0	0	0
Bger_bac_bin023	1	3	1
Bger_bac_bin024	1	0	0
Bger_bac_bin025	1	0	0
Bger_bac_bin026	1	0	0
Bger_bac_bin027	0	0	0
Bger_bac_bin028	0	0	0
Bger_bac_bin029	0	0	0
Bger_bac_bin030	1	0	0
Bger_bac_bin031	0	0	0
Bger_bac_bin032	0	0	0
Bger_bac_bin033	1	0	0
Bger_bac_bin034	1	0	0
Bger_bac_bin035	0	0	0
Bger_bac_bin036	0	0	0
Bger_bac_bin037	0	0	0
Bger_bac_bin038	0	0	0
Bger_bac_bin039	0	0	0
Bger_bac_bin040	0	0	0
Bger_bac_bin041	0	0	0
Bger_bac_bin042	1	0	0
Bger_bac_bin043	0	0	0
Bger_bac_bin044	1	0	1
Bger_bac_bin045	1	1	0
Bger_bac_bin046	0	0	0
Bger_bac_bin047	3	2	0
Bger_bac_bin048	2	1	1
Bger_bac_bin049	0	0	0
Bger_bac_bin050	1	1	0
Bger_bac_bin051	0	0	0
Bger_bac_bin052	2	0	1
Bger_bac_bin053	1	2	1
Bger_bac_bin054	1	1	1
Bger_bac_bin055	3	5	1
Bger_bac_bin056	0	0	0
Bger_bac_bin057	1	2	1
Bger_bac_bin058	2	0	0
Bger_bac_bin059	3	1	2
Bger_bac_bin060	3	1	1
Bger_bac_bin061	3	2	2
Bger_bac_bin062	1	0	0
Bger_bac_bin063	1	1	0
Bger_bac_bin064	1	0	0
Bger_bac_bin065	2	1	1
Bger_bac_bin066	1	3	1
Bger_bac_bin067	2	0	0
Bger_bac_bin068	1	0	0
Bger_bac_bin069	2	0	0
Bger_bac_bin070	0	0	0
Bger_bac_bin071	0	0	0
Bger_bac_bin072	2	0	0
Bger_bac_bin073	3	3	1
Bger_bac_bin074	0	1	0
Bger_bac_bin075	0	0	0
Bger_bac_bin076	0	0	0
Bger_bac_bin077	2	3	1
Bger_bac_bin078	1	0	0
Bger_bac_bin079	2	2	1
Bger_bac_bin080	1	0	0
Bger_bac_bin081	1	1	0
Bger_bac_bin082	3	1	2
Bger_bac_bin083	5	2	1
Bger_bac_bin084	0	1	0
Bger_bac_bin085	2	2	0
Bger_bac_bin086	2	1	1
Bger_bac_bin087	3	3	1
Bger_bac_bin088	0	0	0
Bger_bac_bin089	2	1	0
Bger_bac_bin090	1	0	0
Bger_bac_bin091	2	1	1
Bger_bac_bin092	0	0	0
Bger_bac_bin093	0	0	0
Bger_bac_bin094	0	0	0
Bger_bac_bin095	0	0	0
Bger_bac_bin096	1	1	1
Bger_bac_bin097	2	1	0
Bger_bac_bin098	0	0	0
Bger_bac_bin099	0	0	0
Bger_bac_bin100	1	0	0
Bger_bac_bin101	0	0	0
Bger_bac_bin102	0	0	0
Bger_bac_bin103	0	0	0
Bger_bac_bin104	1	2	1
Bger_bac_bin105	1	1	0
Bger_bac_bin106	0	0	0
Bger_bac_bin107	1	0	0
Bger_bac_bin108	1	0	0
Bger_bac_bin109	0	1	0
Bger_bac_bin110	2	1	0
Bger_bac_bin111	0	0	0
Bger_bac_bin112	0	0	0
Bger_bac_bin113	0	0	0
Bger_bac_bin114	4	0	0
Bger_bac_bin115	0	0	0
Bger_bac_bin116	1	0	0
Bger_bac_bin117	0	0	0
Bger_bac_bin118	2	0	2
Bger_bac_bin119	2	0	0
Bger_bac_bin120	0	0	0
Bger_bac_bin121	0	0	0
Bger_bac_bin122	0	0	0
Bger_bac_bin123	0	0	0
Bger_bac_bin124	1	1	0
Bger_bac_bin125	1	1	0
Bger_bac_bin126	0	0	0
Bger_bac_bin127	2	0	1
Bger_bac_bin128	1	0	1
Bger_bac_bin129	4	0	1
Bger_bac_bin130	2	0	0
Bger_bac_bin131	2	0	0
Bger_bac_bin132	2	1	0
Bger_bac_bin133	0	1	0
Bger_bac_bin134	1	2	1
Bger_bac_bin135	4	2	1
Bger_bac_bin136	3	1	1
Bger_bac_bin137	3	0	0
Bger_bac_bin138	1	2	0
Bger_bac_bin139	0	0	0
Bger_bac_bin140	3	2	0
Bger_bac_bin141	0	0	0
Bger_bac_bin142	1	1	1
Bger_bac_bin143	0	0	0
Bger_bac_bin144	1	0	0
Bger_bac_bin145	0	0	0
Bger_bac_bin146	0	1	0
Bger_bac_bin147	1	0	0
Bger_bac_bin148	1	1	1
Bger_bac_bin149	1	1	1
Bger_bac_bin150	1	0	0
Bger_bac_bin151	0	0	0
Bger_bac_bin152	0	0	0
Bger_bac_bin153	0	0	0
Bger_bac_bin154	0	0	0
Bger_bac_bin155	0	0	0
Bger_bac_bin156	1	0	0
Bger_bac_bin157	1	0	0
Bger_bac_bin158	1	0	0
Bger_bac_bin159	0	0	0
Bger_bac_bin160	0	0	0
Bger_bac_bin161	0	0	0
Bger_bac_bin162	1	0	0
Bger_bac_bin163	0	0	0
Bger_bac_bin164	0	0	0
Bger_bac_bin165	1	0	0
Bger_bac_bin166	1	0	0
Bger_bac_bin167	2	0	0
Bger_bac_bin168	3	0	0
Bger_bac_bin169	1	0	0
Bger_bac_bin170	3	0	0
Bger_bac_bin171	1	1	0
Bger_bac_bin172	0	0	0
Bger_bac_bin173	0	0	0
Bger_bac_bin174	0	0	0
Bger_bac_bin175	1	0	0
Bger_bac_bin176	0	0	0
Bger_bac_bin177	2	0	1
Bger_bac_bin178	1	0	0
Bger_bac_bin179	0	0	0
Bger_bac_bin180	0	0	0
Bger_bac_bin181	1	0	1
Bger_bac_bin182	0	0	0
Bger_bac_bin183	0	0	0
Bger_bac_bin184	0	0	0
Bger_bac_bin185	1	1	1
Bger_bac_bin186	1	0	0
Bger_bac_bin187	0	0	0
Bger_bac_bin188	1	0	0
Bger_bac_bin189	1	1	1
Bger_bac_bin190	0	0	0
Bger_bac_bin191	0	0	0
Bger_bac_bin192	2	1	1
Bger_bac_bin193	1	1	1
Bger_bac_bin194	1	0	1
Bger_bac_bin195	1	0	0
Bger_bac_bin196	1	1	0
Bger_bac_bin197	2	1	0
Bger_bac_bin198	0	0	0
Bger_bac_bin199	1	0	0
Bger_bac_bin200	0	0	0
Bger_bac_bin201	1	1	0
Bger_bac_bin202	0	0	0
Bger_bac_bin203	2	0	0
Bger_bac_bin204	0	0	0
Bger_bac_bin205	0	0	0
Bger_bac_bin206	1	1	0
Bger_bac_bin207	0	0	0
Bger_bac_bin208	0	0	0
Bger_bac_bin209	1	0	0
Bger_bac_bin210	0	0	0
Bger_bac_bin211	0	0	0
Bger_bac_bin212	1	0	0
Bger_bac_bin213	1	0	0
Bger_bac_bin214	0	0	0
Bger_bac_bin215	0	0	0
Bger_bac_bin216	1	1	0
Bger_bac_bin217	1	3	2
Bger_bac_bin218	0	0	0
Esin_bac_bin001	0	0	0
Esin_bac_bin002	2	0	0
Esin_bac_bin003	1	1	1
Esin_bac_bin004	2	2	2
Esin_bac_bin005	1	0	1
Esin_bac_bin006	0	0	0
Esin_bac_bin007	0	0	0
Esin_bac_bin008	0	0	0
Esin_bac_bin009	0	0	0
Esin_bac_bin010	0	0	0
Esin_bac_bin011	2	2	2
Esin_bac_bin012	1	1	1
Esin_bac_bin013	3	1	1
Esin_bac_bin014	2	0	0
Esin_bac_bin015	1	2	2
Esin_bac_bin016	2	3	2
Esin_bac_bin017	1	1	1
Esin_bac_bin018	1	0	0
Esin_bac_bin019	3	3	3
Esin_bac_bin020	2	1	1
Esin_bac_bin021	3	3	3
Esin_bac_bin022	2	1	1
Esin_bac_bin023	2	1	1
Esin_bac_bin024	4	3	3
Esin_bac_bin025	1	1	1
Esin_bac_bin026	1	2	2
Esin_bac_bin027	2	2	2
Esin_bac_bin028	1	2	1
Esin_bac_bin029	1	0	1
Esin_bac_bin030	2	2	2
Esin_bac_bin031	1	1	1
Esin_bac_bin032	0	1	1
Esin_bac_bin033	2	2	2
Esin_bac_bin034	0	0	0
Esin_bac_bin035	1	1	1
Esin_bac_bin036	1	2	1
Esin_bac_bin037	1	1	1
Esin_bac_bin038	1	2	1
Esin_bac_bin039	0	1	1
Esin_bac_bin040	2	2	2
Esin_bac_bin041	3	2	3
Esin_bac_bin042	2	0	1
Esin_bac_bin043	1	2	1
Esin_bac_bin044	1	2	0
Esin_bac_bin045	2	2	1
Esin_bac_bin046	1	2	1
Esin_bac_bin047	0	1	1
Esin_bac_bin048	1	2	1
Esin_bac_bin049	0	0	0
Esin_bac_bin050	2	2	2
Esin_bac_bin051	0	0	0
Esin_bac_bin052	0	0	0
Esin_bac_bin053	2	1	0
Esin_bac_bin054	0	1	1
Esin_bac_bin055	2	2	1
Esin_bac_bin056	1	1	0
Esin_bac_bin057	1	0	1
Esin_bac_bin058	1	1	1
Esin_bac_bin059	1	1	1
Esin_bac_bin060	2	1	1
Esin_bac_bin061	1	2	1
Esin_bac_bin062	1	1	0
Esin_bac_bin063	1	1	1
Esin_bac_bin064	0	1	0
Esin_bac_bin065	1	0	1
Esin_bac_bin066	1	1	1
Esin_bac_bin067	0	0	0
Esin_bac_bin068	0	0	0
Esin_bac_bin069	3	2	3
Esin_bac_bin070	3	2	1
Esin_bac_bin071	2	2	2
Esin_bac_bin072	3	4	1
Esin_bac_bin073	2	3	1
Esin_bac_bin074	7	7	7
Esin_bac_bin075	4	4	4
Esin_bac_bin076	1	1	0
Esin_bac_bin077	3	3	3
Esin_bac_bin078	2	1	1
Esin_bac_bin079	4	4	4
Esin_bac_bin080	5	6	4
Esin_bac_bin081	2	2	2
Esin_bac_bin082	3	3	3
Esin_bac_bin083	4	4	4
Esin_bac_bin084	2	2	2
Esin_bac_bin085	2	2	2
Esin_bac_bin086	0	0	0
Esin_bac_bin087	0	0	0
Esin_bac_bin088	0	0	0
Esin_bac_bin089	0	0	0
Esin_bac_bin090	0	0	0
Esin_bac_bin091	1	0	0
Esin_bac_bin092	1	2	1
Esin_bac_bin093	3	3	1
Esin_bac_bin094	4	4	4
Esin_bac_bin095	4	4	4
Esin_bac_bin096	0	0	0
Esin_bac_bin097	1	1	2
Esin_bac_bin098	2	2	2
Esin_bac_bin099	3	3	3
Esin_bac_bin100	0	1	1
Esin_bac_bin101	0	0	0
Esin_bac_bin102	2	2	2
Esin_bac_bin103	3	2	2
Esin_bac_bin104	1	0	0
Esin_bac_bin105	0	0	0
Esin_bac_bin106	0	1	0
Esin_bac_bin107	2	1	1
Esin_bac_bin108	0	0	0
Esin_bac_bin109	0	1	1
Esin_bac_bin110	0	1	0
Esin_bac_bin111	0	1	1
Esin_bac_bin112	1	1	1
Esin_bac_bin113	2	2	2
Esin_bac_bin114	1	2	2
Esin_bac_bin115	0	0	0
Esin_bac_bin116	0	0	0
Esin_bac_bin117	1	1	1
Esin_bac_bin118	0	0	0
Esin_bac_bin119	0	0	0
Esin_bac_bin120	1	0	1
Esin_bac_bin121	0	0	0
Esin_bac_bin122	0	0	0
Esin_bac_bin123	4	2	2
Esin_bac_bin124	0	0	1
Esin_bac_bin125	1	1	1
Esin_bac_bin126	0	0	0
Esin_bac_bin127	2	2	2
Esin_bac_bin128	0	0	0
Esin_bac_bin129	1	2	1
Esin_bac_bin130	1	1	0
Esin_bac_bin131	2	2	2
Esin_bac_bin132	0	1	0
Esin_bac_bin133	0	1	0
Esin_bac_bin134	2	2	2
Esin_bac_bin135	2	1	0
Esin_bac_bin136	1	1	0
Esin_bac_bin137	3	2	3
Esin_bac_bin138	2	2	2
Esin_bac_bin139	2	2	2
Esin_bac_bin140	1	2	1
Esin_bac_bin141	2	2	2
Esin_bac_bin142	1	1	1
Esin_bac_bin143	0	1	0
Esin_bac_bin144	4	3	3
Esin_bac_bin145	1	2	0
Esin_bac_bin146	0	0	0
Esin_bac_bin147	1	1	1
Esin_bac_bin148	0	1	0
Esin_bac_bin149	0	0	0
Esin_bac_bin150	1	1	1
Esin_bac_bin151	1	2	1
Esin_bac_bin152	2	1	1
Esin_bac_bin153	2	3	2
Esin_bac_bin154	4	4	4
Esin_bac_bin155	2	3	3
Esin_bac_bin156	3	0	0
Esin_bac_bin157	3	3	3
Esin_bac_bin158	3	3	1
Esin_bac_bin159	0	1	0
Esin_bac_bin160	3	0	0
Esin_bac_bin161	3	1	1
Esin_bac_bin162	3	3	3
Esin_bac_bin163	4	3	3
Esin_bac_bin164	1	1	1
Esin_bac_bin165	2	1	2
Esin_bac_bin166	2	2	1
Esin_bac_bin167	0	0	0
Esin_bac_bin168	0	0	1
Esin_bac_bin169	0	0	0
Esin_bac_bin170	2	1	1
Esin_bac_bin171	2	1	2
Esin_bac_bin172	1	1	1
Esin_bac_bin173	2	2	2
Esin_bac_bin174	5	4	4
Esin_bac_bin175	14	14	14
Esin_bac_bin176	0	0	0
Esin_bac_bin177	1	1	1
Esin_bac_bin178	0	1	0
Esin_bac_bin179	0	0	0
Esin_bac_bin180	0	1	0
Esin_bac_bin181	3	2	1
Esin_bac_bin182	1	2	1
Esin_bac_bin183	5	4	4
Esin_bac_bin184	0	1	1
Esin_bac_bin185	2	1	1
Esin_bac_bin186	1	0	0
Esin_bac_bin187	4	4	4
Esin_bac_bin188	4	4	4
Esin_bac_bin189	1	0	0
Esin_bac_bin190	0	0	0
Esin_bac_bin191	5	3	3
Esin_bac_bin192	5	4	4
Esin_bac_bin193	0	0	0
Esin_bac_bin194	0	0	0
Esin_bac_bin195	2	1	1
Esin_bac_bin196	4	4	2
Esin_bac_bin197	5	5	4
Esin_bac_bin198	1	0	1
Esin_bac_bin199	1	1	1
Esin_bac_bin200	4	4	4
Esin_bac_bin201	4	4	4
Esin_bac_bin202	0	0	0
Esin_bac_bin203	3	2	2
Esin_bac_bin204	4	4	4
Esin_bac_bin205	1	2	1
Esin_bac_bin206	3	2	2
Esin_bac_bin207	5	6	6
Esin_bac_bin208	2	3	3
